Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.63641e+06	6.51351e+06	6.67045e+06	905733	772815	786718
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.19907e+07	1.1688e+07	1.20563e+07	1.44413e+06	1.65803e+06	1.46002e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.97825e+06	9.39731e+06	9.97087e+06	1.70816e+06	1.57929e+06	1.33039e+06
P00350	P00350		gnd		3.53206e+07	3.5744e+07	3.63394e+07	3.58099e+07	3.60325e+07	3.48006e+07
P00363	P00363		frdA		2.54661e+07	2.43738e+07	2.5424e+07	2.55025e+07	2.59286e+07	2.5333e+07
P00370	P00370		gdhA		1.92454e+06	1.87956e+06	1.83501e+06	1.84056e+06	1.86261e+06	1.83613e+06
P00393	P00393		ndh		5.76632e+06	5.79736e+06	5.7583e+06	5.80414e+06	5.82372e+06	5.89538e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				5.20071e+06	5.17691e+06	5.28234e+06	664457	635486	696642
P00448	P00448		sodA		3.8586e+06	3.72383e+06	3.83807e+06	3.71009e+06	3.61868e+06	3.60853e+06
P00452	P00452		nrdA		6.76562e+06	6.57124e+06	6.77235e+06	6.80245e+06	6.74667e+06	6.60965e+06
P00490	P00490		malP		5.86424e+06	5.67569e+06	5.68575e+06	5.92134e+06	5.8319e+06	5.92074e+06
P00509	P00509		aspC		1.83553e+07	1.80422e+07	1.81821e+07	1.86267e+07	1.84917e+07	1.86718e+07
P00550	P00550		mtlA		771815	852151	837941	850789	823841	760693
P00561	P00561		thrA		2.06899e+06	1.95099e+06	1.99147e+06	2.01624e+06	2.12202e+06	2.06172e+06
P00562	P00562		metL		2.50656e+06	2.47419e+06	2.39501e+06	2.46874e+06	2.54589e+06	2.36529e+06
P00579	P00579		rpoD		7.105e+06	6.88673e+06	7.13133e+06	7.26871e+06	7.20309e+06	7.14153e+06
P00582	P00582		polA		3.446e+06	3.45648e+06	3.52107e+06	3.48658e+06	3.45812e+06	3.49371e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				3.96802e+06	4.5897e+06	4.61256e+06	1.03718e+06	1.04743e+06	1.17729e+06
P00803	P00803		lepB		4.41792e+06	4.30403e+06	4.57935e+06	4.90014e+06	4.38949e+06	4.24994e+06
P00805	P00805		ansB		2.09441e+07	2.10722e+07	2.1432e+07	2.17147e+07	2.17718e+07	2.17634e+07
P00811	P00811		ampC		1.01144e+06	913402	950027	914046	1.04338e+06	933849
P00864	P00864		ppc		1.15419e+07	1.14079e+07	1.14708e+07	1.15808e+07	1.14775e+07	1.14688e+07
P00887	P00887		aroH		1.59717e+06	1.66079e+06	1.43292e+06	1.30294e+06	1.48834e+06	1.39681e+06
P00888	P00888		aroF		2.20213e+06	2.12742e+06	2.1771e+06	2.196e+06	2.17347e+06	2.12248e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.57167e+07	1.55886e+07	1.58571e+07	2.90758e+06	2.85132e+06	2.80431e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.30742e+07	1.31562e+07	1.33443e+07	1.56763e+06	1.60507e+06	1.47933e+06
P00926	P00926		dsdA		1.4635e+06	1.28718e+06	1.37342e+06	1.45502e+06	1.33712e+06	1.38708e+06
P00934	P00934		thrC		4.64479e+06	4.76814e+06	4.78944e+06	4.632e+06	4.52051e+06	4.60658e+06
P00935	P00935		metB		495855	410303	448645	364604	289456	359981
P00936	P00936		cyaA		946131	866070	862791	803484	922143	899261
P00946	P00946		manA		1.15245e+07	1.12681e+07	1.18445e+07	1.1965e+07	1.18947e+07	1.15648e+07
P00954	P00954		trpS		1.39362e+07	1.45433e+07	1.46713e+07	1.39374e+07	1.37404e+07	1.36602e+07
P00956	P00956		ileS		2.64081e+07	2.60099e+07	2.60508e+07	2.53038e+07	2.57987e+07	2.532e+07
P00957	P00957		alaS		1.83823e+07	1.8203e+07	1.82991e+07	1.76016e+07	1.75417e+07	1.77355e+07
P00959	P00959		metG		1.90041e+07	1.93321e+07	1.94607e+07	1.86521e+07	1.88452e+07	1.88285e+07
P00960	P00960		glyQ		7.20859e+06	6.76824e+06	7.06073e+06	7.05703e+06	6.87115e+06	6.99501e+06
P00961	P00961		glyS		1.4109e+07	1.39855e+07	1.39946e+07	1.38023e+07	1.39174e+07	1.38058e+07
P00962	P00962		glnS		1.07519e+07	1.08912e+07	1.07726e+07	1.10696e+07	1.09834e+07	1.10029e+07
P00963	P00963		asnA		1.43876e+07	1.48092e+07	1.49129e+07	1.45593e+07	1.45112e+07	1.46508e+07
P00968	P00968		carB		4.48974e+06	4.52788e+06	4.41317e+06	4.5749e+06	4.55658e+06	4.55588e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				8.64674e+06	9.65932e+06	8.83288e+06	2.08847e+06	1.62728e+06	2.06858e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				1.37709e+07	1.15237e+07	1.40108e+07	1.60818e+06	1.51773e+06	1.42998e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				2.80183e+07	2.86941e+07	2.9691e+07	5.56615e+06	5.90802e+06	5.78534e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				3.41117e+07	3.34396e+07	3.40367e+07	4.24602e+06	4.38708e+06	3.96457e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				8.34762e+06	8.19704e+06	7.78593e+06	1.13296e+06	1.0806e+06	1.08832e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				2.04611e+07	1.98886e+07	2.0698e+07	2.13669e+06	2.14067e+06	2.34543e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				5.79904e+06	5.78535e+06	5.81619e+06	734785	671269	700150
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				1.20703e+07	1.19034e+07	1.24906e+07	2.26166e+06	1.88374e+06	1.73387e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				1.27842e+07	1.32676e+07	1.26877e+07	1.31818e+06	1.34042e+06	1.32288e+06
P02358	P02358		rpsF		1.10777e+08	1.11599e+08	1.11469e+08	1.09843e+08	1.11171e+08	1.11809e+08
P02359	P02359		rpsG		1.11797e+08	1.14673e+08	1.12663e+08	1.10846e+08	1.09981e+08	1.08892e+08
P02413	P02413		rplO		1.11588e+08	1.09039e+08	1.10162e+08	1.19519e+08	1.17802e+08	1.18228e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1.0478e+06	1.04026e+06	1.07243e+06		153730	
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				2.9874e+06	2.97998e+06	3.03167e+06	642961	507299	503408
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				2.67544e+07	2.66688e+07	2.6724e+07	3.02395e+06	3.12992e+06	3.14352e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.78125e+07	1.75477e+07	1.79428e+07	2.49061e+06	2.39859e+06	2.48289e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				1.3314e+07	1.32384e+07	1.35151e+07	1.91591e+06	1.87426e+06	1.83579e+06
P02918	P02918		mrcA		947538	1.077e+06	1.20974e+06	845413	1.07084e+06	1.18863e+06
P02919	P02919		mrcB		1.59852e+06	1.45327e+06	1.46589e+06	1.57674e+06	1.63961e+06	1.60484e+06
P02925	P02925		rbsB		1.15276e+07	1.14856e+07	1.14683e+07	1.19972e+07	1.18514e+07	1.20085e+07
P02930	P02930		tolC		2.09044e+07	2.11526e+07	2.17816e+07	2.30156e+07	2.1911e+07	2.28033e+07
P02931	P02931		ompF		3.83589e+07	3.78094e+07	3.88137e+07	3.96022e+07	3.96652e+07	3.97307e+07
P02942	P02942		tsr		1.45434e+07	1.46891e+07	1.47847e+07	1.37411e+07	1.39559e+07	1.40858e+07
P02943	P02943		lamB		1.66798e+06	1.68165e+06	1.69123e+06	1.65663e+06	1.75618e+06	1.65516e+06
P03004	P03004		dnaA		1.99346e+06	1.94415e+06	2.06605e+06	2.1681e+06	2.26971e+06	2.10286e+06
P03018	P03018		uvrD		4.04419e+06	3.96126e+06	4.00671e+06	3.83217e+06	4.02256e+06	3.92409e+06
P03024	P03024		galR		1.38086e+06	1.38273e+06	1.3909e+06	1.26838e+06	1.32199e+06	1.41716e+06
P03817	P03817		mioC		8.18675e+06	8.1325e+06	7.7411e+06	8.27803e+06	8.37666e+06	8.2126e+06
P03841	P03841		malM		1.03405e+07	1.01253e+07	1.00806e+07	1.04045e+07	1.05572e+07	1.08307e+07
P04036	P04036		dapB		4.71303e+06	4.6388e+06	4.75049e+06	4.60836e+06	4.7086e+06	4.46963e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				7.56591e+06	7.72703e+06	7.5869e+06	1.28378e+06	1.31739e+06	1.04048e+06
P04079	P04079		guaA		1.7864e+07	1.81296e+07	1.78911e+07	1.80147e+07	1.82009e+07	1.79008e+07
P04335	P04335		frsA		4.56743e+06	4.57925e+06	4.56825e+06	4.49879e+06	4.61419e+06	4.58739e+06
P04425	P04425		gshB		9.03092e+06	8.81842e+06	9.05276e+06	8.9852e+06	9.02676e+06	9.05212e+06
P04693	P04693		tyrB		3.5653e+06	3.74628e+06	3.60582e+06	3.64262e+06	3.73031e+06	3.62992e+06
