Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1		1.33699e+06			1.33712e+06	
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	2.60088e+06	3.9259e+06	3.50783e+06	3.60452e+06	2.84586e+06	3.2814e+06
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		1	1				7.84613e+06		
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.05653e+07	1.06403e+07		9.87111e+06		1.04885e+07
DECOY_sp|P76344|ZINT_ECOLI	Metal-binding	Metal-binding		1	1						3.4465e+06
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1		1.09254e+06				
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.50432e+07	5.11283e+07	5.59588e+06	5.12659e+07	5.29548e+06	4.48288e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	1.80165e+08	1.73319e+08	1.86118e+07	1.81221e+08	1.75112e+07	1.82673e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	5.72567e+07	5.69918e+07		5.96318e+07	9.43222e+06	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.39498e+08	3.30154e+08	3.28939e+08	3.18381e+08	3.24709e+08	3.30499e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.43247e+08	2.33096e+08	2.39361e+08	2.32234e+08	2.45124e+08	2.47293e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.50239e+07	1.50958e+07	1.43733e+07	1.53398e+07	1.42278e+07	1.44267e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.72845e+07	2.54184e+07	2.52659e+07	2.56189e+07	2.65268e+07	2.59847e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	3.2157e+07	3.36688e+07		3.4497e+07		
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.66331e+07	4.78795e+07	4.45391e+07	4.71716e+07	4.58859e+07	4.34831e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.3383e+07	4.23203e+07	4.33845e+07	4.28496e+07	4.34917e+07	4.29581e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.39739e+07	3.41617e+07	3.53288e+07	3.49144e+07	3.53963e+07	3.52679e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.58479e+07	9.31938e+07	9.28676e+07	9.60279e+07	9.39938e+07	9.37918e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.47199e+06	4.11246e+06	3.68217e+06	3.95932e+06	3.4038e+06	3.41506e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.77471e+06	3.76928e+06	3.77252e+06	3.38833e+06	3.76638e+06	3.72371e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.54883e+07	1.60548e+07	1.72655e+07	1.68875e+07	1.74262e+07	1.65116e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.62294e+06	7.36015e+06	7.64217e+06	8.02905e+06	7.63904e+06	7.6518e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.36045e+08	1.35238e+08	1.36537e+08	1.39491e+08	1.3333e+08	1.33015e+08
