Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P08622	P08622		dnaJ		5.96751e+06	5.85947e+06	5.89148e+06	5.87324e+06	6.16399e+06	6.02656e+06
P08660	P08660		lysC		2.37071e+06	2.48553e+06	2.5342e+06	2.48821e+06	2.38328e+06	2.56196e+06
P08839	P08839		ptsI		3.72935e+07	3.78646e+07	3.80759e+07	3.72356e+07	3.6872e+07	3.78433e+07
P08956	P08956		hsdR		1.53719e+06	1.56872e+06	1.56738e+06	1.59207e+06	1.64075e+06	1.63553e+06
P08957	P08957		hsdM		7.56904e+06	7.87859e+06	7.79124e+06	7.63245e+06	7.64394e+06	7.84132e+06
P09029	P09029		purK		1.0092e+06	1.11063e+06	1.15439e+06	1.01173e+06	968783	1.12838e+06
P09030	P09030		xthA		2.4704e+06	2.5278e+06	2.49371e+06	2.50053e+06	2.44508e+06	2.57831e+06
P09053	P09053		avtA		976409	866053	849938	895900	879716	965726
P09126	P09126		hemD		1.55935e+06	1.45359e+06	1.50054e+06	1.59591e+06	1.59474e+06	1.62396e+06
P09127	P09127		hemX		9.33964e+06	9.27874e+06	9.30065e+06	9.43887e+06	8.98348e+06	9.22211e+06
P09147	P09147		galE		8.66808e+06	8.6896e+06	8.71137e+06	8.84109e+06	8.60406e+06	8.86102e+06
P09148	P09148		galT		2.49793e+06	2.73944e+06	2.51715e+06	2.59868e+06	2.39297e+06	2.58043e+06
P09152	P09152		narG		3.278e+06	3.24632e+06	3.27797e+06	3.27394e+06	3.23567e+06	3.161e+06
P09155	P09155		rnd		2.37129e+06	2.18552e+06	2.17853e+06	2.38972e+06	2.58194e+06	2.23103e+06
P09158	P09158		speE		7.23686e+06	7.32942e+06	7.43556e+06	7.09918e+06	7.02457e+06	7.07984e+06
P09169	P09169		ompT		5.72571e+06	5.8406e+06	5.66526e+06	5.87609e+06	5.62655e+06	5.50004e+06
P09323	P09323		nagE		2.99753e+06	2.77054e+06	3.04713e+06	2.67139e+06	2.73691e+06	3.05587e+06
P09348	P09348		motA		2.41665e+06	2.8773e+06	3.04973e+06	2.96213e+06	3.13902e+06	3.02785e+06
