Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		9.50076e+07		9.18204e+07	9.36753e+07	
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11		1.57441e+08		1.62682e+08	1.61949e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		1.22187e+08		1.17709e+08	1.21563e+08	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.45235e+08	3.45693e+08	3.44914e+08	3.45433e+08	3.4154e+08	3.30065e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.29149e+08	2.14617e+08	2.11156e+08	2.15506e+08	2.09375e+08	2.15534e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.51815e+07	1.44263e+07	1.42873e+07	1.44728e+07	1.47963e+07	1.53412e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.40787e+07	2.37615e+07	2.3162e+07	2.26533e+07	2.32502e+07	2.41781e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.42897e+07		5.43058e+07	5.25637e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.69743e+07	4.60928e+07	4.32662e+07	4.36449e+07	4.40109e+07	4.56195e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.106e+07	4.17546e+07	4.05615e+07	4.19597e+07	4.22453e+07	4.11014e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.79791e+07	3.74078e+07	3.9113e+07	3.65653e+07	3.55236e+07	3.86245e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.66232e+07	9.33744e+07	9.41231e+07	9.90539e+07	9.37808e+07	9.41821e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.4272e+06	3.94525e+06	3.6845e+06	4.14595e+06	4.04339e+06	3.79328e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.30626e+06	3.24595e+06	3.25492e+06	3.41392e+06	3.09153e+06	3.05738e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	8.4512e+06	8.57825e+06	9.11667e+06	8.22867e+06	8.30742e+06	8.82128e+06
