Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.38327e+06	2.67197e+06	2.71375e+06	1.36522e+06	1.43617e+06	2.52416e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.48849e+06	4.61532e+06	4.72985e+06	2.5045e+06	2.28499e+06	4.15777e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.66609e+06	4.46831e+06	4.45932e+06	2.81993e+06	2.72342e+06	3.97536e+06
P00350	P00350		gnd		3.80933e+07	3.87947e+07	3.82353e+07	3.79318e+07	3.79638e+07	3.77725e+07
P00363	P00363		frdA		5.02709e+07	5.21654e+07	5.13718e+07	4.99158e+07	4.95676e+07	4.8599e+07
P00370	P00370		gdhA		1.96968e+06	2.06079e+06	1.95759e+06	2.05711e+06	1.94759e+06	1.8861e+06
P00393	P00393		ndh		5.52954e+06	5.73303e+06	5.76952e+06	5.58131e+06	5.47087e+06	5.64722e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.30762e+06	2.26092e+06	2.26448e+06	1.30106e+06	1.39664e+06	1.81759e+06
P00448	P00448		sodA		3.81743e+06	3.86862e+06	3.96991e+06	3.80555e+06	3.86041e+06	3.68618e+06
P00452	P00452		nrdA		9.74802e+06	1.00375e+07	9.86621e+06	9.72492e+06	9.68357e+06	9.96094e+06
