Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1				1.55152e+06		
DECOY_sp|P0ACM5|YEGW_ECOLI	Uncharacterized	Uncharacterized		1	1			1.49019e+06			
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1		3.06406e+06		2.98182e+06	2.87126e+06	2.70082e+06
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	6.88848e+07	8.86675e+07	1.01226e+08		8.98675e+07	
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1		3.24883e+06				5.17666e+06
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		1	1					7.83404e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.00526e+07	9.97083e+06	9.7194e+06	1.04327e+07	9.71971e+06	9.55118e+06
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1				1.1135e+06		
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		6	6		5.68091e+07		5.42142e+07	5.1285e+07	
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8		1.80491e+08		1.81589e+08	1.85552e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		5.46006e+07		5.16581e+07	5.60168e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.41622e+08	3.31669e+08	3.417e+08	3.33294e+08	3.17185e+08	3.32254e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.19762e+08	2.00647e+08	2.0793e+08	2.0552e+08	2.11465e+08	2.10232e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.61131e+07	1.5599e+07	1.49827e+07	1.56449e+07	1.5651e+07	1.60653e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.86462e+07	2.90502e+07	2.89085e+07	2.77254e+07	2.78517e+07	2.91049e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		2.83079e+07		3.12377e+07	3.14377e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	5.02738e+07	4.68278e+07	4.58322e+07	4.91973e+07	4.92543e+07	4.76648e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.27921e+07	4.18602e+07	4.34574e+07	4.16475e+07	4.22447e+07	4.35911e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.69208e+07	3.488e+07	3.86917e+07	3.60227e+07	3.71291e+07	3.83049e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.53175e+07	9.34534e+07	9.36666e+07	9.2103e+07	9.60176e+07	9.28818e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2		3.32333e+06	3.37839e+06	3.91631e+06	3.81367e+06	3.4211e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.56993e+06	3.67239e+06	3.66332e+06	3.75111e+06	3.25128e+06	3.53604e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.42567e+07	1.35393e+07	1.43083e+07	1.3755e+07	1.46685e+07	1.38745e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.46114e+06	7.0977e+06	7.76548e+06	7.37245e+06	7.8063e+06	7.59612e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.30784e+08	1.33448e+08	1.33979e+08	1.34149e+08	1.39731e+08	1.39284e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.3894e+07	2.45609e+07	2.4719e+07	2.40923e+07	2.42328e+07	2.42566e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		3.47916e+07		3.76978e+07	3.66811e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.53794e+07	1.50339e+07	1.49068e+07	1.5132e+07	1.53232e+07	1.41977e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.35384e+08	1.28059e+08	1.37595e+08	1.32418e+08	1.32661e+08	1.35588e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	4.15881e+06	4.55252e+06	4.35648e+06	3.9942e+06	4.23676e+06	3.80326e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.6065e+06	1.39473e+06	1.55649e+06	1.45349e+06	1.87193e+06	1.56282e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.23686e+07	6.17176e+07	6.32032e+07	6.31639e+07	6.34119e+07	6.15286e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.18188e+06	6.17911e+06	6.14385e+06	6.11068e+06	6.53072e+06	6.06976e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.86907e+06	1.0276e+07	1.03545e+07	1.06629e+07	9.98506e+06	1.05849e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		721680	858255	835281	835574	696377
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	963059	970507	1.12478e+06	1.09345e+06	1.05189e+06	1.03114e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.07331e+06	862554	1.12357e+06	1.05256e+06	1.15998e+06	1.08374e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		6.62168e+07		6.68549e+07	6.80122e+07	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		10	10		9.0807e+07		9.18283e+07	9.31978e+07	
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.10122e+06	1.99754e+06	2.17664e+06	1.92685e+06	2.07268e+06	2.14397e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.68456e+07	1.75892e+07	1.81676e+07	1.8812e+07	1.84854e+07	1.81054e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.503e+06	2.42824e+06	2.38409e+06	2.98149e+06	2.29246e+06	2.16762e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		2.87597e+06		2.58762e+06	2.68955e+06	2.67395e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.17839e+07	5.23123e+07	5.15532e+07	5.1797e+07	5.16461e+07	5.38373e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.28393e+07	9.36292e+07	8.35045e+07	9.43367e+07	8.86333e+07	8.07915e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.11243e+08	1.18252e+08	1.10961e+08	1.20409e+08	1.18688e+08	1.14398e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.20518e+08	1.23522e+08	1.20294e+08	1.22095e+08	1.26895e+08	1.19026e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	6.44147e+07	6.20468e+07	6.44646e+07	6.23798e+07	6.17678e+07	6.32667e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.138e+07	3.0289e+07	3.30898e+07	2.94413e+07	3.12426e+07	3.36033e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.68967e+07	7.8688e+07	7.70951e+07	7.77398e+07	8.08938e+07	7.76217e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.97557e+07	7.97084e+07	7.92399e+07	8.16909e+07	7.89862e+07	7.91347e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.01429e+08	9.22216e+07	1.05555e+08	1.00592e+08	9.33184e+07	9.56749e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	1.95241e+07	1.92991e+07	1.9463e+07	2.03404e+07	2.04268e+07	1.97362e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		14	14		7.41805e+07		7.6235e+07	7.43396e+07	
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8		4.98689e+07		4.84157e+07	4.96412e+07	
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4		5.88156e+07		5.88949e+07	5.97227e+07	
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		1.68142e+07		1.85183e+07	1.92839e+07	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		3.62676e+07		3.38777e+07	3.74293e+07	
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7		4.82947e+07		4.98528e+07	4.65746e+07	
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6		6.42001e+07		6.50968e+07	6.58517e+07	
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8		7.55824e+07		7.70355e+07	7.35466e+07	
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	12	12	7.93827e+08	9.11135e+08	7.97601e+08	9.00473e+08	9.21126e+08	7.9661e+08
