Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				8.80808e+06	6.90628e+06	6.42544e+06	8.95148e+06	8.04165e+06	6.7349e+06
DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1	DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1					1.00939e+06	1.02236e+06			1.03612e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.36185e+07	1.7398e+07	2.17004e+07	2.39046e+07	2.51174e+07	1.9848e+07
DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1					351019				
DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1	DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1									1.74083e+06
DECOY_sp|P15977|MALQ_ECOLI 4-alpha-glucanotransferase OS=Escherichia coli (strain K12) GN=malQ PE=3 SV=2	DECOY_sp|P15977|MALQ_ECOLI 4-alpha-glucanotransferase OS=Escherichia coli (strain K12) GN=malQ PE=3 SV=2				265383	357284	418879	312291	267543	395475
DECOY_sp|P42626|YHAM_ECOLI UPF0597 protein YhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3	DECOY_sp|P42626|YHAM_ECOLI UPF0597 protein YhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3				2.19194e+06	1.63913e+06	1.84836e+06	2.26222e+06	2.05803e+06	1.56683e+06
DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1					612192	659851			635569
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.91198e+06	2.07024e+06	2.04739e+06	2.0407e+06	2.15485e+06	2.02512e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.95856e+06	2.96042e+06	3.11588e+06	3.07229e+06	3.15107e+06	2.90204e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.51065e+06	6.72425e+06	6.68766e+06	1.56356e+06	1.60554e+06	6.96356e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.83222e+06	1.18881e+07	1.13943e+07	2.82457e+06	2.44124e+06	1.19352e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.546e+06	1.10553e+07	9.83796e+06	2.59329e+06	2.42875e+06	1.11038e+07
P00350	P00350		gnd		3.7037e+07	3.70312e+07	3.73249e+07	3.72854e+07	3.68897e+07	3.81931e+07
P00363	P00363		frdA		4.75626e+07	4.9003e+07	4.7089e+07	4.77991e+07	4.6379e+07	4.88328e+07
P00370	P00370		gdhA		2.02326e+06	2.07769e+06	2.04864e+06	1.98557e+06	1.98978e+06	2.10626e+06
P00393	P00393		ndh		5.57691e+06	5.48298e+06	5.60289e+06	5.65136e+06	5.71573e+06	5.54698e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.36608e+06	5.11015e+06	4.97161e+06	1.3931e+06	1.29336e+06	5.18492e+06
P00448	P00448		sodA		3.9097e+06	3.99596e+06	3.97182e+06	3.94229e+06	3.91601e+06	4.12742e+06
P00452	P00452		nrdA		6.85321e+06	6.89626e+06	6.79521e+06	6.82131e+06	6.86754e+06	7.04585e+06
P00490	P00490		malP		6.42266e+06	6.06722e+06	6.02161e+06	6.34663e+06	6.33563e+06	5.96058e+06
P00509	P00509		aspC		1.92992e+07	1.90559e+07	1.87187e+07	1.91764e+07	1.91599e+07	1.91027e+07
P00550	P00550		mtlA		610078	635631	676633	628210	715212	690138
P00561	P00561		thrA		2.60171e+06	2.69028e+06	2.58014e+06	2.54844e+06	2.60629e+06	2.59804e+06
P00562	P00562		metL		2.99712e+06	2.78152e+06	2.82777e+06	2.81091e+06	2.90199e+06	2.71792e+06
P00579	P00579		rpoD		9.04267e+06	9.04527e+06	8.76606e+06	8.93524e+06	8.81691e+06	9.1276e+06
P00582	P00582		polA		3.74832e+06	3.72266e+06	3.66649e+06	3.72735e+06	3.66499e+06	3.7252e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.05506e+06	4.26905e+06	4.63716e+06	1.12893e+06	997850	4.38361e+06
P00803	P00803		lepB		5.08993e+06	5.39484e+06	5.45573e+06	5.20577e+06	5.33026e+06	5.63425e+06
P00805	P00805		ansB		2.11451e+07	2.07144e+07	2.08477e+07	2.12335e+07	2.12715e+07	2.08522e+07
P00811	P00811		ampC		1.12269e+06	1.24881e+06	1.26463e+06	1.19974e+06	1.18566e+06	1.21645e+06
P00864	P00864		ppc		1.19184e+07	1.21202e+07	1.19653e+07	1.19987e+07	1.18137e+07	1.19173e+07
P00887	P00887		aroH		1.71541e+06	1.73362e+06	1.64501e+06	1.83177e+06	1.73943e+06	1.63645e+06
P00888	P00888		aroF		2.18839e+06	2.16205e+06	2.18647e+06	2.21035e+06	2.20315e+06	2.24082e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.98531e+06	7.45429e+06	7.15968e+06	1.81794e+06	1.9611e+06	7.57775e+06
