Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2								2.14275e+06	
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.65712e+07	2.03911e+07	1.90016e+07	2.24942e+07	2.27481e+07	2.28999e+07
DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1				115770					
DECOY_sp|P0AG48|RL21_ECOLI 50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1	DECOY_sp|P0AG48|RL21_ECOLI 50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1					1.4115e+06				
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				5.59593e+06	5.68502e+06	5.76805e+06	6.62973e+06	6.52037e+06	6.69721e+06
DECOY_sp|P37678|SGBH_ECOLI 3-keto-L-gulonate-6-phosphate decarboxylase SgbH OS=Escherichia coli (strain K12) GN=sgbH PE=1 SV=1	DECOY_sp|P37678|SGBH_ECOLI 3-keto-L-gulonate-6-phosphate decarboxylase SgbH OS=Escherichia coli (strain K12) GN=sgbH PE=1 SV=1				3.0795e+06	3.02774e+06	2.78571e+06	3.60237e+06	3.68426e+06	
DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1				380173	502058	586826			353911
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.74723e+06	1.77882e+06	1.67092e+06	2.03203e+06	2.30585e+06	2.1572e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.52901e+06	2.72368e+06	2.63144e+06	3.17643e+06	3.01543e+06	3.20211e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5.61942e+06	5.49434e+06	5.73988e+06	1.06621e+07	1.06735e+07	1.00217e+07
