Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1				1.56171e+06		
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	3.31516e+06	3.14208e+06	3.17716e+06	2.96259e+06	2.80084e+06	3.20253e+06
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		1	1					7.54487e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.01116e+07	9.63469e+06		9.96266e+06	9.44697e+06	
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1				1.16964e+06		
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.08339e+08	5.84349e+07	1.05715e+08	5.58713e+07	5.46129e+07	1.05411e+08
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	1.90347e+08	1.11784e+08	1.96463e+08	1.08608e+08	1.08865e+08	2.01513e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.24731e+08	6.46051e+07	1.2131e+08	6.22057e+07	6.39609e+07	1.22638e+08
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.51031e+08	3.4914e+08	3.56304e+08	3.47595e+08	3.29022e+08	3.55219e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.30549e+08	2.14778e+08	2.23354e+08	2.17978e+08	2.14079e+08	2.12652e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.5075e+07	1.55919e+07	1.48281e+07	1.54818e+07	1.52911e+07	1.57362e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.49666e+07	2.59382e+07	2.43932e+07	2.42319e+07	2.45316e+07	2.37307e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	6.06109e+07	3.1486e+07	5.89878e+07	3.37158e+07	3.29271e+07	5.76688e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.76299e+07	4.76155e+07	4.56117e+07	4.8367e+07	4.70947e+07	4.56577e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.40135e+07	4.32091e+07	4.53521e+07	4.19466e+07	4.17618e+07	4.43676e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.88378e+07	3.75363e+07	3.90357e+07	3.8348e+07	3.88852e+07	3.83049e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.91834e+07	1.00545e+08	1.04505e+08	9.91466e+07	1.00015e+08	9.90619e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.37025e+06	3.01306e+06	3.24781e+06	3.51611e+06	3.55227e+06	3.34553e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.70619e+06	3.26236e+06	3.1874e+06	3.26471e+06	2.99805e+06	2.97657e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.19147e+07	1.2391e+07	1.16669e+07	1.25311e+07	1.27395e+07	1.22434e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	6.31276e+06	6.46877e+06	6.52701e+06	6.55813e+06	6.88882e+06	6.55252e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.00284e+07	8.2769e+07	8.79141e+07	8.22899e+07	8.29504e+07	8.58873e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	44	44	2.3314e+07	2.43491e+07	2.30664e+07	2.37618e+07	2.32316e+07	2.27201e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	7.3718e+07	3.89756e+07	7.56209e+07	4.18351e+07	3.91218e+07	8.62018e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.58871e+07	1.57438e+07	1.53439e+07	1.52515e+07	1.54335e+07	1.63408e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.46681e+08	1.44216e+08	1.4651e+08	1.47048e+08	1.46798e+08	1.47958e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	4.048e+06	4.10191e+06	4.18433e+06	3.75005e+06	3.82084e+06	3.94738e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.4721e+06	1.3587e+06	1.27972e+06	1.3776e+06	1.70548e+06	1.53386e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.35548e+07	6.3947e+07	6.41804e+07	6.48824e+07	6.41488e+07	6.51888e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.40008e+06	7.25694e+06	8.08871e+06	6.85396e+06	7.46847e+06	8.79854e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.73722e+06	1.08635e+07	1.08654e+07	1.13612e+07	1.07592e+07	1.08789e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	767845	837548		1.01127e+06	971185	849742
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.35613e+06	1.42671e+06	1.5152e+06	1.56085e+06	1.43621e+06	1.29678e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.33905e+06	1.13751e+06	1.3501e+06	1.28959e+06	1.47601e+06	1.48548e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.27528e+08	6.65795e+07	1.21156e+08	6.61539e+07	6.54687e+07	1.33171e+08
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12	1.931e+08	9.80833e+07	1.89209e+08	9.67504e+07	9.94259e+07	1.96253e+08
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.68438e+06	1.66688e+06	1.38057e+06	1.73954e+06	1.66023e+06	1.5708e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.70383e+07	1.79312e+07	1.72972e+07	1.88203e+07	1.80843e+07	1.82368e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.48207e+06	2.54382e+06	2.14612e+06	2.85718e+06	2.25097e+06	2.41371e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	3.0095e+06	2.92019e+06	2.6167e+06	2.61259e+06	2.34747e+06	3.08379e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.65897e+07	5.63147e+07	5.70466e+07	5.57782e+07	5.41813e+07	5.56862e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.53038e+07	9.7288e+07	8.94869e+07	9.91684e+07	8.97459e+07	8.94218e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.11304e+08	1.14087e+08	1.10756e+08	1.13868e+08	1.10521e+08	1.12027e+08
