Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P23908	P23908		argE		1.69676e+06	1.627e+06	1.46636e+06	1.48037e+06	1.65175e+06	1.4509e+06
P23909	P23909		mutS		3.56237e+06	3.56733e+06	3.58354e+06	3.47075e+06	3.59632e+06	3.54435e+06
P23917	P23917		mak		1.72925e+06	1.72009e+06	1.69698e+06	1.69509e+06	1.60818e+06	1.80785e+06
P24169	P24169		speF		3.25045e+06	3.11976e+06	3.13666e+06	3.24966e+06	3.14479e+06	3.297e+06
P24171	P24171		dcp		2.9117e+06	2.8317e+06	2.83225e+06	2.75383e+06	2.8362e+06	2.90815e+06
P24173	P24173		rfaC		768233	634397	718411	782805	633994	747368
P24178	P24178		yffB		4.03103e+06	4.57419e+06	4.6881e+06	3.86802e+06	4.74714e+06	4.06702e+06
P24182	P24182		accC		2.08485e+07	2.11613e+07	2.10695e+07	2.06035e+07	2.10891e+07	2.0792e+07
P24183	P24183		fdnG		4.12827e+06	4.15387e+06	4.13207e+06	4.1114e+06	4.13064e+06	4.14098e+06
P24186	P24186		folD		5.99401e+06	5.86995e+06	5.89053e+06	5.89908e+06	5.99397e+06	5.92748e+06
P24193	P24193		hypE		2.7991e+06	2.94795e+06	2.78069e+06	2.67051e+06	2.7571e+06	2.71554e+06
P24202	P24202		mrr		2.14837e+06	2.07658e+06	2.19768e+06	2.07098e+06	2.17885e+06	2.2891e+06
P24203	P24203		yjiA		3.31822e+06	3.24683e+06	3.16825e+06	3.22734e+06	3.28745e+06	3.42389e+06
P24205	P24205		msbB		2.32985e+06	2.11267e+06	2.34055e+06	2.3927e+06	2.10755e+06	2.37372e+06
P24215	P24215		uxuA		2.58899e+06	2.5726e+06	2.68164e+06	2.78422e+06	2.5967e+06	2.57364e+06
P24216	P24216		fliD		901816	879932	887850	925958	845344	828842
P24224	P24224		acpS		2.1623e+06	1.99617e+06	2.05134e+06	1.88193e+06	2.01578e+06	2.06557e+06
P24228	P24228		dacB		1.74945e+06	2.00331e+06	1.78674e+06	1.87495e+06	1.76183e+06	1.73169e+06
P24232	P24232		hmp		1.55632e+06	1.51059e+06	1.40084e+06	1.58477e+06	1.34609e+06	1.46621e+06
P24251	P24251		crl		6.45627e+06	6.19396e+06	6.02571e+06	6.05154e+06	5.97616e+06	6.0295e+06
P24252	P24252		ybgA		1.46778e+06	1.62832e+06	1.3587e+06	1.14739e+06	1.53584e+06	1.5672e+06
P24255	P24255		rpoN		674080	768616	712613	613261	797928	735611
P24554	P24554		radA		1.29468e+06	1.24938e+06	1.3913e+06	1.33107e+06	1.18702e+06	1.32573e+06
P25397	P25397		tehB		4.15619e+06	4.37392e+06	4.48203e+06	4.00944e+06	4.32431e+06	4.21572e+06
P25437	P25437		frmA		7.94615e+06	7.80346e+06	7.96371e+06	7.90614e+06	8.05791e+06	8.17735e+06
P25516	P25516		acnA		3.20225e+06	3.17418e+06	3.22186e+06	3.20332e+06	3.01021e+06	3.20341e+06
P25519	P25519		hflX		2.73327e+06	2.66116e+06	2.66933e+06	2.77981e+06	2.65132e+06	2.71034e+06
P25522	P25522		mnmE		4.47101e+06	4.36264e+06	4.439e+06	4.44513e+06	4.30147e+06	4.37687e+06
P25524	P25524		codA		2.1575e+06	2.23413e+06	2.33187e+06	2.25259e+06	2.35467e+06	2.27569e+06
P25534	P25534		ubiH		844356	853696	906781	865957	846905	802931
P25535	P25535		visC		2.14668e+06	2.0681e+06	2.16878e+06	1.91347e+06	2.07364e+06	2.02414e+06
P25536	P25536		yhdE		2.46828e+06	2.48521e+06	2.50776e+06	2.60119e+06	2.50562e+06	2.5827e+06
P25539	P25539		ribD		3.77131e+06	3.83269e+06	3.84051e+06	3.74149e+06	3.95435e+06	3.96692e+06
P25552	P25552		gppA		2.69881e+06	2.48092e+06	2.43962e+06	2.61359e+06	2.5345e+06	2.60917e+06
P25714	P25714		yidC		6.85727e+06	6.47731e+06	6.83582e+06	6.7436e+06	6.82319e+06	7.14927e+06
P25736	P25736		endA		1.29777e+06	1.4213e+06	1.34154e+06	1.3411e+06	1.30537e+06	1.38333e+06
P25745	P25745		mnmA		3.93005e+06	3.94341e+06	3.9623e+06	3.86989e+06	3.85252e+06	3.91797e+06
P25746	P25746		hflD		3.57491e+06	3.66292e+06	3.54062e+06	3.62809e+06	3.50946e+06	3.43386e+06
P25888	P25888		rhlE		2.43021e+06	2.59998e+06	2.4609e+06	2.555e+06	2.56984e+06	2.52201e+06
P25894	P25894		yggG		909504	890731	922744	861882	925272	893089
P25906	P25906		ydbC		859807	769156	830577	837136	844749	827867
P26602	P26602		ubiC		895488	915034	905292	958525	922866	993487
P26608	P26608		fliS		4.6059e+06	4.78208e+06	4.876e+06	4.16903e+06	4.63582e+06	4.42258e+06
P26612	P26612		amyA		706826	770711	744282	722355	751904	715310
P26616	P26616		maeA		8.96044e+06	9.256e+06	8.98952e+06	8.95755e+06	9.02269e+06	8.66471e+06
P26646	P26646		acuI		2.86298e+06	3.03252e+06	2.9567e+06	2.81513e+06	3.22176e+06	2.94187e+06
P26647	P26647		plsC		1.20105e+06	1.15848e+06	1.09538e+06	1.11331e+06	1.14107e+06	1.16992e+06
