Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A7G6	P0A7G6		recA		9.73433e+06	9.84834e+06	1.00017e+07	9.73894e+06	9.69214e+06	1.00487e+07
P0A7H6	P0A7H6		recR		652670	563727	697733	644836	604110	722708
P0A7I0	P0A7I0		prfA		3.3921e+06	3.51545e+06	3.49212e+06	3.49978e+06	3.36371e+06	3.47665e+06
P0A7I4	P0A7I4		prfC		5.07976e+06	5.27547e+06	5.31694e+06	5.24074e+06	5.08096e+06	5.13446e+06
P0A7I7	P0A7I7		ribA		8.68893e+06	8.92096e+06	8.5819e+06	8.65387e+06	8.73685e+06	8.41793e+06
P0A7J0	P0A7J0		ribB		1.19676e+07	1.26325e+07	1.24506e+07	1.26428e+07	1.21456e+07	1.24755e+07
P0A7J3	P0A7J3		rplJ		4.8373e+08	5.2518e+08	5.17993e+08	5.17771e+08	4.93056e+08	4.83447e+08
P0A7J7	P0A7J7		rplK		6.44091e+07	6.71037e+07	6.68428e+07	6.58002e+07	6.42176e+07	6.51286e+07
P0A7K2	P0A7K2		rplL		1.72423e+08	1.57203e+08	1.58872e+08	1.61743e+08	1.74251e+08	1.77128e+08
P0A7K6	P0A7K6		rplS		5.49942e+07	5.52045e+07	5.52293e+07	5.55994e+07	5.40647e+07	5.4022e+07
P0A7L0	P0A7L0		rplA		2.22073e+08	2.18494e+08	2.15454e+08	2.18452e+08	2.25395e+08	2.22391e+08
P0A7L3	P0A7L3		rplT		4.29894e+07	3.67954e+07	3.77898e+07	3.8007e+07	4.07749e+07	4.27719e+07
P0A7L8	P0A7L8		rpmA		1.24763e+08	1.23221e+08	1.21326e+08	1.22459e+08	1.26453e+08	1.25701e+08
P0A7M2	P0A7M2		rpmB		2.01001e+08	2.03005e+08	2.00099e+08	1.90892e+08	1.94708e+08	2.03177e+08
P0A7M6	P0A7M6		rpmC		2.36319e+07	2.18244e+07	2.15506e+07	2.22758e+07	2.30892e+07	2.20878e+07
P0A7M9	P0A7M9		rpmE		9.09472e+07	9.49799e+07	9.44908e+07	9.64385e+07	9.24481e+07	9.03449e+07
P0A7N4	P0A7N4		rpmF		3.7629e+07	3.77692e+07	3.95357e+07	3.90894e+07	3.9328e+07	3.81967e+07
P0A7N9	P0A7N9		rpmG		1.07461e+08	1.14213e+08	1.15032e+08	1.13691e+08	1.1109e+08	1.07749e+08
P0A7P5	P0A7P5		rpmH		2.79753e+07	2.62266e+07	2.5112e+07	2.47534e+07	2.75535e+07	2.5597e+07
P0A7Q1	P0A7Q1		rpmI		1.3747e+07	1.85121e+07	1.76029e+07	1.86563e+07	1.41295e+07	1.44569e+07
P0A7R1	P0A7R1		rplI		2.9354e+08	3.09534e+08	3.04896e+08	3.06119e+08	2.89855e+08	2.92226e+08
P0A7R5	P0A7R5		rpsJ		1.67473e+08	1.66798e+08	1.63849e+08	1.66028e+08	1.6304e+08	1.59717e+08
P0A7R9	P0A7R9		rpsK		9.16274e+07	9.45602e+07	9.73055e+07	9.58076e+07	9.29482e+07	9.1694e+07
