Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P0AGJ7	P0AGJ7		trmL		2.87941e+06	2.91703e+06	3.12537e+06	3.1355e+06	3.07928e+06	3.15039e+06
P0AGJ9	P0AGJ9		tyrS		1.1674e+07	1.17331e+07	1.19785e+07	1.1497e+07	1.17249e+07	1.00163e+07
P0AGK4	P0AGK4		yhbY		1.508e+07	1.54854e+07	1.46834e+07	1.46766e+07	1.49035e+07	1.4715e+07
P0AGK8	P0AGK8		iscR		2.00742e+06	2.09738e+06	2.15582e+06	2.11605e+06	1.95129e+06	1.98668e+06
P0AGL2	P0AGL2		tdcF		1.04917e+06	1.03032e+06	927780	996309	943447	1.19537e+06
P0AGL7	P0AGL7		rsmE		4.00671e+06	4.09302e+06	4.0092e+06	4.05837e+06	4.08203e+06	4.04302e+06
P0AGM5	P0AGM5		sirB1		442791	406034	459678	423685	371490	463801
P0C018	P0C018		rplR		3.47379e+07	3.73546e+07	3.79669e+07	3.60762e+07	3.70893e+07	3.25383e+07
P0C037	P0C037		yaiE		6.35626e+06	6.4985e+06	6.32255e+06	6.81328e+06	6.37226e+06	5.72987e+06
P0C054	P0C054		ibpA		4.84507e+06	4.89825e+06	4.8231e+06	4.71627e+06	4.6908e+06	4.73013e+06
P0C093	P0C093		slmA		3.40265e+06	3.50108e+06	3.03868e+06	3.2514e+06	3.24024e+06	3.595e+06
P0C0K3	P0C0K3		rdoA		970641	985596	1.05282e+06	1.00482e+06	1.02827e+06	1.02265e+06
P0C0L2	P0C0L2		osmC		5.36126e+06	5.35773e+06	5.21538e+06	5.22666e+06	5.36127e+06	4.88601e+06
P0C0L7	P0C0L7		proP		2.50942e+06	2.57212e+06	2.45548e+06	2.39031e+06	2.53717e+06	2.45424e+06
P0C0L9	P0C0L9		iscX		1.52191e+06	1.55588e+06	1.6471e+06	1.60765e+06	1.66917e+06	1.49757e+06
P0C0R7	P0C0R7		rlmE		2.96855e+06	2.89651e+06	2.96461e+06	2.84506e+06	2.94283e+06	3.13531e+06
P0C0S1	P0C0S1		mscS		9.04748e+06	9.06594e+06	8.21686e+06	8.09676e+06	8.60347e+06	9.82618e+06
P0C0V0	P0C0V0		degP		1.49753e+07	1.48635e+07	1.46565e+07	1.46837e+07	1.46477e+07	1.42658e+07
P0C960	P0C960		emtA		78528.8	83170.4				123549
P0CB39	P0CB39		eptC		1.71627e+06	1.80245e+06	1.68102e+06	1.65389e+06	1.7227e+06	1.71704e+06
P0CE47	P0CE47		tufA		1.50872e+09	1.50923e+09	1.60696e+09	1.58361e+09	1.58057e+09	1.29264e+09
P0CG19	P0CG19		rph		7.16933e+06	6.74889e+06	6.82168e+06	6.99695e+06	6.91848e+06	6.82558e+06
P0CK95	P0CK95		yghJ		4.7427e+06	4.71105e+06	4.84844e+06	4.90268e+06	4.81872e+06	4.73508e+06
P10100	P10100		rlpA		3.38635e+06	3.433e+06	3.46656e+06	3.57586e+06	3.62504e+06	3.75301e+06
P10121	P10121		ftsY		5.37922e+06	5.39416e+06	5.49567e+06	5.3872e+06	5.41239e+06	5.41052e+06
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				916882	998560	162797	225417	160363	832181
P10346	P10346		glnQ		3.15121e+06	3.01848e+06	3.24236e+06	3.26163e+06	3.10814e+06	3.11187e+06
P10371	P10371		hisA		2.98132e+06	2.84229e+06	2.86121e+06	3.03261e+06	2.9565e+06	2.63293e+06
P10384	P10384		fadL		1.03272e+07	1.02911e+07	1.00235e+07	1.03239e+07	1.05268e+07	9.036e+06
P10408	P10408		secA		7.2212e+06	7.34934e+06	7.31542e+06	7.31722e+06	7.3017e+06	6.97964e+06
P10441	P10441		lpxB		994031	1.04341e+06	1.09591e+06	1.02189e+06	1.07245e+06	1.0603e+06
P10443	P10443		dnaE		1.09571e+06	1.14701e+06	1.13928e+06	1.05403e+06	1.23001e+06	864212
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				2.65676e+06	2.60898e+06	695173	766993	678150	2.50825e+06
P10903	P10903		narK		2.50388e+06	2.43543e+06	2.83223e+06	2.48103e+06	2.60684e+06	1.87124e+06
P10908	P10908		ugpQ		360247	473310	416327	484630	427873	438112
P11349	P11349		narH		1.58918e+06	1.51892e+06	1.60391e+06	1.56244e+06	1.56033e+06	1.60736e+06
P11447	P11447		argH		2.00764e+06	2.03857e+06	2.04221e+06	2.09582e+06	2.15284e+06	1.90842e+06
P11557	P11557		damX		7.91174e+06	8.06854e+06	8.4705e+06	8.33898e+06	8.59163e+06	7.77964e+06
P11875	P11875		argS		1.2913e+07	1.29214e+07	1.24603e+07	1.26545e+07	1.24546e+07	1.35636e+07
P11880	P11880		murF		5.75334e+06	5.3574e+06	5.66149e+06	5.44028e+06	5.61334e+06	5.25495e+06
P12008	P12008		aroC		3.37312e+06	3.53879e+06	3.43357e+06	3.43413e+06	3.41177e+06	3.64581e+06
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				5.96547e+06	6.13814e+06	1.6278e+06	1.66789e+06	1.74552e+06	6.21586e+06
P12281	P12281		moeA		5.80067e+06	5.92548e+06	6.11587e+06	5.97264e+06	5.88125e+06	5.54149e+06
P12295	P12295		ung		2.08141e+06	2.07171e+06	2.03431e+06	2.00507e+06	1.99301e+06	1.76635e+06
