Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1				1.59447e+06		
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	3.89173e+06	3.52885e+06		3.61922e+06	3.19588e+06	2.84469e+06
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		2	2		4.33882e+06		3.73303e+06	3.95531e+06	
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		2	2	1.57985e+06		1.52848e+06	1.22342e+06		
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.03945e+07	5.37136e+07	1.01411e+07	5.22838e+07	5.0683e+07	1.0102e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	3.76291e+07	2.03361e+08	4.00524e+07	1.9844e+08	2.09634e+08	4.01196e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.39302e+07	6.39153e+07	1.14486e+07	6.13893e+07	6.56517e+07	1.25425e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.64062e+08	3.63827e+08	3.63572e+08	3.64256e+08	3.49894e+08	3.64606e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.59505e+08	2.48753e+08	2.60452e+08	2.47511e+08	2.78793e+08	2.62001e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.65139e+07	1.71376e+07	1.65498e+07	1.76973e+07	1.80768e+07	1.5884e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	20	20	3.94183e+07	4.04125e+07	3.86905e+07	3.93605e+07	3.88884e+07	4.01456e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		3.44806e+07	8.04407e+06	3.47995e+07	3.55657e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.56601e+07	4.51517e+07	4.39819e+07	4.47025e+07	4.52642e+07	4.3994e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.43371e+07	4.41762e+07	4.3188e+07	4.31361e+07	4.38772e+07	4.39541e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	4.24987e+07	3.85585e+07	4.24857e+07	3.87266e+07	4.05469e+07	4.20521e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.02844e+08	1.04832e+08	1.04844e+08	1.01685e+08	1.04971e+08	1.01926e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.75119e+06	3.4498e+06	3.67698e+06	3.65956e+06	3.87271e+06	3.25897e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.04326e+06	3.36386e+06	3.41504e+06	3.47759e+06	3.25481e+06	3.10074e+06
