Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
DECOY_sp|P0A6E9|BIOD2_ECOLI ATP-dependent dethiobiotin synthetase BioD 2 OS=Escherichia coli (strain K12) GN=bioD2 PE=3 SV=1	DECOY_sp|P0A6E9|BIOD2_ECOLI ATP-dependent dethiobiotin synthetase BioD 2 OS=Escherichia coli (strain K12) GN=bioD2 PE=3 SV=1					1.99685e+06	2.37399e+06	2.2808e+06	2.45668e+06	2.62086e+06
DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1	DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1				990737	1.00818e+06		1.02568e+06	1.06255e+06	1.17301e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.72466e+07	2.11792e+07	2.5245e+07	1.96383e+07	2.42809e+07	2.44064e+07
DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1				3.75872e+06	3.59369e+06	3.65978e+06	4.10268e+06	4.11977e+06	3.33717e+06
DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1	DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1							1.71513e+06		
DECOY_sp|P37624|YHIH_ECOLI Uncharacterized ABC transporter ATP-binding protein YhiH OS=Escherichia coli (strain K12) GN=yhiH PE=3 SV=3	DECOY_sp|P37624|YHIH_ECOLI Uncharacterized ABC transporter ATP-binding protein YhiH OS=Escherichia coli (strain K12) GN=yhiH PE=3 SV=3				662018	717596	672823	755389	609568	634376
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				5.98324e+06	6.66835e+06	6.59692e+06	6.14262e+06	6.16592e+06	
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				3.96688e+06	3.88556e+06	4.04734e+06	3.92818e+06	4.13651e+06	3.78262e+06
DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1				1.38165e+06	1.40756e+06	1.45734e+06	1.51157e+06	1.48647e+06	1.43109e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.81334e+06	3.02164e+06	2.27472e+06	2.84643e+06	2.39297e+06	2.10455e+06
DECOY_sp|Q00037|TNPA_ECOLI Transposase for transposon gamma-delta OS=Escherichia coli (strain K12) GN=tnpA PE=3 SV=1	DECOY_sp|Q00037|TNPA_ECOLI Transposase for transposon gamma-delta OS=Escherichia coli (strain K12) GN=tnpA PE=3 SV=1				3.44054e+06	3.39122e+06	3.79941e+06	3.82232e+06	4.23894e+06	
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.2812e+06	6.21077e+06		6.21038e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				9.02267e+06	8.73567e+06		8.97824e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.70323e+06	8.90716e+06		9.70875e+06		
P00350	P00350		gnd		3.66478e+07	3.68962e+07	3.67604e+07	3.78707e+07	3.71813e+07	3.6482e+07
P00363	P00363		frdA		4.46701e+07	4.28977e+07	4.31292e+07	4.4514e+07	4.28773e+07	4.36209e+07
P00370	P00370		gdhA		2.27252e+06	2.20786e+06	2.23489e+06	2.2584e+06	2.2541e+06	2.2732e+06
P00393	P00393		ndh		5.99532e+06	6.1385e+06	6.06234e+06	6.07846e+06	6.17011e+06	6.06164e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.58118e+06	4.54667e+06		4.61903e+06		
P00448	P00448		sodA		3.49568e+06	3.55303e+06	3.46747e+06	3.61525e+06	3.58362e+06	3.42159e+06
P00452	P00452		nrdA		1.03068e+07	1.00267e+07	1.02973e+07	1.04323e+07	1.03575e+07	1.06357e+07
P00490	P00490		malP		6.06957e+06	5.87157e+06	6.08857e+06	5.80402e+06	5.95637e+06	6.0885e+06
P00509	P00509		aspC		1.88906e+07	1.863e+07	1.89164e+07	1.88264e+07	1.90284e+07	1.91175e+07
P00550	P00550		mtlA		847873	916802	893022	970071	940677	961780
P00561	P00561		thrA		1.15779e+06	1.09513e+06	1.13934e+06	1.08816e+06	1.13231e+06	1.15337e+06
P00562	P00562		metL		2.54847e+06	2.58996e+06	2.55733e+06	2.56175e+06	2.56526e+06	2.72114e+06
P00579	P00579		rpoD		8.58273e+06	8.34057e+06	8.81544e+06	8.6277e+06	8.77691e+06	8.76839e+06
P00582	P00582		polA		4.64415e+06	4.69581e+06	4.83587e+06	4.71243e+06	4.81558e+06	4.61597e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				3.44607e+06	3.69577e+06	1.67036e+06	3.63858e+06	854618	1.39547e+06
P00803	P00803		lepB		4.28614e+06	3.98832e+06	4.37961e+06	4.44222e+06	4.35944e+06	4.41016e+06
P00805	P00805		ansB		2.17126e+07	2.19935e+07	2.2854e+07	2.17819e+07	2.23438e+07	2.24982e+07
P00811	P00811		ampC		1.1236e+06	1.16793e+06	1.19744e+06	1.15793e+06	1.16257e+06	1.14282e+06
P00864	P00864		ppc		1.17567e+07	1.16798e+07	1.16692e+07	1.16569e+07	1.15862e+07	1.1974e+07
P00887	P00887		aroH		1.63915e+06	1.70677e+06	1.52983e+06	1.46318e+06	1.17056e+06	1.29369e+06
P00888	P00888		aroF		2.03911e+06	1.96193e+06	2.1261e+06	2.12837e+06	2.04066e+06	2.07747e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				7.52198e+06	7.41264e+06	2.80767e+06	7.60241e+06		
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.09392e+07	1.09582e+07	1.23139e+06	1.10079e+07		
P00934	P00934		thrC		4.6972e+06	4.8306e+06	4.85906e+06	4.82793e+06	4.64711e+06	4.50338e+06
P00935	P00935		metB		1.25067e+06	795314	485979	727568	494569	
P00936	P00936		cyaA		1.01202e+06	920004	800252	1.02256e+06	862520	889402
P00946	P00946		manA		1.21815e+07	1.18232e+07	1.19177e+07	1.22855e+07	1.18532e+07	1.1793e+07
P00954	P00954		trpS		1.38662e+07	1.40862e+07	1.37646e+07	1.42817e+07	1.3214e+07	1.32303e+07
P00956	P00956		ileS		2.74676e+07	2.68916e+07	2.57605e+07	2.72115e+07	2.58885e+07	2.63707e+07
P00957	P00957		alaS		1.87525e+07	1.8627e+07	1.80268e+07	1.88513e+07	1.79411e+07	1.81126e+07
P00959	P00959		metG		1.9881e+07	2.02917e+07	1.92181e+07	2.07246e+07	1.93029e+07	1.92232e+07
P00960	P00960		glyQ		5.10301e+06	4.819e+06	4.97237e+06	5.15758e+06	5.07172e+06	4.79263e+06
P00961	P00961		glyS		1.20862e+07	1.17943e+07	1.14273e+07	1.18126e+07	1.17182e+07	1.17515e+07
P00962	P00962		glnS		1.07488e+07	1.08818e+07	1.05499e+07	1.08641e+07	1.06577e+07	1.07889e+07
P00963	P00963		asnA		1.591e+07	1.60963e+07	1.41879e+07	1.63864e+07	1.4893e+07	1.38318e+07
P00968	P00968		carB		4.45762e+06	4.46455e+06	4.523e+06	4.4116e+06	4.64092e+06	4.63562e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				3.52929e+06	3.64015e+06	1.9546e+06	3.65138e+06	1.13681e+06	2.40674e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				1.39721e+07	1.16857e+07		1.43889e+07		
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				1.74225e+07	1.71522e+07		1.76558e+07		
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.35243e+07	1.3202e+07		1.35722e+07		
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				2.88792e+06	2.86795e+06	2.21813e+06	2.73966e+06	763452	
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				1.92937e+07	1.90187e+07	140013	1.96576e+07	153625	135709
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				3.99389e+06	3.95183e+06		3.99771e+06		
