Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AC81	P0AC81		gloA		1.69998e+06	1.34739e+06	1.41776e+06	1.55415e+06	1.28678e+06	1.63331e+06
P0AC84	P0AC84		gloB		1.14608e+06	1.09942e+06	1.21846e+06	1.15805e+06	1.06823e+06	1.01307e+06
P0AC86	P0AC86		glgP		1.78347e+06	1.70403e+06	1.73738e+06	1.81727e+06	1.74641e+06	1.82562e+06
P0AC92	P0AC92		gnsA		4.80998e+06	5.07948e+06	5.25884e+06	5.02259e+06	5.51294e+06	5.16526e+06
P0ACA1	P0ACA1		yibF		378378	472438	396114	385583	344459	280612
P0ACA3	P0ACA3		sspA		2.65883e+07	2.89775e+07	2.90544e+07	2.75372e+07	2.84998e+07	2.66744e+07
P0ACA7	P0ACA7		gstB		2.19958e+06	2.11966e+06	2.17521e+06	2.26684e+06	2.17524e+06	2.23352e+06
P0ACB0	P0ACB0		dnaB		2.7781e+06	2.79135e+06	2.64844e+06	2.80169e+06	2.69708e+06	2.64095e+06
P0ACB2	P0ACB2		hemB		1.15968e+07	1.27034e+07	1.32933e+07	1.19935e+07	1.36794e+07	1.20659e+07
P0ACB4	P0ACB4		hemG		2.27238e+06	2.58959e+06	2.65998e+06	2.75615e+06	2.26928e+06	2.14321e+06
P0ACB7	P0ACB7		hemY		5.5985e+06	5.39754e+06	5.63017e+06	5.52339e+06	5.43545e+06	5.41978e+06
