Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P15770	P15770		aroE		4.29775e+06	4.31956e+06	4.34019e+06	4.64312e+06	4.29535e+06	4.25264e+06
P15877	P15877		gcd		397522	463350	471179	309185	352295	429040
P15977	P15977		malQ		3.22527e+06	3.42446e+06	3.47691e+06	3.3518e+06	3.54277e+06	3.6382e+06
P16095	P16095		sdaA		5.61556e+06	5.71301e+06	5.66439e+06	5.66222e+06	5.53127e+06	4.7781e+06
P16384	P16384		miaA		2.20284e+06	2.10961e+06	2.12295e+06	2.14837e+06	2.23375e+06	2.14355e+06
P16431	P16431		hycE		2.83689e+06	2.93559e+06	2.99317e+06	2.93914e+06	2.78254e+06	2.83621e+06
P16433	P16433		hycG		970184	960241	983040	899989	1.07755e+06	1.04952e+06
P16456	P16456		selD		5.4831e+06	5.57354e+06	5.51149e+06	5.57975e+06	5.27404e+06	5.40973e+06
P16528	P16528		iclR		1.81194e+06	1.84626e+06	1.82626e+06	1.83046e+06	1.86608e+06	1.88966e+06
P16659	P16659		proS		1.10196e+07	1.08821e+07	1.08381e+07	1.08383e+07	1.12508e+07	1.10674e+07
P16676	P16676		cysA		721954	770760	702999	739679	739866	791794
P16700	P16700		cysP		6.28566e+06	6.20951e+06	6.3473e+06	6.28113e+06	6.42796e+06	6.1453e+06
P16703	P16703		cysM		3.75135e+06	3.31879e+06	3.69554e+06	3.58587e+06	3.60237e+06	3.4446e+06
P16869	P16869		fhuE		132619	50200.2	113900	53802.5	152868	127868
P16926	P16926		mreC		1.229e+06	1.25081e+06	1.24266e+06	1.1953e+06	1.22031e+06	1.24308e+06
P17109	P17109		menD		1.71132e+06	1.75395e+06	1.78485e+06	1.83233e+06	1.67855e+06	1.81352e+06
P17115	P17115		gutQ		2.22929e+06	2.16413e+06	2.14765e+06	2.13141e+06	2.11567e+06	2.22269e+06
P17117	P17117		nfsA		4.30514e+06	4.37078e+06	4.32894e+06	4.6184e+06	4.27743e+06	4.5708e+06
P17169	P17169		glmS		4.21268e+07	4.2169e+07	4.27711e+07	4.18144e+07	4.19972e+07	4.15098e+07
P17315	P17315		cirA		2.2948e+06	2.15896e+06	2.2152e+06	2.20881e+06	2.1675e+06	2.16468e+06
P17443	P17443		murG		3.05066e+06	2.92007e+06	3.01054e+06	2.92087e+06	2.9039e+06	2.90118e+06
P17445	P17445		betB		639902	659037	621152	604068	643568	627257
P17846	P17846		cysI		5.57427e+06	5.48215e+06	5.50354e+06	5.48616e+06	5.484e+06	5.4133e+06
P17854	P17854		cysH		6.43851e+06	6.76622e+06	6.72024e+06	6.65906e+06	6.45162e+06	6.76295e+06
P17952	P17952		murC		2.60339e+06	2.53027e+06	2.87124e+06	2.63245e+06	2.6677e+06	2.4612e+06
P17993	P17993		ubiG		3.99836e+06	3.84409e+06	4.00162e+06	3.80844e+06	4.16188e+06	3.94935e+06
P17994	P17994		yfaA		145311	205819		193029	128370	181766
P18133	P18133		pncB		2.05335e+06	1.97074e+06	1.99076e+06	1.92527e+06	2.04808e+06	2.00157e+06
P18196	P18196		minC		1.95449e+06	1.86586e+06	1.8696e+06	1.5633e+06	1.85689e+06	1.8088e+06
P18355	P18355				2.99347e+06	2.58775e+06	3.08279e+06	2.46149e+06	3.02662e+06	2.49949e+06
P18390	P18390		yjjA		1.51326e+06	1.3825e+06	1.53474e+06	1.53036e+06	1.41596e+06	1.42532e+06
P18392	P18392		rstB		439417	446406	427298	512889	393487	476688
P18775	P18775		dmsA		8.69435e+06	8.76104e+06	8.59728e+06	8.4861e+06	8.0935e+06	8.3242e+06
P18776	P18776		dmsB		2.27053e+06	2.31031e+06	2.18472e+06	2.19838e+06	2.32069e+06	2.35317e+06
P18843	P18843		nadE		1.36857e+07	1.38609e+07	1.35762e+07	1.36573e+07	1.36252e+07	1.35248e+07
P19318	P19318		narY		338963	303806	361768	355618	400379	287569
P19624	P19624		pdxA		511746	521850	496764	478772	533872	477675
P19926	P19926		agp		2.93758e+06	2.81986e+06	2.91954e+06	2.81711e+06	2.84223e+06	2.86543e+06
P19930	P19930		hyaD		758290	802464	758049	807257	920328	897776
P19931	P19931		hyaE		1.36028e+06	1.33594e+06	1.38178e+06	1.39776e+06	1.40682e+06	1.316e+06
P19934	P19934		tolA		1.68675e+06	1.62389e+06	1.53469e+06	1.50484e+06	1.55e+06	1.47286e+06
P20083	P20083		parE		1.65718e+06	1.72157e+06	1.69243e+06	1.65521e+06	1.61715e+06	1.66347e+06
P20099	P20099		bisC		379177	475686	459546	450580	370275	485588
P20605	P20605		fic		1.56696e+06	1.50487e+06	1.52378e+06	1.43169e+06	1.46537e+06	1.55115e+06
P20966	P20966		fruA		9.7403e+06	1.01559e+07	9.68753e+06	1.0328e+07	9.72541e+06	9.95832e+06
P21156	P21156		cysD		2.2139e+06	2.05017e+06	2.09953e+06	2.06996e+06	2.27684e+06	2.23237e+06
P21165	P21165		pepQ		1.26528e+07	1.22186e+07	1.24933e+07	1.23228e+07	1.28704e+07	1.25214e+07
P21170	P21170		speA		7.14101e+06	7.00242e+06	7.1285e+06	6.94582e+06	6.89943e+06	6.76622e+06
P21179	P21179		katE		729357	688966	719325	673150	649573	721602
P21338	P21338		rna		2.779e+06	2.53148e+06	2.5839e+06	2.61227e+06	2.632e+06	2.44262e+06
P21365	P21365		yciC		1.07497e+06	1.22312e+06	1.20575e+06	1.10715e+06	1.02323e+06	1.09088e+06
P21367	P21367		ycaC		3.28759e+06	3.44824e+06	3.34234e+06	3.35802e+06	3.05901e+06	3.13869e+06
P21369	P21369		pncA		2.00341e+06	2.04657e+06	1.72751e+06	2.08189e+06	2.02925e+06	2.37342e+06
P21420	P21420		nmpC		2.62329e+07	2.46595e+07	2.50735e+07	2.52562e+07	2.45306e+07	2.3773e+07
P21499	P21499		rnr		4.84656e+06	4.84936e+06	4.79301e+06	4.96844e+06	4.82974e+06	4.84263e+06
P21507	P21507		srmB		4.91536e+06	5.09715e+06	4.91425e+06	5.06787e+06	4.91735e+06	4.90712e+06
P21513	P21513		rne		1.02424e+07	1.02353e+07	1.02098e+07	1.04156e+07	9.9485e+06	1.04417e+07
P21514	P21514		yahA		673118	611542	647313	623651	649012	663686
P21599	P21599		pykA		2.36179e+07	2.35204e+07	2.32186e+07	2.37013e+07	2.33697e+07	2.30173e+07
P21645	P21645		lpxD		4.23217e+06	4.15075e+06	4.2665e+06	3.8676e+06	4.17924e+06	4.14618e+06
P21829	P21829		ybhA		2.63528e+06	2.65645e+06	2.68715e+06	2.5601e+06	2.74872e+06	2.65484e+06
P21888	P21888		cysS		1.17877e+07	1.13285e+07	1.18757e+07	1.15583e+07	1.18659e+07	1.12159e+07
P21889	P21889		aspS		7.20977e+06	7.25151e+06	7.27497e+06	7.14235e+06	7.311e+06	7.2734e+06
P21893	P21893		recJ		1.14141e+06	1.0963e+06	1.03633e+06	1.24692e+06	1.0825e+06	1.09208e+06
P22106	P22106		asnB		1.85054e+06	1.79424e+06	1.85353e+06	1.79875e+06	1.82617e+06	1.72728e+06
P22186	P22186		mraZ		2.37717e+06	2.41152e+06	2.16135e+06	2.15251e+06	2.2745e+06	2.40747e+06
P22188	P22188		murE		5.54708e+06	5.38558e+06	5.44391e+06	5.48577e+06	5.52471e+06	5.43259e+06
P22255	P22255		cysQ		7.45938e+06	7.068e+06	7.50721e+06	6.98685e+06	7.3338e+06	6.94205e+06
P22256	P22256		gabT		1.24564e+06	1.17028e+06	1.21552e+06	1.28063e+06	1.27964e+06	1.27439e+06
