Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.78385e+06	2.76838e+06				2.60683e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				3.48578e+06	3.65545e+06			642565	3.4419e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.52033e+06	3.60008e+06	850105			3.48928e+06
P00350	P00350		gnd		3.67519e+07	3.68481e+07	3.58245e+07	3.63915e+07	3.57939e+07	3.69181e+07
P00363	P00363		frdA		4.44872e+07	4.42045e+07	4.37027e+07	4.36119e+07	4.35127e+07	4.27856e+07
P00370	P00370		gdhA		2.47081e+06	2.4219e+06	2.41762e+06	2.45763e+06	2.47911e+06	2.42972e+06
P00393	P00393		ndh		5.77115e+06	5.76938e+06	5.62265e+06	5.63184e+06	5.54405e+06	5.70456e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.16444e+06	2.17731e+06			625519	1.73114e+06
P00448	P00448		sodA		4.26743e+06	4.25157e+06	4.0998e+06	4.21517e+06	4.0624e+06	4.11395e+06
P00452	P00452		nrdA		1.01148e+07	1.00659e+07	1.00707e+07	1.01446e+07	1.00831e+07	9.87991e+06
P00490	P00490		malP		4.71655e+06	4.70966e+06	4.81769e+06	4.75155e+06	4.67024e+06	4.56446e+06
P00509	P00509		aspC		1.9696e+07	1.98414e+07	1.91149e+07	1.96329e+07	1.92824e+07	1.92195e+07
P00550	P00550		mtlA		818634	876015	834444	886870	892736	718132
P00561	P00561		thrA		2.39321e+06	2.58515e+06	2.49489e+06	2.48069e+06	2.5457e+06	2.49857e+06
P00562	P00562		metL		3.02665e+06	3.10066e+06	2.93118e+06	2.93752e+06	3.08591e+06	3.21705e+06
P00579	P00579		rpoD		8.49249e+06	8.59445e+06	8.82762e+06	9.04205e+06	8.90898e+06	8.06636e+06
P00582	P00582		polA		4.0441e+06	3.95962e+06	4.06188e+06	4.02693e+06	3.91387e+06	3.92334e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.17024e+06	1.12007e+06	276835	231652	421905	1.07589e+06
P00803	P00803		lepB		3.96511e+06	4.16243e+06	4.12828e+06	4.1416e+06	4.09506e+06	4.20516e+06
P00805	P00805		ansB		2.04085e+07	2.02272e+07	2.14195e+07	2.12227e+07	2.09413e+07	1.79189e+07
P00811	P00811		ampC		1.88068e+06	1.81743e+06	1.98994e+06	1.88315e+06	1.86596e+06	1.37348e+06
P00864	P00864		ppc		1.17409e+07	1.17945e+07	1.1605e+07	1.14391e+07	1.17738e+07	1.15349e+07
P00887	P00887		aroH		1.57446e+06	1.61867e+06	1.6525e+06	1.57595e+06	1.49633e+06	1.70346e+06
