Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1			1.63646e+06			
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	2.48236e+06	3.3979e+06	3.51854e+06	2.71494e+06	3.4309e+06	
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		1	1					7.8856e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.02486e+07		1.07006e+07	9.49401e+06	9.95472e+06	9.0558e+06
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1			1.15106e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.71005e+07		5.44939e+07	1.9118e+06	5.30585e+07	2.25593e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	1.93909e+08	1.18676e+07	1.84114e+08		1.90782e+08	6.23626e+06
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	5.96564e+07		5.78687e+07		6.00554e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.56414e+08	3.47067e+08	3.55371e+08	3.48477e+08	3.38691e+08	3.49254e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.45521e+08	2.47812e+08	2.29098e+08	2.39563e+08	2.30574e+08	2.44228e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.6133e+07	1.59369e+07	1.59767e+07	1.57728e+07	1.58949e+07	1.5741e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	3.24897e+07	3.04506e+07	3.03613e+07	3.08691e+07	3.06199e+07	3.08794e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	3.29366e+07		3.4781e+07		3.47085e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.83326e+07	4.66101e+07	4.97349e+07	4.71421e+07	4.93118e+07	4.80002e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.491e+07	4.37264e+07	4.38748e+07	4.35e+07	4.41114e+07	4.4063e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.73347e+07	3.85311e+07	3.83142e+07	3.90058e+07	3.87733e+07	3.9262e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.98183e+07	9.62495e+07	9.7463e+07	9.7246e+07	9.85849e+07	9.73929e+07
