Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AE52	P0AE52		bcp		1.93667e+07	1.92495e+07	1.94391e+07	1.95557e+07	1.85385e+07	1.88129e+07
P0AE60	P0AE60		cedA		1.16273e+06	1.11132e+06	1.2783e+06	1.10291e+06	1.03864e+06	1.1334e+06
P0AE67	P0AE67		cheY		1.27005e+06	1.64707e+06	1.67034e+06	1.08973e+06	1.73739e+06	1.25668e+06
P0AE78	P0AE78		corC		872491	920512	958495	781367	979369	851386
P0AE82	P0AE82		cpxA		1.58926e+06	1.50988e+06	1.54506e+06	1.5105e+06	1.6162e+06	1.56098e+06
P0AE85	P0AE85		cpxP		795433	857650	805205	844468	691312	746125
P0AE88	P0AE88		cpxR		4.48756e+06	4.69362e+06	4.64402e+06	4.43669e+06	4.65385e+06	4.63303e+06
P0AE91	P0AE91		creA		2.51368e+06	2.3884e+06	2.48542e+06	2.4733e+06	2.57114e+06	2.52461e+06
P0AEA8	P0AEA8		cysG		1.99892e+06	1.95537e+06	1.79456e+06	1.73286e+06	1.98351e+06	1.9225e+06
P0AEB2	P0AEB2		dacA		7.62724e+06	7.85621e+06	8.01045e+06	7.82584e+06	8.15805e+06	7.82993e+06
P0AEB7	P0AEB7		yoaB		1.09663e+07	1.19569e+07	1.14483e+07	9.59513e+06	1.15121e+07	1.07964e+07
P0AEC0	P0AEC0		yoaE		436385	398695	492349	369107	379218	418533
P0AEC3	P0AEC3		arcB		928911	950950	904188	945860	966718	986724
P0AEC8	P0AEC8		dcuS		391468	590242	427154	522120	398646	345131
P0AED0	P0AED0		uspA		9.02154e+06	1.03553e+07	1.02912e+07	9.00843e+06	1.05464e+07	9.40769e+06
P0AED5	P0AED5		uvrY		3.72325e+06	3.66061e+06	3.73736e+06	3.64647e+06	3.67204e+06	3.72058e+06
P0AED7	P0AED7		dapE		5.08062e+06	4.97605e+06	5.00262e+06	5.1541e+06	4.92121e+06	5.05585e+06
P0AED9	P0AED9		dcm		466778	472286	471254	470015	465108	523920
P0AEE1	P0AEE1		dcrB		7.22229e+06	7.33236e+06	7.36656e+06	6.83393e+06	7.79083e+06	7.39925e+06
P0AEE3	P0AEE3		degS		1.15358e+06	1.12529e+06	986739	1.1331e+06	1.07178e+06	1.12023e+06
P0AEE5	P0AEE5		mglB		1.92659e+06	2.09451e+06	1.98592e+06	2.01824e+06	2.16407e+06	1.8694e+06
P0AEE8	P0AEE8		dam		375260	300542	318523	376936	343739	394961
P0AEF0	P0AEF0		dnaC		466227	510552	529475	550695	437329	449726
P0AEF4	P0AEF4		dpiA		913972	979739	958250	930748	991268	985250
P0AEG4	P0AEG4		dsbA		5.46325e+06	5.31945e+06	5.80786e+06	5.20475e+06	5.49239e+06	5.28148e+06
P0AEG6	P0AEG6		dsbC		2.19225e+06	3.18593e+06	3.23109e+06	2.18287e+06	3.74956e+06	2.45866e+06
P0AEH5	P0AEH5		elaB		8.88158e+06	8.91837e+06	8.89461e+06	9.44713e+06	8.878e+06	9.35271e+06
P0AEI1	P0AEI1		miaB		1.0904e+07	1.08548e+07	1.0785e+07	1.09053e+07	1.06526e+07	1.07345e+07
P0AEI4	P0AEI4		rimO		5.12404e+06	4.89981e+06	5.01616e+06	5.05303e+06	4.96552e+06	4.90122e+06
P0AEI6	P0AEI6		nudJ		2.92252e+06	3.02615e+06	2.99596e+06	2.99113e+06	2.99342e+06	3.00994e+06
P0AEJ2	P0AEJ2		entC		719496	842308	770098	894335	694713	840989
P0AEK0	P0AEK0		exoX		1.14946e+06	1.16208e+06	1.07052e+06	1.23806e+06	1.13023e+06	1.15072e+06
P0AEK2	P0AEK2		fabG		7.98329e+07	8.63078e+07	9.17192e+07	8.14146e+07	8.78139e+07	7.87449e+07
P0AEK4	P0AEK4		fabI		5.5335e+07	6.37863e+07	6.19279e+07	5.50153e+07	6.13014e+07	5.57479e+07
P0AEL6	P0AEL6		fepB		2.45955e+06	2.48642e+06	2.53164e+06	2.74941e+06	2.58007e+06	2.36838e+06
P0AEM0	P0AEM0		fkpB		1.84089e+06	1.62997e+06	1.91261e+06	1.95163e+06	1.55342e+06	1.87818e+06
P0AEM4	P0AEM4		flgM		2.06922e+06	2.2342e+06	2.14435e+06	2.20632e+06	1.99408e+06	2.0568e+06
P0AEM6	P0AEM6		fliA		2.75454e+06	2.73947e+06	2.62963e+06	2.70506e+06	2.52701e+06	2.76457e+06
P0AEM9	P0AEM9		fliY		7.05834e+06	7.15684e+06	7.16038e+06	7.04935e+06	7.01292e+06	6.91276e+06
P0AEN1	P0AEN1		fre		9.4269e+06	8.96319e+06	9.34395e+06	9.4109e+06	9.07252e+06	9.54725e+06
P0AEN4	P0AEN4		ftsL		2.32921e+06	2.26427e+06	2.30656e+06	2.26452e+06	2.16303e+06	1.99003e+06
P0AEN8	P0AEN8		fucU		4.90564e+06	4.50236e+06	4.78933e+06	4.65715e+06	4.43427e+06	4.72208e+06
P0AEP3	P0AEP3		galU		5.83166e+07	6.4924e+07	6.66053e+07	5.86006e+07	6.73648e+07	5.80672e+07
P0AEQ3	P0AEQ3		glnH		2.3689e+07	2.39838e+07	2.38839e+07	2.39956e+07	2.38098e+07	2.46185e+07
P0AEQ6	P0AEQ6		glnP		3.01615e+06	2.56169e+06	2.64479e+06	2.76167e+06	2.69081e+06	2.94823e+06
P0AES0	P0AES0		gsp		2.91682e+06	3.00912e+06	2.95289e+06	2.9414e+06	2.99762e+06	3.02215e+06
P0AES2	P0AES2		gudD		1.651e+06	1.7518e+06	1.73155e+06	1.6667e+06	1.70741e+06	1.70694e+06
P0AES4	P0AES4		gyrA		1.41759e+07	1.42428e+07	1.43363e+07	1.42177e+07	1.42535e+07	1.41757e+07
P0AES6	P0AES6		gyrB		9.07316e+06	9.0992e+06	9.07778e+06	9.17396e+06	9.15715e+06	8.97695e+06
P0AET2	P0AET2		hdeB		1.22811e+07	1.57279e+07	1.51053e+07	1.23134e+07	1.5666e+07	1.31725e+07
P0AEU0	P0AEU0		hisJ		3.40474e+06	3.50538e+06	3.4108e+06	3.44955e+06	3.48669e+06	3.42408e+06
P0AEU7	P0AEU7		skp		2.37985e+07	2.53331e+07	2.61364e+07	2.45826e+07	2.50733e+07	2.34365e+07
P0AEV1	P0AEV1		hnr		253540	234135	220756	200953	258872	217672
P0AEV4	P0AEV4		hycA		1.41577e+06	904432	725809	718931	1.20479e+06	1.01562e+06
P0AEV9	P0AEV9		hycI		356619	432166	377699	258206	440833	265505
P0AEW6	P0AEW6		gsk		2.65543e+06	2.69404e+06	2.61936e+06	2.67184e+06	2.54719e+06	2.56467e+06
P0AEW9	P0AEW9		fruK		1.76276e+07	1.75232e+07	1.71462e+07	1.71285e+07	1.73234e+07	1.72116e+07
P0AEX5	P0AEX5		prkB		1.88888e+06	2.01721e+06	2.15634e+06	1.87062e+06	1.98682e+06	1.94439e+06
P0AEX9	P0AEX9		malE		6.86638e+06	6.68254e+06	6.73355e+06	6.92304e+06	6.9387e+06	7.09099e+06
P0AEY3	P0AEY3		mazG		1.98994e+06	2.06373e+06	2.00359e+06	2.04401e+06	2.07895e+06	1.99191e+06
