Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2		483428		679805		458956
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		1	1		479020		661767		503802
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.44169e+08	3.28449e+08	3.46375e+08	3.34739e+08	3.36056e+08	3.32415e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	29	29	2.18933e+08	2.19062e+08	2.05794e+08	2.15289e+08	2.15029e+08	2.16544e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.48726e+07	1.43014e+07	1.4277e+07	1.48939e+07	1.54463e+07	1.47012e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.42413e+07	3.31045e+07	3.38347e+07	3.3848e+07	3.5544e+07	3.33004e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.89473e+07	4.56673e+07	4.63302e+07	4.60513e+07	4.86513e+07	4.64182e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.17055e+07	4.08214e+07	4.22163e+07	4.14892e+07	4.28188e+07	4.06943e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.81192e+07	3.76818e+07	3.96609e+07	3.80636e+07	3.98907e+07	3.8311e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.87411e+07	9.65364e+07	9.87416e+07	9.78168e+07	9.78297e+07	9.65287e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	2.6711e+06	3.58084e+06	3.11361e+06	3.26955e+06	3.06866e+06	3.56239e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.73899e+06	3.59146e+06	3.8468e+06	3.81589e+06	3.83973e+06	4.04086e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.22348e+07	1.28169e+07	1.29519e+07	1.28894e+07	1.25619e+07	1.29581e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.55084e+06	7.72418e+06	8.12541e+06	7.74762e+06	8.07779e+06	7.76487e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.32284e+08	1.40302e+08	1.3506e+08	1.35444e+08	1.37508e+08	1.33103e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.40676e+07	2.4051e+07	2.44943e+07	2.43555e+07	2.38776e+07	2.33729e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.44208e+07	1.3698e+07	1.4008e+07	1.38362e+07	1.34972e+07	1.43016e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	21	21	1.31979e+08	1.31267e+08	1.34318e+08	1.30547e+08	1.35011e+08	1.29502e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	5.69462e+06	5.21534e+06	5.77893e+06	5.20319e+06	5.25696e+06	5.94399e+06
