protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P19358	29264094.714891624	31926333.94244984	31797318.19010813	26168871.5147686	27729368.73027965	30673956.819966856	27672183.183889177	27237001.685378056	31608701.62854727	14977578.39979783	14340924.623770842	16749017.233035764	9949572.92419889	12888050.595198965	14582209.319295509	13827126.124060126	13087611.212398125	12785433.421204496	P19358	P19358		SAM2	0	3.876577955815424e-11	1.1001070403224325	True	0.003987125591171834	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q04438	28019928.900340643	28270221.98429741	26372199.87384502	22508935.84535026	26171260.75604209	26326426.01486817	28746770.666235182	28870051.279933915	26523561.52745237	15081115.26927942	12740357.682733629	13132373.607539196	10639336.719559124	12301822.404162722	11841221.034119386	13774772.808773717	12354855.190522652	11202000.222083608	Q04438	Q04438		SPG4	0	3.8834693935776765e-11	1.0966812398844168	True	0.003993694167104572	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P35184	3664823.8583331946	3277504.2499999995	2994751.184606252	3278548.1325125154	3286667.204119561	2896010.977445473	3403122.846869003	3454435.694721279	3222475.3183267047	1804569.7156163717	1404436.083680893	1294940.3665618997	1552208.9283861413	1686287.1062828675	1612807.4554752847	1621189.5281951425	1554116.20091692	1621003.0149334238	P35184	P35184		SQT1	0	4.043037093970858e-11	1.0586943243328382	True	0.00400026274303731	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P0A9L3	5694100.494642837	6078390.945775855	5488375.21974211	5210529.961189923	5121050.365028187	6117556.398394539	6122524.494387504	4902081.074167289	4436382.935484207	24045638.409290645	23638883.70543929	20890514.734152835	21006302.163733143	23545057.536981847	21623538.594613697	24357816.426646493	25916598.295727428	23296181.61837026	P0A9L3	P0A9L3		fklB	0	4.088940115396896e-11	-2.0829256713981064	True	0.004006831318970047	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
Q12480	13920697.40698802	13683015.870161649	13250126.762372425	11718361.509882648	13678313.75648682	14597654.825147288	12672570.12392416	12330222.688448256	13544610.818825657	5788964.524937674	5537042.717617798	5904791.190829713	6493226.823277181	5803645.552228805	5717676.878470466	6061449.810206766	6563493.917969777	6974826.49194161	Q12480	Q12480		AIM45	0	4.1192411404726915e-11	1.1223142454145734	True	0.0040133998949027855	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P46965	8570756.273802113	9721571.611273585	8771885.67919779	7722245.6026131185	8186709.392954305	7880924.324220155	8879184.237571742	8749042.090730177	8213273.587157534	3958162.0829322366	4377096.750017863	4315811.455681916	5464900.533556641	4165049.082787327	4124475.399022977	4128047.825824224	4160077.064635399	3402861.4985152497	P46965	P46965		SPC1	0	4.1285592760193764e-11	1.0094859104293976	True	0.004019968470835523	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P53852	68905475.87168325	70850448.39203787	69723356.07428715	64045206.79412487	66059828.566017486	62226726.9927393	60853755.45839179	70266503.48040362	64091534.7178696	30178172.78869896	34868302.98537299	33312632.8484851	35265047.38765013	32344979.52628802	32458054.38312051	31062320.9358124	34669928.7384305	33011848.69992065	P53852	P53852		YNL247W	0	4.1398566214012885e-11	1.0064913819820136	True	0.004026537046768261	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P21170	1710070.1421818612	38602.65472224326	37905.79060226376	39742.850669444895	2043389.6577900213	55434.31791054691	2642174.128608117	1823748.515052372	2546971.625091424	10146991.004918016	8333940.764447984	7948778.232678498	10946058.707603458	9661800.735363089	9250470.720292607	9030832.284950582	9408264.626336709	8756638.321879622	P21170	P21170		speA	4	4.202623028052649e-11	-2.932141643931507	True	0.004033105622700999	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P16474	283704129.4775823	291189440.8224288	261931075.8366622	283783236.403392	279464700.35919034	242414032.75472936	282234391.81852347	294190623.3697188	266575441.4115937	173864509.10936728	149290309.33027616	150824601.8885821	154249882.0558702	153838733.12111604	142046328.88050196	142108118.00678256	148681418.02241603	143264997.07910654	P16474	P16474		KAR2	0	4.209485894065659e-11	0.8718656997896925	True	0.004039674198633736	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P0C2H9	219565450.8077068	233096507.09511995	202379315.7377261	212007509.0251957	218976362.2562357	184973318.5110824	211217548.4653809	228171739.83098423	225825772.94626147	127808449.00567123	132291129.2933689	105579194.76335016	123233511.15361704	99620968.39275156	100821232.05603787	96866151.14080344	103917304.63834897	107922785.40857394	P0C2H9	P0C2H9		RPL31B	0	4.2657960586284864e-11	0.95603855862603	True	0.004046242774566474	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
