Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2						1.34041e+06		1.52942e+06	
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.25771e+07	1.26596e+07	1.36465e+07	1.2925e+07	1.25548e+07	1.60109e+07
DECOY_sp|P0AAC0|USPE_ECOLI Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	DECOY_sp|P0AAC0|USPE_ECOLI Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2				1.54482e+06	1.69973e+06	1.642e+06	1.44655e+06	1.41107e+06	1.19259e+06
DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1				229283	205595	168935	216472	177332	
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				657504		493365		496295	704416
DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1	DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1						350612	372292	300798	402966
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				4.56832e+06	4.90086e+06	4.20377e+06	4.71064e+06	4.4191e+06	3.777e+06
DECOY_sp|P0AFP2|YBAZ_ECOLI Uncharacterized protein YbaZ OS=Escherichia coli (strain K12) GN=ybaZ PE=3 SV=1	DECOY_sp|P0AFP2|YBAZ_ECOLI Uncharacterized protein YbaZ OS=Escherichia coli (strain K12) GN=ybaZ PE=3 SV=1				3.62282e+07	3.65834e+07	3.64436e+07	3.96697e+07	3.41689e+07	2.88764e+07
DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2	DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2					490978	447739	374079	401161	486099
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.67447e+06	1.61152e+06	1.25273e+06	1.3098e+06	1.16253e+06	2.11427e+06
