Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P77252	P77252		ykgE		1.20797e+06	1.09516e+06	1.10849e+06	1.13642e+06	1.05427e+06	962473
P77258	P77258		nemA		4.96533e+06	4.78934e+06	4.7603e+06	4.61414e+06	4.88184e+06	4.90772e+06
P77279	P77279		ybbL		2.38963e+06	2.4718e+06	2.80149e+06	3.06716e+06	2.89427e+06	2.94859e+06
P77285	P77285		rnfG		471679	371865	498284	503320	464223	466906
P77330	P77330		borD		2.92969e+07	2.92494e+07	3.02963e+07	3.0642e+07	3.06245e+07	3.09556e+07
P77338	P77338		kefA		904169	1.2876e+06	863366	1.07053e+06	1.13727e+06	1.25407e+06
P77348	P77348		mppA		2.0077e+06	1.97878e+06	1.96374e+06	1.95186e+06	2.10946e+06	1.91473e+06
P77376	P77376		ydgJ		2.11483e+06	2.04417e+06	2.04919e+06	2.2188e+06	2.10441e+06	2.03296e+06
P77395	P77395		ybbN		2.4975e+06	2.50458e+06	2.54099e+06	2.4776e+06	2.42684e+06	2.55108e+06
P77398	P77398		arnA		493430	496575	400150	376758	321036	387853
P77433	P77433		ykgG		1.26855e+06	1.33238e+06	1.36191e+06	1.20553e+06	1.22522e+06	1.20827e+06
P77434	P77434		alaC		2.23169e+06	2.10541e+06	2.24471e+06	2.32227e+06	2.33995e+06	2.30363e+06
P77444	P77444		sufS		381248	343102	315846	286665	376712	369704
P77454	P77454		glsA1		1.54212e+06	1.53716e+06	1.63106e+06	1.56936e+06	1.65998e+06	1.71959e+06
P77475	P77475		yqaB		2.22719e+06	2.02742e+06	1.84753e+06	1.78112e+06	1.79168e+06	2.21952e+06
P77488	P77488		dxs		2.85926e+06	2.86109e+06	2.84899e+06	3.02975e+06	2.87863e+06	2.99159e+06
P77499	P77499		sufC		1.42269e+06	1.55202e+06	1.57923e+06	1.54219e+06	1.46607e+06	1.48186e+06
P77529	P77529		ydjN		4.54379e+06	4.82119e+06	4.47365e+06	4.55401e+06	4.67154e+06	4.50513e+06
P77536	P77536		ykgF		1.3676e+06	1.32996e+06	1.45116e+06	1.44463e+06	1.40307e+06	1.46459e+06
P77552	P77552		ydhQ		2.91235e+06	2.64359e+06	2.86197e+06	2.88105e+06	2.67392e+06	2.85246e+06
P77561	P77561		ydeP		640727	615025	662538	611257	646625	650868
P77562	P77562		yaiW		1.38094e+06	1.2991e+06	1.22702e+06	1.34777e+06	1.35244e+06	1.34893e+06
P77570	P77570		anmK		960042	927100	959042	1.04332e+06	1.00528e+06	941448
P77611	P77611		rnfC		2.14028e+06	2.25996e+06	2.11402e+06	2.29551e+06	2.20843e+06	2.31667e+06
P77625	P77625		yfbT		8.72306e+06	8.77978e+06	8.64255e+06	8.57583e+06	8.6622e+06	8.7025e+06
P77690	P77690		arnB		733482	769218	885473	772768	916884	895395
