Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				3290150.0	7570220.0	2554920.0	9491740.0	2299080.0	9431860.0	0	0.003819519398159912	-1.7018198345535211	False	0.004392922513727883	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A9B2	P0A9B2		gapA		350259000.0	316131000.0	346646000.0	322714000.0	343669000.0	310878000.0	0	0.003869573746486336	0.1318008676818189	False	0.004423428920073216	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P31057	P31057		panB		9134300.0	8086710.0	8833930.0	8100530.0	8874870.0	8351180.0	0	0.003911977634363249	0.12950893356353974	False	0.0044539353264185485	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AF24	P0AF24		nagD		1990600.0	1786790.0	2076130.0	1868760.0	2073850.0	1798500.0	0	0.003955179133340964	0.1710470035784983	False	0.00448444173276388	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P36979	P36979		rlmN		3411080.0	3714170.0	3426000.0	3655270.0	3433430.0	3647550.0	0	0.003978983042280248	-0.10122228976488247	False	0.004514948139109213	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0ADY7	P0ADY7		rplP		48770200.0	46656300.0	48817700.0	45544400.0	50001600.0	45543400.0	0	0.003981134957810804	0.09959956191267622	False	0.004545454545454545	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P09126	P09126		hemD		1467700.0	1410360.0	1504750.0	1379760.0	1504480.0	1366430.0	0	0.004005059628769773	0.10712319472778861	False	0.004575960951799878	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				76079.7	13143800.0	81038.7	12709000.0	2640250.0	12654800.0	2	0.004080508074298204	-3.7830010419949947	False	0.004606467358145211	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0AEQ3	P0AEQ3		glnH		15386500.0	14585000.0	15237000.0	14721300.0	15535200.0	14803000.0	0	0.004080636881415576	0.06551972739959855	False	0.004636973764490544	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P33602	P33602		nuoG		12325600.0	12722500.0	12491300.0	12891300.0	12411400.0	12830500.0	0	0.004150442914410916	-0.046369972566901	False	0.004667480170835876	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A840	P0A840		surE		1747540.0	1625000.0	1745400.0	1591980.0	1800030.0	1647370.0	0	0.004160628521347511	0.12183043955606061	False	0.0046979865771812086	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P30750	P30750		metN		1301850.0	998594.0	1438400.0	1088460.0	1373490.0	928016.0	0	0.004185444805779375	0.448259117194492	False	0.0047284929835265405	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P77529	P77529		ydjN		4386950.0	5035440.0	4575120.0	5101200.0	4326370.0	4905870.0	0	0.004269671810886748	-0.17887356686575304	False	0.004758999389871873	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AGA2	P0AGA2		secY		3951040.0	3690150.0	3927740.0	3671870.0	3863430.0	3752300.0	0	0.004324069766595142	0.07928427985180837	False	0.004789505796217206	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A7L3	P0A7L3		rplT		38382700.0	43076800.0	38170200.0	43334600.0	36942400.0	43479300.0	0	0.004378314487449699	-0.19466558473007523	False	0.004820012202562538	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A9M8	P0A9M8		pta		37609100.0	36494100.0	37738900.0	36713500.0	37384000.0	36223600.0	0	0.00441140016719867	0.04287297121629951	False	0.004850518608907871	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P18843	P18843		nadE		18686500.0	17131200.0	18387800.0	17067800.0	18321700.0	17037000.0	0	0.00443196811010608	0.11262395808710955	False	0.004881025015253203	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AEY5	P0AEY5		mdaB		1666500.0	1355500.0	1750720.0	1409390.0	1844150.0	1233400.0	0	0.004509355984889875	0.39605539356454145	False	0.004911531421598536	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P22524	P22524		mukE		5438380.0	6016320.0	5299440.0	6382820.0	5237920.0	6250400.0	0	0.004686352473658149	-0.22325728745200393	False	0.004942037827943868	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P30850	P30850		rnb		7848590.0	7689900.0	7843250.0	7724570.0	7901840.0	7747690.0	0	0.004778970712864141	0.02663066008276697	False	0.004972544234289201	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P07913	P07913		tdh		3629440.0	3862010.0	3616710.0	3861860.0	3547620.0	3886880.0	0	0.004787305918242439	-0.10526231559122172	False	0.0050030506406345335	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0ADA5	P0ADA5		yajG		16524600.0	17778900.0	16819300.0	18088500.0	16403800.0	18454100.0	0	0.004836755348351827	-0.1268934911578706	False	0.0050335570469798654	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A9P0	P0A9P0		lpdA		46977800.0	43445500.0	45846800.0	44222400.0	46691700.0	44184400.0	0	0.004881312836702114	0.08151094772627032	False	0.005064063453325199	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AFW8	P0AFW8		rof		2911280.0	2527740.0	3021430.0	2589320.0	2853190.0	2401040.0	0	0.004888922617258121	0.22482197382058372	False	0.00509456985967053	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AG59	P0AG59		rpsN		25065600.0	23198300.0	25456700.0	23196200.0	25298800.0	22430800.0	0	0.004896388529814256	0.13966039369838426	False	0.005125076266015864	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A7F3	P0A7F3		pyrI		1884160.0	2162330.0	1800030.0	2072830.0	1841220.0	2205340.0	0	0.004913941233189034	-0.22109117422202007	False	0.005155582672361197	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AEK2	P0AEK2		fabG		85930600.0	79670400.0	84377600.0	81223300.0	85307300.0	78881800.0	0	0.00494090878548635	0.09229106773612487	False	0.005186089078706529	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
