Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69924	P69924		nrdB		4322330.0	4453010.0	4364950.0	4243390.0	4222900.0	3945570.0	0	0.1129762316696691	0.08227778646748536	False	0.014040889957907397	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFG8	P0AFG8		aceE		55741900.0	56190000.0	55750900.0	55519500.0	55686700.0	55124300.0	0	0.11417455189977589	0.011681972925013084	False	0.014070956103427542	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P42632	P42632		tdcE		4873250.0	4821020.0	4736930.0	4885340.0	4951650.0	4890450.0	0	0.11425985738341748	-0.029315405952393157	False	0.014101022248947687	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABP8	P0ABP8		deoD		52628500.0	53576700.0	52848800.0	51163900.0	52746800.0	51024700.0	0	0.11436227817195599	0.03784984212247252	False	0.01413108839446783	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAT9	P0AAT9		ybeL		7386470.0	7265500.0	7465010.0	7940120.0	7452410.0	7833910.0	0	0.11600127488893029	-0.07061364021817079	False	0.014161154539987973	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P61316	P61316		lolA		3134980.0	2931420.0	3095190.0	2858290.0	2903020.0	2928250.0	0	0.11619081595270814	0.0763148733893894	False	0.014191220685508118	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33937	P33937		napA		4160850.0	4119280.0	4048200.0	4223080.0	4271770.0	4139530.0	0	0.11641114371057638	-0.03537748444860333	False	0.014221286831028263	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P04995	P04995		sbcB		12541600.0	11930300.0	12327300.0	12863900.0	12708900.0	12547100.0	0	0.11701887992757051	-0.05086993162269765	False	0.014251352976548408	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77173	P77173		zipA		2409450.0	2374960.0	2389230.0	2403940.0	2454970.0	2425520.0	0	0.11706460882112489	-0.022110739839702204	False	0.014281419122068552	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P63224	P63224		gmhA		29000800.0	30159500.0	30455800.0	28206200.0	28506600.0	29428000.0	0	0.11725688485525783	0.057061221135397376	False	0.014311485267588695	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
