protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	29689104.456753355	29571894.66713861	29068008.73917945	6766821.786121647	6264925.990465807	6607282.437640338	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	1.6489643794771514e-07	2.1691636164541612	True	3.026634382566586e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	69072786.20396093	70218653.66805497	68862082.082465	15289221.801852398	16012317.41276353	15383852.515460486	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	1.1905044683843043e-06	2.1566048753764364	True	6.053268765133172e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	36508537.74415961	35815298.14398558	34918373.19930629	8812421.433492616	10103777.029621009	8970480.614561485	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	2.040900011086784e-06	1.9432247984369486	True	9.079903147699759e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	24940904.295248084	26197363.624663208	24775040.00536657	6939863.20619802	6870710.405497679	5694514.759087215	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	7.037833794677193e-06	1.9605022836515902	True	0.00012106537530266344	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	23167490.35038959	23819057.19566422	23579019.77584988	5787383.012611647	6057118.878835717	6023868.601737953	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	8.428090853446182e-06	1.9815563141213368	True	0.0001513317191283293	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	60522748.97659648	61998736.21080726	62271301.28073429	14969887.420841156	15134619.650611077	14399208.416466018	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	1.4639379557677455e-05	2.0539107484142822	True	0.00018159806295399517	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	13828243.353927473	14323456.100859676	14562236.040517367	3379171.220673686	3672426.638976277	3247260.0161187183	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)			0	1.4897972933131426e-05	2.052222474318435	True	0.00021186440677966104	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	34566044.9374737	33975878.656888895	35396526.98915355	7817071.254231088	7429921.862497414	7206484.131500101	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	2.4224307052144782e-05	2.2107186682040565	True	0.00024213075060532688	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	41409393.92945317	40999355.94820913	39295666.19545894	10014517.101043005	9696982.253219647	8867013.578276722	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	2.6004026748818425e-05	2.090378763884033	True	0.0002723970944309927	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	209784206.7065728	212637365.90918905	207069255.9368146	51989282.93691311	50602895.29928215	51155185.30494002	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	4.144994051749822e-05	2.0336236872287303	False	0.0003026634382566586	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
