Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				3318750.0	3276170.0	48333.3	3214740.0	125789.0	63297.7	3	2.557874036082809e-07	-5.36868975765797	True	3.0156815440289508e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				1918330.0	1900370.0	48333.3	2008080.0	125789.0	63297.7	3	4.0495811474822265e-06	-4.617185464048788	True	6.0313630880579016e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4265650.0	4429400.0	48333.3	4413800.0	125789.0	119215.0	2	8.800710618413502e-06	-5.481836785518516	True	9.047044632086853e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				1052470.0	1021020.0	48333.3	1082400.0	125789.0	63297.7	3	1.0567967967817094e-05	-3.7325335441703134	True	0.00012062726176115803	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				1230340.0	1349770.0	48333.3	1297100.0	125789.0	160507.0	2	1.6289224934132046e-05	-3.534383199616437	True	0.00015078407720144752	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1488540.0	1379410.0	48333.3	1478410.0	125789.0	63297.7	3	1.686769538345805e-05	-4.194294298654453	True	0.00018094089264173707	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P18355	P18355				2128100.0	2176350.0	3095280.0	2226560.0	3191380.0	3190580.0	0	2.363630337260181e-05	0.5371608555890708	True	0.00021109770808202657	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				958579.0	1003950.0	48333.3	1000160.0	125789.0	63297.7	3	2.821218294761295e-05	-3.6413938151092236	True	0.00024125452352231607	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				6410720.0	6595180.0	48333.3	6653270.0	125789.0	63297.7	3	2.997475826478886e-05	-6.371617131755343	True	0.00027141133896260554	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				1260140.0	1380670.0	48333.3	1354070.0	125789.0	63297.7	3	3.276999087139314e-05	-4.072638791225353	False	0.00030156815440289503	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
