Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5189370.0	5281110.0	57976.5	118914.0	130519.0	5278480.0	3	5.4454660366315794e-08	-5.678951001663957	True	3.043213633597079e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				3909420.0	3904680.0	57976.5	118914.0	130519.0	4000490.0	3	2.181410057130101e-07	-5.264264004413379	True	6.086427267194158e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				2360610.0	2413580.0	57976.5	118914.0	130519.0	2422430.0	3	2.2368242531369893e-07	-4.549085827345955	True	9.129640900791237e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1511270.0	1541120.0	57976.5	118914.0	130519.0	1584820.0	3	1.3150098431039622e-06	-3.915023406846075	True	0.00012172854534388315	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				1983370.0	2016190.0	57976.5	118914.0	130519.0	1920690.0	3	1.3604560509806907e-06	-4.267424444171438	True	0.00015216068167985393	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4464730.0	4465190.0	57976.5	118914.0	130519.0	4340950.0	3	2.0648660875086274e-06	-5.431957392607759	True	0.00018259281801582473	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8846510.0	8853560.0	57976.5	118914.0	130519.0	8676570.0	3	4.25424170349634e-06	-6.422955237814633	True	0.0002130249543517955	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5517040.0	5358140.0	57976.5	118914.0	130519.0	5490580.0	3	4.718197650993803e-06	-5.734375040282648	True	0.0002434570906877663	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				2555140.0	2469380.0	57976.5	118914.0	130519.0	2423120.0	3	7.6168933462997794e-06	-4.5985496833503055	True	0.0002738892270237371	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				2461270.0	2373240.0	57976.5	118914.0	130519.0	2314210.0	3	1.914661752100039e-05	-4.539451291073438	True	0.00030432136335970786	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
