Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				4009540.0	3995610.0	43805.4	74376.6	106850.0	4042820.0	3	1.892217439943219e-08	-5.742516102377014	True	2.9744199881023203e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				2570860.0	2532100.0	43805.4	74376.6	106850.0	2532800.0	3	1.7695645390512606e-07	-5.084569682765647	True	5.9488399762046407e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				2243780.0	2244370.0	43805.4	74376.6	106850.0	2278990.0	3	4.922664291765995e-07	-4.910344160371108	True	8.923259964306962e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1580210.0	1547400.0	43805.4	74376.6	106850.0	1597250.0	3	6.084059833782586e-07	-4.3920695069204605	True	0.00011897679952409281	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A7T7	P0A7T7		rpsR		61484800.0	62412600.0	84932300.0	84562000.0	84703800.0	62167600.0	0	2.0576445108042323e-05	0.45014654609824306	True	0.000148720999405116	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				3497480.0	3437330.0	43805.4	74376.6	106850.0	3343970.0	3	2.1607537361996583e-05	-5.513395059217375	True	0.00017846519928613923	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				2669870.0	2556460.0	43805.4	74376.6	106850.0	2521740.0	3	4.6964516833032636e-05	-5.105634912779633	False	0.00020820939916716243	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0AG99	P0AG99		secG		6498850.0	6444920.0	5629520.0	5555180.0	5624110.0	6566690.0	0	7.743267423272882e-05	-0.21503020205630732	False	0.00023795359904818563	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				4636160.0	4978200.0	43805.4	74376.6	655736.0	4408130.0	2	8.704129133369821e-05	-4.179418029339014	False	0.0002676977989292088	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0AEX9	P0AEX9		malE		7394260.0	7359890.0	6033740.0	6222980.0	6188220.0	7539560.0	0	9.063080815771194e-05	-0.2734116261083848	False	0.000297441998810232	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
