protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	14286748.338185493	16857472.80662635	13974662.612238416	393545453.8818728	398199183.5126359	397016796.5253472	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	2.505047722705697e-08	-4.719584031422229	True	2.9958058717795088e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	198922.0048280742	1649998.6675691728	363897.8259904974	49143690.16993456	50864063.81733759	50666806.22123618	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			1	3.622949980943038e-07	-6.089406921533408	True	5.9916117435590176e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	2123611.474405108	2129208.046966261	2299438.638838318	44371576.09690534	44097715.646419406	43871096.555583656	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	6.802591630344799e-07	-4.3361174068926305	True	8.987417615338527e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	3429288.5585417426	4128725.415784634	4112259.173697674	129993902.61523716	128883239.47744948	130728795.77778704	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	7.943787301736737e-07	-5.06110543179883	True	0.00011983223487118035	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	1890912.1803123248	5372606.560911384	2145225.7657114207	105127549.31676224	109751161.60707325	106383147.87179676	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	8.332935697446868e-07	-5.093603675446841	True	0.00014979029358897544	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	11230799.767708044	11568085.46404805	10519239.09281172	366702008.402217	364605541.1623063	367870249.0466319	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	9.42732578515233e-07	-5.043973774423544	True	0.00017974835230677054	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	2806879.985351121	2959630.8122818484	3656840.0911992025	113297319.4395122	115049606.97333206	115095352.8664341	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	1.242839641152755e-06	-5.187683677206365	True	0.00020970641102456563	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	3260633.331007406	3989510.093002015	4600446.760038465	125030646.77753416	127811094.23277664	127056233.66480535	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	1.8046934726042906e-06	-5.002581205438916	True	0.0002396644697423607	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	1250263.6276807117	2378034.6447966485	2597788.728302895	37105923.94852583	37248863.53539333	36419717.15278613	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	2.1266431156702897e-06	-4.15315632856967	True	0.0002696225284601558	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	1015112.5922829196	1028448.1207630248	1157909.4280090749	31279078.821631927	31080523.42731227	31574447.79636917	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	3.973027954375054e-06	-4.874841753896858	True	0.0002995805871779509	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	12340947.969515638	11907982.228040116	9693522.233626356	60409759.37342269	61248294.84011691	57924117.92956867	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	4.339797559978432e-06	-2.4034814226905405	True	0.000329538645895746	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	5209821.975932184	5969724.187486409	5857020.74556774	126122323.19910748	124328733.67352328	123728767.71964718	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	6.290658367095381e-06	-4.457025223931442	True	0.00035949670461354107	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	1410107.0849489917	1920772.3896598688	1943749.521487333	105184943.39112408	105270753.96149978	103435814.32440308	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	8.307307330548977e-06	-5.895052583635487	True	0.00038945476333133614	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	7259563.462085544	3257343.515133197	2716229.1670780326	83330601.24399427	80607587.2929648	80962919.88757484	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	1.0345041150750218e-05	-4.2099723894720205	True	0.00041941282204913127	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	892440.1484632507	838387.6598596409	184284.4081727157	21105276.847775545	22429916.682268094	21538316.12338044	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			1	1.141797644877683e-05	-5.086569530844348	True	0.0004493708807669263	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
