protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q7DFV3	1505240.1976927358	1723192.724611079	1932674.637622051	1877562.7500000005	1929875.0585751585	2138796.969611896	Q7DFV3	Q7DFV3		ymgG	0	0.16147454645117287	-0.2042957296429472	False	0.013105326876513319	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADA1	870489.699072869	849371.8635533475	945711.6850128558	991667.6250000008	899087.3961346904	997746.1668072046	P0ADA1	P0ADA1		tesA	0	0.16172509367961824	-0.11587526136947955	False	0.013135593220338984	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AE08	233853568.68461215	257216534.02973577	256750066.6239999	265164189.32440373	264126839.0616497	268197496.680416	P0AE08	P0AE08		ahpC	0	0.16192132024051806	-0.09277237790267308	False	0.01316585956416465	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ACY3	3910913.3518715	3819350.448382674	3713264.795417869	3761014.920004644	3475019.569457042	3668561.513291033	P0ACY3	P0ACY3		yeaG	0	0.16211283511101515	0.06959565216382466	False	0.013196125907990314	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P32664	2078453.294166688	1831512.1496860185	1632192.8056675582	1537699.0545653468	1752781.5400727673	1388189.7722646445	P32664	P32664		nudC	0	0.1624409880881956	0.24434931778345464	False	0.013226392251815981	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P64624	3186855.770488507	3434934.704647277	3691972.6078504496	3587776.2528335946	3923007.010693198	3731478.873763242	P64624	P64624		yheO	0	0.16260509308279614	-0.12436154898189868	False	0.013256658595641648	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P64602	1908426.2702131204	1885613.1012884344	1765739.5352265877	1780087.125000002	1794405.0963588487	1708058.1748134017	P64602	P64602		mlaB	0	0.16370956969507988	0.07379288736131975	False	0.013286924939467313	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A796	134249945.587024	144141132.1801179	143023898.98546946	149628341.10020918	146243352.55473053	144886613.2141673	P0A796	P0A796		pfkA	0	0.1639905227646775	-0.06474617263999576	False	0.013317191283292978	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P45531	414173.42452418775	384038.76599548216	293987.58358296833	281775.43750000006	291994.90224467544	286008.4145110044	P45531	P45531		tusC	0	0.16417426194507995	0.3451993976811935	False	0.013347457627118645	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADV7	40054910.952970445	38848077.82457429	38912680.58500957	39758991.25933088	40287500.98822997	40179901.30533889	P0ADV7	P0ADV7		mlaC	0	0.16595299553399864	-0.02922221981180825	False	0.01337772397094431	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P76245	1150805.227064082	1258909.5357884783	1358710.7218846814	1446431.8741441676	1419890.433992911	1293949.4260282684	P76245	P76245		yeaP	0	0.16601231924453216	-0.14271589744603103	False	0.013407990314769977	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P02930	133976936.437276	130890279.46742152	131276565.83478682	132921974.5357141	134445262.6453751	137699708.10779503	P02930	P02930		tolC	0	0.16618560188273976	-0.032136205015465796	False	0.013438256658595644	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADB7	17619989.510015722	16359724.97814777	16610056.281921633	17460826.432315174	17351026.01979239	18217972.6946906	P0ADB7	P0ADB7		ecnB	0	0.16773664827453327	-0.06795828945343986	False	0.013468523002421308	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A9E5	22792483.051227573	22660279.016704947	22773918.303538788	22623578.50934581	21936918.31341961	22402325.06603937	P0A9E5	P0A9E5		fnr	0	0.16830326471001078	0.02697569645857702	False	0.013498789346246974	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
