Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ADC3	P0ADC3		lolC		1498450.0	1457330.0	1459220.0	1559120.0	1492370.0	1495890.0	0	0.13047156651390007	0.04653791133133403	False	0.014935464044253227	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P27836	P27836		wecG		475271.0	630779.0	589265.0	570789.0	542977.0	497267.0	0	0.1306191841076223	-0.19200588683320644	False	0.014966195451751691	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P24232	P24232		hmp		1556320.0	1510590.0	1400840.0	1584770.0	1346090.0	1466210.0	0	0.1306400401477521	0.11390823364812441	False	0.014996926859250154	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P31142	P31142		sseA		6708730.0	7072920.0	6858520.0	6790160.0	7083860.0	6943490.0	0	0.13074009579277063	-0.039876880025820065	False	0.015027658266748619	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AC69	P0AC69		grxD		24973000.0	25674400.0	25853400.0	25653700.0	25949500.0	25439400.0	0	0.13081737226113577	-0.026520040213694702	False	0.01505838967424708	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAF6	P0AAF6		artP		862550.0	892530.0	847046.0	795224.0	968456.0	801572.0	0	0.13085015372578454	-0.13897006809001794	False	0.015089121081745545	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAN3	P0AAN3		hypB		2844610.0	2711720.0	2779670.0	2899630.0	2843560.0	2854440.0	0	0.13313020665294895	0.044941661159371565	False	0.015119852489244008	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AA91	P0AA91		yeaY		1521240.0	1444910.0	1533060.0	1523540.0	1435820.0	1615420.0	0	0.13440709858121067	0.07837388131585359	False	0.015150583896742472	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADB1	P0ADB1		osmE		18472200.0	19376500.0	19519900.0	19029000.0	19847700.0	19397000.0	0	0.1349935933029842	-0.046060948034257435	False	0.015181315304240935	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69222	P69222		infA		15008000.0	15968600.0	15893900.0	15387700.0	16279000.0	15923100.0	0	0.1354213110519323	-0.05568321689506604	False	0.015212046711739398	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
