Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				4109960.0	4238800.0	4241290.0	2427210.0	2296920.0	2418270.0	0	7.351034221512313e-06	-0.8178031751807414	True	3.071253071253071e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2741000.0	2817240.0	2719360.0	1378300.0	1345620.0	1307220.0	0	8.051125153677765e-06	-1.0380246463087663	True	6.142506142506142e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1152790.0	1112030.0	1124500.0	678701.0	643816.0	659844.0	0	9.970546878703661e-06	-0.7737761441833902	True	9.213759213759215e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				2741220.0	2744280.0	2751970.0	1579030.0	1599100.0	1611010.0	0	1.134949241001843e-05	-0.7824346957720947	True	0.00012285012285012285	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				1779110.0	1727090.0	1688010.0	995668.0	967831.0	1053650.0	0	3.846558062154845e-05	-0.7837183979969718	False	0.00015356265356265356	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				4038200.0	4075680.0	4091750.0	2321550.0	2439500.0	2362740.0	0	4.3662064417223105e-05	-0.7768298690842947	False	0.0001842751842751843	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				1125040.0	1097370.0	1133690.0	679960.0	667388.0	660948.0	0	4.841933710008219e-05	-0.7408137818577478	False	0.000214987714987715	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				4385000.0	4235570.0	4210190.0	2443020.0	2542530.0	2460740.0	0	6.472087283392855e-05	-0.785012918643102	False	0.0002457002457002457	True	True	Human	True	False	False	True	umpire	manual	min	0.5
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1615160.0	1568760.0	1502010.0	585801.0	704524.0	695904.0	0	6.786589998833944e-05	-1.2383034365680383	False	0.00027641277641277643	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				2714770.0	2779390.0	2593290.0	1617740.0	1569680.0	1432900.0	0	0.00011932130802932348	-0.8076921126782357	False	0.0003071253071253071	True	True	Human	True	False	False	True	umpire	manual	min	0.5
