protein	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	45773219.237801	45498331.72946722	45282888.31129903	7381082.467334743	7246351.9969501775	6786281.01327077	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	1.7695553395284487e-08	2.672869172279736	True	3.1172069825436414e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	86159210.8368958	86121182.9939373	84034616.13321659	12397701.103482872	13155575.468534753	11126156.73550976	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	2.1378637301263658e-07	2.8048747114418937	True	6.234413965087283e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	51876538.38468725	52692377.52359439	52970382.4947925	5856711.603467881	5289846.743631719	5876838.777189725	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	4.855539178168811e-07	3.2101208862522634	True	9.351620947630924e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	91043634.7377868	90493219.66059716	93688654.77059866	15076171.966381472	15495421.691984195	17596375.416256938	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	8.421312849655514e-07	2.514468190473435	True	0.00012468827930174565	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	71189758.10194768	69088374.28282377	68287525.11186445	9623729.812639242	11669451.489076152	9038718.560715867	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	9.930348752758056e-07	2.7815938524347	True	0.00015586034912718204	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	29826187.88771465	29121717.93854292	30081290.50093202	3526018.647273024	4111344.195608668	3793570.483916109	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			0	2.068453568673304e-06	2.9613353292975924	True	0.00018703241895261848	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	20572003.22259259	20509394.091519896	19821640.30796756	3318684.4526104806	2974093.7881110767	3971242.9316743272	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)			0	2.2410607459998193e-06	2.568918134806565	True	0.0002182044887780549	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	36408048.45157788	36882232.708684444	36327777.97606303	5463046.54978308	5701228.189562997	5555305.573421496	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	2.3474271126951564e-06	2.7128749569931356	True	0.0002493765586034913	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	45820385.74479157	44516595.29679982	44679402.45402998	5757309.136286372	6213562.9325924255	5434594.239183808	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	2.5394954736848448e-06	2.955522110220765	True	0.0002805486284289277	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	48545272.18171075	50187481.14994848	49107020.48128618	6665561.061527975	5925598.631373212	5877404.012045555	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			0	3.8909526506075594e-06	3.000890876816766	True	0.0003117206982543641	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
