Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AG40	P0AG40		ribF		1582630.0	1774520.0	1642770.0	1662230.0	1779350.0	1741500.0	0	0.015598547662972605	-0.11559641686315258	False	0.008124618204031766	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P30128	P30128		greB		1894680.0	2054980.0	1860940.0	1935170.0	1999050.0	2100560.0	0	0.015835640270351597	-0.11303380946180888	False	0.008155161881490533	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17846	P17846		cysI		5652030.0	5476700.0	5668770.0	5819320.0	5425700.0	5371400.0	0	0.015840497255018265	0.07482604432256337	False	0.008185705558949298	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A917	P0A917		ompX		16409800.0	14879600.0	15850400.0	16487500.0	15128800.0	15002200.0	0	0.01617460238709695	0.11506935538890281	False	0.008216249236408063	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A746	P0A746		msrB		1815700.0	1309220.0	1624230.0	1771650.0	1353860.0	1339720.0	0	0.016195088906527006	0.380711288905298	False	0.008246792913866829	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33025	P33025		psuG		1770330.0	1813750.0	1725110.0	1744590.0	1823050.0	1833230.0	0	0.016200180692406644	-0.06197367395686628	False	0.008277336591325596	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AED9	P0AED9		dcm		369698.0	442849.0	357772.0	322551.0	410536.0	418458.0	0	0.016318194660511102	-0.2765024096367116	False	0.008307880268784363	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A825	P0A825		glyA		27075200.0	26117900.0	27251200.0	26693100.0	25220300.0	25577400.0	0	0.016582627991732823	0.07499294681024492	False	0.008338423946243128	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37634	P37634		rlmJ		5358660.0	5866060.0	5369080.0	5516600.0	5715790.0	6011600.0	0	0.01683138157395958	-0.11510128802679406	False	0.008368967623701894	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P25397	P25397		tehB		2745830.0	2912810.0	2826420.0	2756850.0	2890460.0	2935590.0	0	0.01715963930450215	-0.06928447608242225	False	0.008399511301160659	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A862	P0A862		tpx		39517000.0	41341800.0	39031200.0	39785300.0	40522900.0	41649500.0	0	0.017376792205688732	-0.061818357139991384	False	0.008430054978619426	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A7M9	P0A7M9		rpmE		72963100.0	69189200.0	73220700.0	73786300.0	70225900.0	67811900.0	0	0.01739012735091662	0.08609544830088485	False	0.008460598656078193	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P21369	P21369		pncA		1900370.0	2060650.0	1928910.0	1794440.0	2067590.0	2134980.0	0	0.017647283300739655	-0.15537978980896094	False	0.008491142333536959	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69910	P69910		gadB		42562500.0	41050700.0	43406200.0	42096300.0	40987400.0	39989700.0	0	0.017802301103365593	0.06966638724537853	False	0.008521686010995724	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P24205	P24205		msbB		2084760.0	2396110.0	2141550.0	2172500.0	2337310.0	2515250.0	0	0.017848117207889945	-0.17991268186964413	False	0.00855222968845449	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q47622	Q47622		sapA		2105490.0	2302650.0	2085640.0	2192940.0	2330010.0	2253250.0	0	0.017855661234483348	-0.10917085426650587	False	0.008582773365913256	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AE67	P0AE67		cheY		1472940.0	1597420.0	1513550.0	1434310.0	1694460.0	1603940.0	0	0.01799414990883902	-0.14724304953363757	False	0.008613317043372024	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76537	P76537		yfeY		2779320.0	2465710.0	2954450.0	2776960.0	2560190.0	2522290.0	0	0.018127470466227535	0.1731521447182034	False	0.008643860720830789	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6K3	P0A6K3		def		13544500.0	12745600.0	13729100.0	13641600.0	13130100.0	13068200.0	0	0.018276982223640305	0.07123953544491439	False	0.008674404398289554	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9Z1	P0A9Z1		glnB		13878300.0	13329700.0	13592900.0	13935300.0	13031400.0	13344800.0	0	0.018284357629346874	0.06050386303768801	False	0.00870494807574832	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A734	P0A734		minE		32867500.0	31788000.0	33642200.0	34042800.0	32215800.0	31361500.0	0	0.01846992945212886	0.07641262925898308	False	0.008735491753207087	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P22524	P22524		mukE		5413220.0	5725210.0	5518780.0	5340880.0	6038680.0	5915710.0	0	0.018578519709605643	-0.11961603014671712	False	0.008766035430665854	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAJ5	P0AAJ5		fdoH		3646570.0	3822120.0	3616210.0	3655740.0	3838750.0	3942580.0	0	0.018588010757188057	-0.0877765060538858	False	0.00879657910812462	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9E5	P0A9E5		fnr		8941940.0	8184470.0	8642120.0	8726460.0	8272670.0	8208830.0	0	0.018803623718754266	0.09311773909104867	False	0.008827122785583385	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A873	P0A873		trmD		3576700.0	3998880.0	3593650.0	3536490.0	3813190.0	3879420.0	0	0.01888450429799977	-0.1269260549946447	False	0.00885766646304215	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6K6	P0A6K6		deoB		18546400.0	17547800.0	18342500.0	18790500.0	17871000.0	18036700.0	0	0.018914156017113857	0.05880527132697982	False	0.008888210140500917	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEW9	P0AEW9		fruK		15666900.0	15206400.0	15810700.0	15851200.0	15489000.0	15205100.0	0	0.019155042725646016	0.04420847448368617	False	0.008918753817959682	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAI3	P0AAI3		ftsH		12613400.0	12139400.0	12371800.0	12523900.0	12055600.0	12255600.0	0	0.01936127822335362	0.04129808471063284	False	0.008949297495418448	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77804	P77804		ydgA		8662800.0	7912800.0	8483120.0	8487220.0	7830250.0	8194440.0	0	0.019369437358910592	0.09873833189492377	False	0.008979841172877215	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P16433	P16433		hycG		1051710.0	791078.0	963496.0	1041420.0	897542.0	876034.0	0	0.01941210448342739	0.2531758354418173	False	0.00901038485033598	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P25552	P25552		gppA		2482950.0	2019080.0	2416720.0	2398150.0	1875880.0	2129610.0	0	0.019450341720855874	0.2766072938916261	False	0.009040928527794747	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9G6	P0A9G6		aceA		7326820.0	6935280.0	7306920.0	7122360.0	6854560.0	6868000.0	0	0.019495766578740414	0.074730549391386	False	0.009071472205253513	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF24	P0AF24		nagD		2242610.0	1855360.0	2090310.0	2093150.0	1927150.0	1853870.0	0	0.01980457784163622	0.18916781614301095	False	0.009102015882712278	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEN1	P0AEN1		fre		9126200.0	9869350.0	8822930.0	9281900.0	9977580.0	9873970.0	0	0.019809208680157765	-0.12622625119927783	False	0.009132559560171045	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A7S9	P0A7S9		rpsM		33557700.0	35741900.0	33972500.0	33969100.0	36091600.0	34983200.0	0	0.019981567285121963	-0.07366744158961319	False	0.00916310323762981	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P27838	P27838		cyaY		1960740.0	1723660.0	2072050.0	1927080.0	1786370.0	1741350.0	0	0.020047314023423378	0.18258426652055892	False	0.009193646915088578	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADZ4	P0ADZ4		rpsO		141104000.0	130915000.0	136347000.0	143209000.0	128774000.0	128110000.0	0	0.020311512739443163	0.11734555743959814	False	0.009224190592547343	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9R4	P0A9R4		fdx		9361460.0	11016300.0	10162400.0	9718930.0	10521600.0	11264900.0	0	0.02047813391994289	-0.16573800378325176	False	0.009254734270006108	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A780	P0A780		nusB		11023800.0	12031200.0	11458100.0	11072000.0	12072200.0	12111000.0	0	0.02076628133337753	-0.11008301102038047	False	0.009285277947464875	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAS7	P0AAS7		ybcJ		2587810.0	2716310.0	2439110.0	2575800.0	2741840.0	2844150.0	0	0.020778212494392833	-0.12699540489747563	False	0.00931582162492364	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17117	P17117		nfsA		4367660.0	4138360.0	4482290.0	4453630.0	4293240.0	4223000.0	0	0.02095009058847781	0.07215262198948336	False	0.009346365302382408	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AA57	P0AA57		yobA		1227080.0	1090650.0	1192420.0	1156810.0	992215.0	1066280.0	0	0.020973326694915282	0.18351161014108677	False	0.009376908979841173	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69908	P69908		gadA		3557470.0	3020650.0	3469070.0	3692860.0	3126520.0	3317500.0	0	0.021016803724274766	0.17960004549994213	False	0.009407452657299939	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ACF8	P0ACF8		hns		55047400.0	50853600.0	55051400.0	54801400.0	52514300.0	50889200.0	0	0.02103245048892418	0.09625625464939346	False	0.009437996334758706	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABU2	P0ABU2		ychF		18187100.0	17974800.0	18156400.0	18270600.0	17747500.0	17765100.0	0	0.02112893970644697	0.030074390561771108	False	0.009468540012217471	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P32680	P32680		yjaG		1818850.0	1678180.0	1772840.0	1755760.0	1668090.0	1587160.0	0	0.02140034344708312	0.11626004912463285	False	0.009499083689676238	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P27298	P27298		prlC		9986430.0	9670310.0	9992820.0	10199300.0	9625860.0	9616810.0	0	0.021606683650726204	0.061806177805362475	False	0.009529627367135004	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P07026	P07026		sdiA		1647200.0	1742240.0	1568240.0	1680730.0	1828640.0	1861700.0	0	0.021646431485092158	-0.1499838639054819	False	0.009560171044593769	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P11880	P11880		murF		4873440.0	4713890.0	5009730.0	4983500.0	4444740.0	4553440.0	0	0.02171274014068651	0.11663515337092552	False	0.009590714722052536	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P21893	P21893		recJ		1226920.0	1136070.0	1224570.0	1179860.0	1061320.0	1053750.0	0	0.021884723163957658	0.15956030551638167	False	0.009621258399511301	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P15254	P15254		purL		2937680.0	3020960.0	2886110.0	2960060.0	3060390.0	3013470.0	0	0.02209101582060769	-0.05019166713408468	False	0.009651802076970068	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P06959	P06959		aceF		57061200.0	54543800.0	56192300.0	56213500.0	54889700.0	53341000.0	0	0.02238213813690211	0.058129660391064895	False	0.009682345754428834	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ACM2	P0ACM2		ydfH		637898.0	487563.0	615752.0	567390.0	480746.0	542738.0	0	0.022657573545760114	0.2692140769743599	False	0.0097128894318876	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEM9	P0AEM9		fliY		7253700.0	6836130.0	7134010.0	7300270.0	7041440.0	6957970.0	0	0.022726018329555512	0.05784919665905096	False	0.009743433109346366	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37651	P37651		bcsZ		2156210.0	2055370.0	2339850.0	2260450.0	2022330.0	1892040.0	0	0.022960897704785443	0.17861013166609338	False	0.009773976786805132	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AC02	P0AC02		bamD		24368100.0	24040200.0	25149200.0	24855800.0	23180400.0	23497700.0	0	0.02324469991529484	0.0726973132911953	False	0.009804520464263897	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76346	P76346		mtfA		1239120.0	1145980.0	1232660.0	1214260.0	1102070.0	1066790.0	0	0.023750465174531554	0.1531324905079634	False	0.009835064141722664	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AED0	P0AED0		uspA		9367450.0	8578360.0	9910930.0	10158200.0	8596680.0	8386450.0	0	0.023979569924580946	0.20363813137105014	False	0.009865607819181431	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P62556	P62556		sopA		3993090.0	3717870.0	3913620.0	4052290.0	3828720.0	3829570.0	0	0.023982071589458573	0.07208309682039056	False	0.009896151496640195	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00579	P00579		rpoD		7160620.0	6827790.0	7002900.0	7016670.0	6773200.0	6866570.0	0	0.024395503811264607	0.04937640674174828	False	0.009926695174098962	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75937	P75937		flgE		3224380.0	3342160.0	2986210.0	3056340.0	3555780.0	3387080.0	0	0.024419634609234703	-0.1503812202011749	False	0.009957238851557727	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
