Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AA95	P0AA95		yacC		1081760.0	1095540.0	1067050.0	1050980.0	1025420.0	1187090.0	0	0.29114905739125585	0.07271056040988261	False	0.017454545454545455	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7Y8	P0A7Y8		rnpA		1513310.0	1588230.0	1549260.0	1256640.0	1444480.0	1633220.0	0	0.29227552318709726	0.13060885025053476	False	0.017484848484848485	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P75745	P75745		ybgK		1469640.0	1366310.0	1462330.0	1526580.0	1388640.0	1581710.0	0	0.2925029002568628	0.07617770720421868	False	0.017515151515151515	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8Z0	P0A8Z0		yciA		2029080.0	2075700.0	1918160.0	1943180.0	2026380.0	1741540.0	0	0.293235778986762	-0.08768510021832714	False	0.017545454545454548	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76445	P76445		yeiU		2334260.0	1801950.0	2179610.0	1805650.0	1998990.0	1784690.0	0	0.29334546829805197	0.16789846012596604	False	0.017575757575757574	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ACI0	P0ACI0		rob		4318050.0	4356610.0	4523440.0	4357990.0	4303550.0	4912280.0	0	0.29411334170921943	0.07930268246100632	False	0.017606060606060608	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ABN5	P0ABN5		dcuA		4208260.0	4276230.0	4298030.0	4222100.0	4150790.0	4473270.0	0	0.2945308842040507	0.037204457557051894	False	0.017636363636363638	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ADB7	P0ADB7		ecnB		13305700.0	13388000.0	13077900.0	13360500.0	13665000.0	11150200.0	0	0.2945495948556184	-0.10664694207082288	False	0.017666666666666667	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AF70	P0AF70		yjeI		9854880.0	10119000.0	9423900.0	10007500.0	10243200.0	6127090.0	0	0.2949443976382125	-0.2574707885398801	False	0.017696969696969697	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A805	P0A805		frr		32106600.0	31648500.0	31927100.0	32846400.0	32984100.0	28455600.0	0	0.29511590103204466	-0.0758049798249426	False	0.017727272727272727	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AE45	P0AE45		ytfL		445863.0	471263.0	498535.0	418166.0	473436.0	529622.0	0	0.2951789143207637	0.11311343796473725	False	0.017757575757575757	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8E7	P0A8E7		yajQ		21671000.0	21643000.0	21578300.0	21998000.0	21883800.0	19996100.0	0	0.2955641423350837	-0.05108049233632837	False	0.01778787878787879	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
