protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	9683167.244805152	12254758.188147563	11330143.6890418	178094871.55472702	176099054.53548786	175086876.47552168	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	2.1433713002244425e-08	-3.9918232874544013	True	3.0193236714975848e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	663308.0985368419	1409246.3266552798	1146548.60935502	24271053.23943873	24932815.40786296	24449675.57909798	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			0	1.6917282321578818e-07	-4.516024290438095	True	6.0386473429951696e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	8903805.457854867	8640674.983276373	8824710.089449944	21782967.95933748	21846032.600961875	22150600.292657945	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	3.597141723446832e-07	-1.3187869693188288	True	9.057971014492755e-05	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	4385283.462139252	5850088.839793748	5275869.274722061	41487890.99201775	42678009.12973064	41734452.53896368	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	4.3686723973650045e-07	-3.020896249499865	True	0.00012077294685990339	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	2152049.3881939584	1555467.7274681516	1185908.4431770137	36365456.67055112	36665937.87442528	36974615.67819597	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	5.009353301626827e-07	-4.490593785093263	True	0.00015096618357487922	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	6967923.261523112	6796970.052449742	7621886.305922247	25027516.33851865	24984042.23543066	25692888.78781593	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	8.21968648469342e-07	-1.8236587951878138	True	0.0001811594202898551	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	1926528.0339499223	1302993.6991500617	2157832.5421651592	18963814.301404536	19945955.44988344	19314299.789097577	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	1.5773233044005409e-06	-3.433966833589891	True	0.00021135265700483093	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	975904.9377315128	952964.803563652	1137985.3295543403	8203390.636589003	8506877.297224361	8410705.29491811	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	1.6233097916403993e-06	-3.034060461280731	True	0.00024154589371980678	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	68502.41962805665	52945.371090000015	108587.49374690514	2156903.9273925703	2244315.123211218	2187322.9800337343	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)			3	1.625636370719404e-06	-4.840032174371148	True	0.0002717391304347826	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	13335605.568090122	14490911.814470896	13087091.882459909	207798253.42570543	204585075.78278387	207726550.74047625	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	2.04705093306554e-06	-3.9218711577202416	True	0.00030193236714975844	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0ADZ7	40938751.62960493	40502275.55744526	41041520.7022598	29587069.0788932	29332522.504580997	29287206.04899537	P0ADZ7	P0ADZ7		yajC	0	6.1336416886743675e-06	0.47361445321716505	True	0.0003321256038647343	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	68502.41962805665	52945.371090000015	108587.49374690514	2058075.7544061933	2108717.45805955	2161085.4092117515	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)			3	6.787944998333183e-06	-4.781794852805932	True	0.0003623188405797102	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
