protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	6450020.80564434	6684042.0509353625	6434343.667799825	22674178.45715559	22390098.14952718	22433474.115823917	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	2.134863991552871e-08	-1.7863131463745028	True	2.9291154071470417e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	639760.0604931986	710122.6249999998	668366.2933913117	2832966.877670652	2824278.440004211	2871849.1517713014	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			0	3.879753131081287e-07	-2.079288417536956	True	5.858230814294083e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	2110831.276377272	2115510.133241895	1922870.02194932	9543365.58798771	9291174.47857384	9629612.429066855	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	2.963343913703509e-06	-2.2106728271972544	True	8.787346221441127e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	869372.5822010345	1102358.6984232548	1102627.1119713143	5798615.655241276	6120350.918060676	5837643.275818263	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	5.324922011191041e-06	-2.529998902079161	True	0.00011716461628588167	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	1786946.646610234	1858027.7042103729	2009816.6459687669	5561022.643446973	5552471.369231734	5800026.940419077	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	5.416388419383472e-06	-1.5806314146618665	True	0.00014645577035735208	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	6974830.395657988	6627331.193761609	7572665.690942831	27394671.250983085	27155586.92380961	26048033.86498492	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	9.424643458736641e-06	-1.9283990651184368	True	0.00017574692442882253	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	443561.9132172039	477708.78120000026	533097.4682121897	1384620.1687516095	1371044.809301115	1435672.298801022	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	1.8536817408790292e-05	-1.527018096635754	True	0.00020503807850029293	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	273873.6159288172	250299.6094	208897.4078235829	886339.3383340104	817006.190013322	838670.9030206762	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			0	2.847919958589286e-05	-1.7939492384528688	True	0.00023432923257176333	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	7008190.16552709	6967872.540993901	7652187.116183386	30701870.10672942	30677151.56783724	30870611.748620827	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	2.9436547210080475e-05	-2.092626252425911	False	0.00026362038664323376	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	1491409.245662623	1971964.456297943	1688166.9077447094	8080525.308725592	8080735.632560446	7498739.6115138	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	3.0028200414382035e-05	-2.199374255879533	False	0.00029291154071470416	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	30109.634732651837	43277.222660000014	43619.25700653814	597288.8940809979	566750.1398626752	599451.5647480572	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			3	5.098376330404604e-05	-3.913778056725406	False	0.0003222026947861746	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	535234.4696418709	388479.53599846456	407094.20832369325	2688867.120113547	2747710.0521939304	2744930.9648873094	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			0	6.088568716255039e-05	-2.62006413076743	False	0.00035149384885764507	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	30109.634732651837	43277.222660000014	43619.25700653814	3777885.167131727	3787320.725184128	3679147.561943159	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	6.785525172229731e-05	-6.586472976073485	False	0.0003807850029291154	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	789658.0681294622	999591.0052844328	984003.0446044754	4733995.085694992	4704183.391682525	4767502.731429981	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	0.00012859583942319394	-2.3568173313988887	False	0.00041007615700058587	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P09348	3177784.2628130666	3220075.215434756	3160214.866204509	2815942.3938082308	2874426.7246355847	2849924.043862306	P09348	P09348		motA	0	0.00016130530186106472	0.16243439514273234	False	0.0004393673110720562	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	359286.79935625073	368625.5620320192	267243.0688618418	1877298.845520879	2071878.0792330296	1898480.4653621544	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	0.00016536181650172907	-2.554865008894395	False	0.00046865846514352667	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P0A7B5	24181543.627727523	24212469.64213944	24590998.196155798	26820279.41189849	26608506.89498129	26502178.27640116	P0A7B5	P0A7B5		proB	0	0.000259690777315624	-0.13115428336365467	False	0.0004979496192149971	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.160964047443681
P0C960	30109.634732651837	43277.222660000014	43619.25700653814	174375.70823825442	191052.23412818243	200155.4192821497	P0C960	P0C960		emtA	2	0.0002772399874208822	-2.273155756692716	False	0.0005272407732864675	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	1.160964047443681
P0A7X3	141873455.08805108	141086907.54673576	141081235.45994434	130625560.08868948	130784485.86365926	129161885.56591764	P0A7X3	P0A7X3		rpsI	0	0.00032378704145495944	0.11861752524034368	False	0.0005565319273579379	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.160964047443681
