Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P10371	P10371		hisA		3007260.0	2982780.0	3035190.0	3004390.0	3021790.0	3079360.0	0	0.09619725240607833	0.02258448308704309	False	0.01651432053625838	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33590	P33590		nikA		3777780.0	3873460.0	3671530.0	3713710.0	3661330.0	3635310.0	0	0.09737436374717201	-0.051268499741800956	False	0.01654478976234004	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P21179	P21179		katE		749839.0	733518.0	768790.0	708950.0	745402.0	780200.0	0	0.0973958992995744	0.0656620583905788	False	0.016575258988421694	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76112	P76112		yncA		1422590.0	1547330.0	1298070.0	1321570.0	1253790.0	1206970.0	0	0.09771241066743998	-0.1911949683085244	False	0.016605728214503353	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69811	P69811		fruB		12179900.0	12167700.0	12071800.0	12270400.0	12164200.0	12004600.0	0	0.09774401115300559	-0.014946155379191502	False	0.016636197440585008	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69441	P69441		adk		48726600.0	49005600.0	47198500.0	48720100.0	48450800.0	47733800.0	0	0.09784338875054216	-0.030555861301296925	False	0.016666666666666666	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P39377	P39377		iadA		5525050.0	5288090.0	5309690.0	5363810.0	5129610.0	5150330.0	0	0.09831986812444653	-0.05335293996175959	False	0.016697135892748325	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AG99	P0AG99		secG		6137960.0	6004480.0	5924500.0	6001670.0	5919340.0	5694730.0	0	0.09892768809316012	-0.04897016882542114	False	0.016727605118829984	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0C0K3	P0C0K3		rdoA		1118850.0	1079540.0	1019800.0	1046380.0	1016290.0	1031030.0	0	0.09977699528870257	-0.0812316062162645	False	0.01675807434491164	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6U5	P0A6U5		rsmG		5502050.0	5394830.0	5285880.0	5551600.0	5360760.0	5415630.0	0	0.0998235331317323	-0.034278474912578	False	0.016788543570993297	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P60390	P60390		rsmH		5062370.0	5286720.0	5048480.0	5266440.0	5073930.0	4917360.0	0	0.10009924295939773	-0.05419903172630473	False	0.016819012797074956	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75780	P75780		fiu		717600.0	677352.0	808433.0	616639.0	700765.0	782974.0	0	0.1002009168833794	0.188378301281179	False	0.016849482023156614	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P05194	P05194		aroD		1540160.0	1317080.0	1111130.0	1293420.0	1177810.0	1235390.0	0	0.10064554264209007	-0.23599174180245003	False	0.01687995124923827	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P67087	P67087		rsmI		3206070.0	3280290.0	3212420.0	3327110.0	3188920.0	3102680.0	0	0.1008984909655766	-0.04622548519199474	False	0.016910420475319928	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9C5	P0A9C5		glnA		17182800.0	16732200.0	16553800.0	17465500.0	16467800.0	16522900.0	0	0.10125301070529258	-0.05249601880189282	False	0.016940889701401583	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AE12	P0AE12		amn		1141470.0	1280980.0	1113160.0	1214950.0	1146740.0	1056790.0	0	0.10130491949431825	-0.13316341124361505	False	0.016971358927483242	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P52647	P52647		ydbK		1220680.0	1171450.0	1092600.0	1086610.0	990786.0	1072840.0	0	0.10164326209170156	-0.1403643438717431	False	0.0170018281535649	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P52697	P52697		pgl		11432700.0	11613100.0	11217800.0	11340700.0	11192800.0	11344500.0	0	0.10168970346336871	-0.026736786933102327	False	0.01703229737964656	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77444	P77444		sufS		381886.0	358075.0	457093.0	356405.0	424427.0	384100.0	0	0.10170146801308624	0.20711480956487602	False	0.017062766605728214	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADA7	P0ADA7		osmB		2434490.0	2572590.0	2234390.0	2445850.0	2402750.0	2079210.0	0	0.10246405143293988	-0.15013029609259954	False	0.017093235831809873	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF28	P0AF28		narL		8060290.0	7855630.0	7541390.0	7859160.0	7657450.0	7849210.0	0	0.10248147260402267	-0.04480550020310943	False	0.01712370505789153	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF96	P0AF96		tabA		2925480.0	2756850.0	2944100.0	2857660.0	2972510.0	3012090.0	0	0.103317604216776	0.06421575675717335	False	0.01715417428397319	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9D8	P0A9D8		dapD		39437600.0	39343900.0	39082600.0	39081200.0	38887900.0	39057900.0	0	0.10355907144525299	-0.010248540998285057	False	0.017184643510054845	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFC0	P0AFC0		nudB		450420.0	436562.0	546478.0	451326.0	470919.0	568597.0	0	0.10433508410240708	0.24497713520368455	False	0.017215112736136504	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P13024	P13024		fdhE		3487570.0	3357690.0	3362890.0	3464980.0	3302830.0	3330730.0	0	0.10494487870067923	-0.04459016357369981	False	0.01724558196221816	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8M0	P0A8M0		asnS		33238000.0	33937300.0	32754100.0	33105500.0	32648700.0	32704900.0	0	0.10495118829793786	-0.0316071343992369	False	0.017276051188299817	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
