Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				104920.0	19196200.0	19227600.0	109472.0	74727.9	19193300.0	3	2.5834153757053484e-12	-7.638685325649538	True	3.121098626716604e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				104920.0	7417980.0	7357490.0	109472.0	74727.9	7433940.0	3	2.0887747501152357e-07	-6.263359345198864	True	6.242197253433208e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				104920.0	15096400.0	14993100.0	109472.0	500850.0	14617000.0	2	2.1998239765451708e-07	-5.965909337743345	True	9.363295880149814e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				269482.0	3328930.0	3379620.0	287324.0	349395.0	3461590.0	0	2.1813007179715025e-06	-3.488364646064551	True	0.00012484394506866417	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				11034800.0	16618300.0	16240500.0	11202400.0	11354400.0	16549500.0	0	6.09541294288248e-06	-0.5566529034272698	True	0.00015605493133583021	True	False	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				104920.0	6881970.0	7021900.0	109472.0	74727.9	6936140.0	3	1.083188284504881e-05	-6.17154424734325	True	0.0001872659176029963	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				104920.0	8963550.0	8605670.0	109472.0	652430.0	8652330.0	2	1.4273695099633416e-05	-4.918873388397296	True	0.0002184769038701623	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A6F9	P0A6F9		groS		104260000.0	75188900.0	77786800.0	105677000.0	103085000.0	75547900.0	0	1.4911867325447636e-05	0.4539208946635858	True	0.00024968789013732833	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P76177	P76177		ydgH		12501900.0	11918700.0	11949400.0	12532500.0	12476300.0	11971400.0	0	1.57463251303052e-05	0.06575167550491852	True	0.0002808988764044944	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				104920.0	23696800.0	23566700.0	109472.0	74727.9	23314200.0	3	1.9447931527395255e-05	-7.931400693508207	True	0.00031210986267166043	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
