Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2037430.0	1902270.0	1911540.0	15328300.0	15217800.0	15224600.0	0	3.6939628919633332e-09	2.9676100567174735	True	3.1191515907673116e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2789490.0	2828970.0	2629630.0	18026200.0	17963700.0	17815900.0	0	6.573428164948795e-09	2.7056297165374827	True	6.238303181534623e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				936061.0	1028310.0	1001960.0	9199350.0	9202780.0	9310570.0	0	1.852912488592276e-08	3.2237957809624564	True	9.357454772301935e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				1568510.0	1316370.0	1507900.0	11407200.0	11265800.0	11537100.0	0	8.828128757788474e-08	2.9612161682337192	True	0.00012476606363069246	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)				3131780.0	3042230.0	2809040.0	21008200.0	20988500.0	20615700.0	0	1.07806637896195e-07	2.801171133218722	True	0.00015595757953836556	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				577858.0	600105.0	676539.0	3508390.0	3518450.0	3426840.0	0	2.69993020214122e-07	2.494907173578591	True	0.0001871490954460387	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				4198220.0	3735540.0	3473970.0	27543100.0	27798200.0	27279500.0	0	3.4124665058883214e-07	2.856493288218506	True	0.00021834061135371182	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2697760.0	2977090.0	3017600.0	25960900.0	25822700.0	26395000.0	0	6.099852102556433e-07	3.168938980951544	True	0.0002495321272613849	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1564210.0	1461060.0	1383610.0	9603170.0	9552140.0	9821240.0	0	9.832893801859042e-07	2.716401719641035	True	0.000280723643169058	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				5491030.0	4782250.0	4634400.0	35174800.0	35570400.0	35090300.0	0	1.3091997893129963e-06	2.8276959648184326	True	0.00031191515907673113	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
