Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				174239.0	592216.0	616050.0	607306.0	148028.0	168664.0	1	2.3843289975016055e-06	-1.8868319699721203	True	3.0395136778115502e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				28912.6	2188360.0	2266920.0	2235230.0	148028.0	128633.0	3	6.948395860223107e-06	-4.452524375531843	True	6.0790273556231004e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				28912.6	1382010.0	1360420.0	1441360.0	148028.0	128633.0	3	2.9173459868628068e-05	-3.775218626786352	True	9.118541033434651e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				1041110.0	1985860.0	2086480.0	2050670.0	1031140.0	982201.0	0	3.7612122683430226e-05	-1.0033279426245305	False	0.00012158054711246201	True	False	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A7T7	P0A7T7		rpsR		77177200.0	67220200.0	66001300.0	66761100.0	76235900.0	75942900.0	0	4.573092543099473e-05	0.19771416904045544	False	0.00015197568389057752	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				28912.6	1220380.0	1189510.0	1140400.0	148028.0	128633.0	3	6.147492896370688e-05	-3.538345061385618	False	0.00018237082066869303	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				28912.6	1100100.0	963893.0	1024710.0	148028.0	128633.0	3	6.929437586258483e-05	-3.337409340222009	False	0.00021276595744680854	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				132544.0	1767440.0	1738250.0	1818320.0	148028.0	128633.0	0	8.821341355002355e-05	-3.701617602715898	False	0.00024316109422492402	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A972	P0A972		cspE		123958000.0	113418000.0	112186000.0	113873000.0	125250000.0	123674000.0	0	9.188388335071415e-05	0.13540532273767955	False	0.0002735562310030395	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				28912.6	868974.0	944072.0	829046.0	148028.0	128633.0	2	0.00010454417253663738	-3.1120888910081996	False	0.00030395136778115504	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
