Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8Y3	P0A8Y3		yihX		2676330.0	2611870.0	2810250.0	2800230.0	2757910.0	2688270.0	0	0.013936501782322317	-0.06919966782894624	False	0.0020383693045563553	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7A5	P0A7A5		pcm		802406.0	740807.0	856321.0	879600.0	927289.0	771212.0	0	0.014009870524304963	-0.20251238053428092	False	0.002068345323741007	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AA16	P0AA16		ompR		7714350.0	7625420.0	8061210.0	7988950.0	8019850.0	7798090.0	0	0.014099090982511246	-0.056981304146870033	False	0.0020983213429256594	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7L0	P0A7L0		rplA		166922000.0	164026000.0	154738000.0	153638000.0	154118000.0	162039000.0	0	0.015281772601372144	0.0921149539694067	False	0.0021282973621103117	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A9Q7	P0A9Q7		adhE		194063000.0	194260000.0	190590000.0	191296000.0	189128000.0	192848000.0	0	0.015561319566153748	0.025436597646484625	False	0.002158273381294964	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7W1	P0A7W1		rpsE		146346000.0	145531000.0	142491000.0	140278000.0	142761000.0	148654000.0	0	0.015856298855564263	0.04998269866794407	False	0.0021882494004796167	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76268	P76268		kdgR		5954300.0	6028020.0	5842010.0	5908860.0	5822460.0	6011560.0	0	0.01591628566804775	0.03411871086190761	False	0.0022182254196642685	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ABV6	P0ABV6		tolR		6970240.0	6957780.0	7105000.0	7129570.0	7206300.0	7013390.0	0	0.015981086662411614	-0.034004863583895796	False	0.0022482014388489208	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P15042	P15042		ligA		7486880.0	7464050.0	7787750.0	7756950.0	7616190.0	7375600.0	0	0.01624141518150976	-0.05293164838744382	False	0.0022781774580335735	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P39310	P39310		ytfB		1658430.0	1657240.0	1700480.0	1679630.0	1707260.0	1633960.0	0	0.0163553439154587	-0.03959934062256204	False	0.0023081534772182253	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P09424	P09424		mtlD		2446930.0	2403600.0	2351400.0	2285600.0	2314610.0	2398150.0	0	0.016956199470336965	0.060371155034543815	False	0.002338129496402878	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P45578	P45578		luxS		21822900.0	21615200.0	20844900.0	20664900.0	20201000.0	21803600.0	0	0.0170675285238164	0.08027137741445953	False	0.0023681055155875303	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AE08	P0AE08		ahpC		29790500.0	30200800.0	29350000.0	29583100.0	29249600.0	30131100.0	0	0.017740182299781897	0.03139008327388862	False	0.002398081534772182	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76539	P76539		ypeA		2955030.0	2895900.0	3273880.0	3341640.0	3151340.0	3059520.0	0	0.0184816990159308	-0.1323965237062804	False	0.0024280575539568344	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76491	P76491		yfbR		849844.0	879216.0	816657.0	826592.0	804372.0	885045.0	0	0.018638489715374428	0.09493690829674063	False	0.002458033573141487	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P00490	P00490		malP		5607230.0	5609960.0	5706800.0	5714400.0	5708190.0	5557100.0	0	0.01890449393866781	-0.0302220728509546	False	0.0024880095923261393	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A877	P0A877		trpA		1707570.0	1690910.0	1804000.0	1746360.0	1788210.0	1674920.0	0	0.018985853781193943	-0.07350043972334892	False	0.0025179856115107916	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				83907.7	368255.0	766543.0	829444.0	789846.0	285655.0	1	0.019006345821455377	-1.6931567586070488	False	0.002547961630695444	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P33225	P33225		torA		3417220.0	3475800.0	3971610.0	3661310.0	3891330.0	3200080.0	0	0.01931578207019408	-0.19130351027552858	False	0.0025779376498800957	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P45577	P45577		proQ		17021000.0	16866400.0	16617900.0	16686700.0	16420300.0	17160500.0	0	0.01951954785511928	0.03788314326710619	False	0.0026079136690647484	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
