Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AGA2	P0AGA2		secY		4025460.0	4109170.0	4062800.0	4022810.0	4009650.0	4199420.0	0	0.11909695890677824	-0.03702654212458085	False	0.015693430656934307	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A8W8	P0A8W8		yfbU		17668900.0	18074900.0	17932800.0	17526100.0	17948200.0	18580300.0	0	0.11971466130868463	-0.03869873862037963	False	0.015723844282238445	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P23847	P23847		dppA		1797800.0	1757520.0	1619170.0	1809020.0	1759330.0	1575110.0	0	0.11989092749783556	0.11593433660992167	False	0.01575425790754258	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P68066	P68066		grcA		324232000.0	328936000.0	330290000.0	316859000.0	314247000.0	320881000.0	0	0.12017659760897521	-0.03692800826555449	False	0.015784671532846718	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P26616	P26616		maeA		9203720.0	9247230.0	9373520.0	9118520.0	8942840.0	9209180.0	0	0.1203352078531829	-0.02958289133973124	False	0.015815085158150853	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AAZ7	P0AAZ7		ycaR		5698820.0	5743100.0	5958160.0	5747720.0	5628270.0	5828340.0	0	0.12054869867688907	-0.03792355125732106	False	0.015845498783454988	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P36767	P36767		rdgC		5043240.0	5201390.0	5206580.0	5015390.0	5160700.0	5134090.0	0	0.12121726142837809	-0.030272887830319138	False	0.015875912408759126	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A9Q1	P0A9Q1		arcA		27045900.0	27509000.0	27485400.0	26527200.0	27473400.0	28088300.0	0	0.12144972363799901	-0.03579821709309171	False	0.01590632603406326	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A7Z0	P0A7Z0		rpiA		22436700.0	21580400.0	21420100.0	21676900.0	22063400.0	21516900.0	0	0.12211085554425839	0.03664159128064775	False	0.0159367396593674	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A9A9	P0A9A9		fur		13948900.0	14216700.0	14823400.0	13826200.0	14364900.0	14505100.0	0	0.12230512106775195	-0.04732338474122614	False	0.015967153284671534	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P39838	P39838		rcsD		740680.0	694902.0	764578.0	801222.0	793204.0	706724.0	0	0.12245714229621635	0.10831892759930814	False	0.01599756690997567	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P46854	P46854		yhhY		1009590.0	830854.0	824394.0	862126.0	953116.0	838684.0	0	0.12277089149134761	0.17974294038644095	False	0.016027980535279807	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ACF8	P0ACF8		hns		51265200.0	50507500.0	52013100.0	49167400.0	49301600.0	52662800.0	0	0.123132885537309	-0.05157046298558885	False	0.016058394160583942	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P36979	P36979		rlmN		3536960.0	3694880.0	3623910.0	3557140.0	3544210.0	3861800.0	0	0.12340882913194386	-0.07172733847298846	False	0.01608880778588808	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P63417	P63417		yhbS		7186400.0	7061460.0	6995860.0	7200290.0	7077980.0	6768940.0	0	0.12371354124540651	0.04356021075529922	False	0.016119221411192215	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ABZ1	P0ABZ1		fliG		2552840.0	2620840.0	2705950.0	2560550.0	2492830.0	2567850.0	0	0.12392456706537228	-0.053693812238869675	False	0.01614963503649635	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AD61	P0AD61		pykF		50035300.0	50207100.0	50725200.0	48839100.0	48044500.0	50258000.0	0	0.12395622071379717	-0.04134558315531436	False	0.01618004866180049	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P43671	P43671		pqiB		1076850.0	1101470.0	986168.0	1170140.0	1131960.0	1038390.0	0	0.12409398761630297	0.11224430169308831	False	0.016210462287104623	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P22524	P22524		mukE		3799870.0	3917460.0	3950590.0	3739850.0	3552880.0	3773750.0	0	0.12422420518099603	-0.0697165790294675	False	0.01624087591240876	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A9W6	P0A9W6		yrbA		6903620.0	7097210.0	7463350.0	6231280.0	7090650.0	7532660.0	0	0.1243177671233908	-0.12742476628358645	False	0.016271289537712896	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AC53	P0AC53		zwf		11916000.0	12085900.0	12214200.0	11950300.0	12145600.0	12227800.0	0	0.12463747750354835	-0.020525096496900097	False	0.01630170316301703	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P23836	P23836		phoP		22616300.0	23003800.0	23062800.0	22976400.0	22549700.0	23723000.0	0	0.12539804090408282	-0.03445930242123753	False	0.01633211678832117	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P27836	P27836		wecG		537518.0	630231.0	586215.0	562280.0	494889.0	552348.0	0	0.12578869245779722	-0.14949275218335376	False	0.016362530413625304	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
Q46920	Q46920		queF		4626760.0	4737850.0	4701300.0	4679950.0	4547810.0	4691730.0	0	0.1260872122609243	-0.02849458378873702	False	0.016392944038929443	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A7X3	P0A7X3		rpsI		77005600.0	78315800.0	78852800.0	76494200.0	78598200.0	80973400.0	0	0.12610443848193167	-0.03708799352003246	False	0.016423357664233577	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P52006	P52006		nudI		1010170.0	1186490.0	1151980.0	1095550.0	1099060.0	1094880.0	0	0.12629807632376155	-0.09939161203551858	False	0.016453771289537712	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P06986	P06986		hisC		4666250.0	4567800.0	4566710.0	4600020.0	4577190.0	4479370.0	0	0.126365306583702	0.024126273441690545	False	0.01648418491484185	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A9A6	P0A9A6		ftsZ		13927600.0	14078500.0	14192400.0	14085800.0	13960600.0	14424400.0	0	0.1270243108622099	-0.02458130887843841	False	0.016514598540145985	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P40120	P40120		mdoD		4285540.0	4169350.0	4172900.0	4224020.0	4314440.0	4256600.0	0	0.12720166148116974	0.025554277436612902	False	0.016545012165450124	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P75777	P75777		ybhG		2863660.0	2763560.0	2838330.0	2871640.0	2962690.0	2852830.0	0	0.12784082045920744	0.040925073314471073	False	0.01657542579075426	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A738	P0A738		moaC		1083970.0	1147470.0	1162060.0	1090030.0	1116650.0	1104090.0	0	0.12842043988737226	-0.052929881514990396	False	0.016605839416058393	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P60651	P60651		speB		11355500.0	11602000.0	11465600.0	11302600.0	11346000.0	11389100.0	0	0.12853395611665064	-0.0190758299247795	False	0.01663625304136253	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P32664	P32664		nudC		1283530.0	1159520.0	1233440.0	1210830.0	1244530.0	1156680.0	0	0.12859893311495027	0.07493731128632322	False	0.016666666666666666	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AB06	P0AB06		ycbK		873326.0	882393.0	939824.0	858319.0	843420.0	884831.0	0	0.12890380551082264	-0.0721116195343285	False	0.016697080291970805	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P45795	P45795		yrdB		1555130.0	1429870.0	1473320.0	1719140.0	1719330.0	1626620.0	0	0.12932481769303433	0.14062972375529595	False	0.01672749391727494	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P07024	P07024		ushA		5283250.0	4886480.0	5108790.0	5274390.0	5082780.0	5091130.0	0	0.12955484140624263	0.05203067149192709	False	0.016757907542579074	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ABB0	P0ABB0		atpA		58237400.0	56802900.0	57071600.0	57161200.0	57829800.0	57105300.0	0	0.12969858448354846	0.01884958125663627	False	0.016788321167883213	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P30843	P30843		basR		1968310.0	1777620.0	1752110.0	1860700.0	2071910.0	1914990.0	0	0.12977490383706863	0.11608204069351163	False	0.016818734793187348	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AG67	P0AG67		rpsA		324894000.0	327064000.0	329461000.0	323121000.0	325842000.0	335665000.0	0	0.12987715191659155	-0.026906472551099576	False	0.016849148418491486	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A707	P0A707		infC		50901000.0	51998500.0	51460400.0	49859400.0	50105400.0	50523500.0	0	0.12989355468137267	-0.02949966589162177	False	0.01687956204379562	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A6I0	P0A6I0		cmk		11044500.0	10763500.0	10944400.0	11022400.0	11283200.0	11007100.0	0	0.13023189817842012	0.027738816625716627	False	0.016909975669099755	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ADC1	P0ADC1		lptE		5955100.0	5896560.0	5820680.0	6296580.0	6118640.0	5961260.0	0	0.13074692950779934	0.05538088861453868	False	0.016940389294403894	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P24182	P24182		accC		20979900.0	20022200.0	20001700.0	20190800.0	20592100.0	20045400.0	0	0.1310562787908874	0.0401103063438691	False	0.016970802919708032	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P64564	P64564		yggT		616173.0	576510.0	624900.0	658660.0	626773.0	554512.0	0	0.13172588921332645	0.1149896002465252	False	0.017001216545012167	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P29680	P29680		hemE		6196090.0	5854440.0	5916510.0	5933290.0	6079530.0	5891280.0	0	0.13212423271592183	0.04397705756008348	False	0.0170316301703163	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P45523	P45523		fkpA		30574800.0	30478500.0	29989200.0	30625000.0	30668900.0	29665500.0	0	0.13230931512145191	0.027514802163993924	False	0.01706204379562044	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ADV7	P0ADV7		mlaC		9649950.0	9497480.0	9387740.0	9704850.0	9618620.0	9619600.0	0	0.1324940765445379	0.023524097979924267	False	0.017092457420924575	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P33136	P33136		mdoG		12330300.0	12317400.0	12919500.0	12210000.0	12157900.0	12717300.0	0	0.13266695333484205	-0.04855024021209582	False	0.017122871046228713	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AFI2	P0AFI2		parC		5063780.0	5158340.0	5037940.0	4982370.0	5022920.0	5124900.0	0	0.13291780595862873	-0.023937031826424746	False	0.017153284671532848	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P21369	P21369		pncA		2217440.0	2166340.0	2365700.0	2006610.0	2133630.0	2306580.0	0	0.13296153722191434	-0.10520482230769067	False	0.017183698296836983	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AGE9	P0AGE9		sucD		16356200.0	16570000.0	16334400.0	16083400.0	16299700.0	16447200.0	0	0.1330251784535726	-0.018011327189612916	False	0.01721411192214112	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P52076	P52076		qseB		1001830.0	930139.0	933085.0	1043300.0	950459.0	936128.0	0	0.13459345463031785	0.09774678943835731	False	0.017244525547445256	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AES0	P0AES0		gsp		1859000.0	1905560.0	1912650.0	1893170.0	1890240.0	1900440.0	0	0.1354062504390901	-0.019363108904847087	False	0.017274939172749394	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
Q46829	Q46829		bglA		12936500.0	13735100.0	13351400.0	13320100.0	12717100.0	13211000.0	0	0.13555421459867611	-0.04818943732695687	False	0.01730535279805353	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P14175	P14175		proV		915870.0	876692.0	923316.0	957982.0	935188.0	835756.0	0	0.13561020353086317	0.09185596754554504	False	0.017335766423357664	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AFK0	P0AFK0		pmbA		5376010.0	5433230.0	5518230.0	5331860.0	5479860.0	5603180.0	0	0.1375457672188946	-0.03233494680808348	False	0.017366180048661802	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ADR8	P0ADR8		ygdH		6796940.0	6750580.0	6813890.0	6818650.0	6888780.0	6734740.0	0	0.13780519472574695	0.014507835285382551	False	0.017396593673965937	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P00547	P00547		thrB		929184.0	1071350.0	965701.0	1000120.0	919869.0	1035860.0	0	0.1390734214837829	-0.1090627592375021	False	0.017427007299270075	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P16384	P16384		miaA		2295820.0	2226500.0	2254700.0	2243910.0	2344890.0	2206480.0	0	0.13930561842529882	0.04187120899621177	False	0.01745742092457421	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P77488	P77488		dxs		2917760.0	2865430.0	2826420.0	2995060.0	2873330.0	2652760.0	0	0.13971839868204325	0.07438650552054497	False	0.017487834549878345	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AF24	P0AF24		nagD		2097520.0	2106900.0	2072220.0	2160500.0	2140710.0	1993460.0	0	0.14058650798650316	0.051911962303857404	False	0.017518248175182483	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P39377	P39377		iadA		5412960.0	5201290.0	5295300.0	5494390.0	5256940.0	5199630.0	0	0.1409428271504163	0.04239297215429698	False	0.017548661800486618	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P24224	P24224		acpS		2139070.0	2078610.0	2110390.0	2103740.0	2170340.0	2095000.0	0	0.1409685168175874	0.029349970770218968	False	0.017579075425790756	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P62399	P62399		rplE		142800000.0	143540000.0	144606000.0	140303000.0	143395000.0	144737000.0	0	0.14113908718630855	-0.0214381684948988	False	0.01760948905109489	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P63883	P63883		amiC		705463.0	654507.0	676928.0	695472.0	683069.0	602688.0	0	0.14211413041404566	0.10767850119067818	False	0.017639902676399026	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A8J8	P0A8J8		rhlB		5521190.0	5840340.0	5694500.0	5570840.0	5686470.0	5654310.0	0	0.14258244887076163	-0.03488446117561738	False	0.017670316301703164	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P76015	P76015		dhaK		2589700.0	2497140.0	2454470.0	2595120.0	2469630.0	2429620.0	0	0.14265487449497885	0.05243747315296447	False	0.0177007299270073	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P08660	P08660		lysC		2423280.0	2480090.0	2515940.0	2480450.0	2445520.0	2608850.0	0	0.14345798225698092	-0.049328454693476693	False	0.017731143552311437	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A8D0	P0A8D0		nrdR		1363860.0	1357050.0	1396650.0	1287610.0	1353770.0	1416370.0	0	0.14362813938425056	-0.05818290768991155	False	0.017761557177615572	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P76536	P76536		yfeX		7908430.0	7996360.0	7972040.0	7850260.0	7742100.0	7872930.0	0	0.14382015664179798	-0.020755464393081825	False	0.017791970802919707	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P37631	P37631		yhiN		1358220.0	1218900.0	1265840.0	1257440.0	1364900.0	1264790.0	0	0.1439375211785389	0.08626164225859419	False	0.017822384428223845	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ADI4	P0ADI4		entB		949456.0	997066.0	932060.0	932168.0	854484.0	1031440.0	0	0.14395462638230622	-0.11374783858105439	False	0.01785279805352798	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P00946	P00946		manA		11443600.0	11746800.0	11603600.0	11446400.0	11601900.0	12080400.0	0	0.14563468998892767	-0.03874643834313434	False	0.01788321167883212	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P19931	P19931		hyaE		1483110.0	1434340.0	1439070.0	1490370.0	1474860.0	1479400.0	0	0.14635898140728715	0.031320013881638104	False	0.017913625304136253	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AFG8	P0AFG8		aceE		72618400.0	73468600.0	73206400.0	73101200.0	72066700.0	73091300.0	0	0.1463866456009915	-0.013056970426509591	False	0.017944038929440388	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P38134	P38134		etk		35839400.0	35211300.0	34761400.0	35974200.0	35089900.0	35122900.0	0	0.14674769024182557	0.024606817623654964	False	0.017974452554744526	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AAH0	P0AAH0		pstB		1404110.0	1484390.0	1453130.0	1468440.0	1398810.0	1480710.0	0	0.1473979882893834	-0.048773026343893945	False	0.01800486618004866	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P60716	P60716		lipA		7797620.0	8024660.0	7839550.0	7845600.0	7823180.0	8051000.0	0	0.14844413675716772	-0.02733192593119073	False	0.0180352798053528	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AGG2	P0AGG2		tesB		876492.0	951510.0	1022670.0	908766.0	977034.0	1132110.0	0	0.1488587639309446	-0.16932669055535743	False	0.018065693430656934	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A8F4	P0A8F4		udk		7080010.0	7253910.0	7109180.0	6860600.0	7139810.0	7276020.0	0	0.14946456177721162	-0.03773755235713224	False	0.01809610705596107	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AEK4	P0AEK4		fabI		23891300.0	24281600.0	24048000.0	23853200.0	23295100.0	23963400.0	0	0.149616779389154	-0.025232502014078693	False	0.018126520681265208	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P16433	P16433		hycG		1023550.0	951954.0	995171.0	1045020.0	1152990.0	1013980.0	0	0.14971812604392695	0.12162381550131184	False	0.018156934306569342	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AF90	P0AF90		rraB		6841180.0	7220590.0	7122260.0	6650010.0	6374780.0	6679180.0	0	0.14995433463356636	-0.08160275247258822	False	0.01818734793187348	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A6F3	P0A6F3		glpK		4627400.0	4734740.0	4642920.0	4662750.0	4537690.0	4700660.0	0	0.14997433013069963	-0.025899368368232607	False	0.01821776155717762	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P07004	P07004		proA		5630880.0	5505350.0	5612590.0	5634820.0	5688270.0	5369980.0	0	0.15003216849264728	0.040213729363228264	False	0.01824817518248175	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0ADU2	P0ADU2		ygiN		6113780.0	6310120.0	6121540.0	5889160.0	6174620.0	6503490.0	0	0.15025972471373797	-0.058908292473610104	False	0.01827858880778589	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AED0	P0AED0		uspA		10962700.0	10992100.0	11669400.0	10539700.0	10542900.0	10931200.0	0	0.150279934912298	-0.06803498021044546	False	0.018309002433090023	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P22523	P22523		mukB		4221010.0	4130330.0	4144530.0	4174670.0	4159040.0	4016130.0	0	0.1503085870694597	0.030628728580963476	False	0.018339416058394162	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P14900	P14900		murD		3906140.0	3913020.0	3921650.0	3857260.0	3803270.0	3931750.0	0	0.15031230738492965	-0.024701861148269465	False	0.0183698296836983	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P75780	P75780		fiu		17677400.0	16312200.0	15392000.0	16746800.0	18242600.0	17251600.0	0	0.15120568791791922	0.10541401283856551	False	0.01840024330900243	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P39384	P39384		yjiM		1336820.0	1280380.0	1209210.0	1263900.0	1340080.0	1272930.0	0	0.15226916685715114	0.06678928228670558	False	0.01843065693430657	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
