protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	9966841.53965024	9697368.57643439	9541338.988547333	44859862.85045258	45326176.71771939	44953441.60596417	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	6.644670675675665e-09	-2.2101348066607227	True	3.0450669914738125e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	30626833.232890487	28671813.83672612	30253274.089668177	129033165.82369632	130975256.45137656	129039338.8080779	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	3.957841164936958e-08	-2.1191509893625744	True	6.090133982947625e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	25630581.163820457	25533180.43814535	23956757.33482578	108599219.66572362	109390412.16389154	107636193.48797336	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	4.0043628188156205e-08	-2.115936189632599	True	9.135200974421439e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	19341336.611515727	20129738.88911195	20769501.02125542	90512004.38411614	91072664.63908248	90021370.46716662	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	5.9377969727021505e-08	-2.1727080777681627	True	0.0001218026796589525	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	2354628.5189410886	2428272.319385375	2265783.4993748744	7815044.473133082	7720665.2690229565	7858509.201093409	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	1.3307703625811155e-07	-1.7307261590842797	True	0.0001522533495736906	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	8665528.124263372	9621680.299488109	9437424.727310948	42156545.08659112	41332646.97849604	41562368.4796376	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	1.720209947674662e-07	-2.17328278526357	True	0.00018270401948842878	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	15501643.533698138	16902145.296644084	16422552.48847676	60085624.37280849	59881435.653048925	61172430.03938843	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	1.732893625398309e-07	-1.891369518936998	True	0.0002131546894031669	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	11046591.394090028	9710119.57168634	10496825.45291001	48777489.0765391	49833908.64157196	48525760.61330969	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			0	2.638340868155841e-07	-2.235070285076711	True	0.000243605359317905	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	9979110.10277594	9265235.72626964	9013346.700837389	38266828.604804575	37988803.38731663	38770353.7185414	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	3.07844565365017e-07	-2.02524425178668	True	0.0002740560292326431	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	91110332.53341313	89517578.84285343	88931720.10609545	385134784.6996079	389215745.5936226	388872324.2071812	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	3.462217065176714e-07	-2.109451156376734	True	0.0003045066991473812	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	18739032.58518278	16727793.227330385	16374918.388966763	78968708.04737878	80821390.1164305	78258127.79875931	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	5.198694022601235e-07	-2.199067714115705	True	0.0003349573690621194	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	78588392.72386691	75666878.91346581	77955729.42777884	340417263.9698649	345934765.77866143	341555811.4658097	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	7.101051718412335e-07	-2.1462026960675007	True	0.00036540803897685756	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	15069022.322895234	14844241.82653666	14196724.786435708	64224377.97704747	65585429.8486543	65749328.49101092	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	2.1435412352149076e-06	-2.1484276351661147	True	0.0003958587088915956	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	31447399.695097364	28524130.385561157	27979757.911132995	127224855.16129328	129362738.25613582	132512026.1143475	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	2.4695366236179904e-06	-2.1453629592855203	True	0.0004263093788063338	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	10027614.35036636	8905027.064187244	8990302.32725994	31978207.70543276	32426429.73422573	32826561.805407416	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			0	3.085522006812254e-06	-1.7999682717139258	True	0.00045676004872107184	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	15979791.166283771	16451646.619086558	15509134.384981863	71221141.67127849	70331651.14322458	72299682.08896703	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	5.221572206006621e-06	-2.157296870788448	True	0.00048721071863581	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	8564839.6790973	10180066.65715398	10590458.496750942	41424640.84495896	41627252.02733776	39383682.66222669	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	6.315672781562744e-06	-2.0613099766240564	True	0.0005176613885505482	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	27261119.2740242	28152306.98799956	27485041.53363778	115101442.40156785	117670334.43790863	116130082.10946262	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	1.0629645495810452e-05	-2.073403942343661	True	0.0005481120584652862	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	17568630.55390875	16810416.39480074	16155424.743519967	60054210.41086082	60205834.07507489	62378533.15799055	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	1.2339188435349113e-05	-1.8536517774161787	True	0.0005785627283800244	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	16444958.548111567	14179974.329764543	14616970.739283413	65837946.87345584	67338271.51294777	69637603.21757516	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	1.235910668310666e-05	-2.164424435080678	True	0.0006090133982947625	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	36958746.15182728	39539819.65729642	39624679.22151495	190070435.7937393	192721251.3108244	196896334.8256793	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	1.4359701111947342e-05	-2.3196198822341616	True	0.0006394640682095006	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	6426448.905752877	8497972.748688167	7116775.155412207	28694600.73608627	27936609.624225955	26802647.5043098	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)			0	1.6747995549356895e-05	-1.920430392543585	True	0.0006699147381242388	True	True	Human	True	False	False	True	umpire	directlfq	min	1.160964047443681
