protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7S3	159786621.6815606	178644657.96852478	168470942.19581136	173494247.99089822	168659426.31596217	172833973.42269364	P0A7S3	P0A7S3		rpsL	0	0.6750810781104839	-0.02283034131347002	False	0.04087568891610533	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABF6	35823382.995703444	35223994.68847038	35693462.19421513	35870118.508813374	36385108.57304957	35072241.56814161	P0ABF6	P0ABF6		cdd	0	0.6767802347538023	-0.00790708857401367	False	0.04090630740967544	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
Q46835	1148074.425865006	1211374.5000000014	935052.0471415787	1067896.9409171073	1115914.154189531	1245179.7154623396	Q46835	Q46835		yghG	0	0.6779709894238896	-0.05772408511383118	False	0.04093692590324557	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P69913	17468827.69303537	16451608.44300394	15624488.33085215	16192837.774026742	15950568.165469358	16607380.21191662	P69913	P69913		csrA	0	0.6779742781737057	0.023311787064542885	False	0.04096754439681568	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P76116	16117189.849945886	16787251.44487439	16446974.65414107	16530020.030675486	15838287.238290498	16571421.205270875	P76116	P76116		yncE	0	0.6784568936483182	0.012085380730572977	False	0.0409981628903858	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AE85	1316916.6563365844	1304548.427110076	1059476.3693682794	999734.5510628624	1237101.8822156694	1282528.6331480786	P0AE85	P0AE85		cpxP	0	0.6800513004065567	0.06475962942147992	False	0.04102878138395591	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
Q93K97	78015964.0340864	72829981.91219226	79570329.24220614	79217764.95634091	75708345.4208146	78630766.6617735	Q93K97	Q93K97		nudF	0	0.6805529098979255	-0.019531302167870718	False	0.04105939987752603	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P45469	1017625.0723448424	941614.250000001	1008278.5773948312	1066177.1122731369	1035784.4378789838	930096.0790482193	P45469	P45469		yraR	0	0.6806000612851866	-0.031040442471485304	False	0.041090018371096146	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AAR3	5275379.271545882	5425544.814658316	5359625.988625268	4867993.072927092	5224390.930604612	5645015.385695772	P0AAR3	P0AAR3		ybaK	0	0.6811843357303105	0.029324151415765592	False	0.041120636864666264	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P77433	5628576.627130289	5983379.942246528	5659448.285381494	6035548.05721725	5610928.102956921	5844827.244012874	P77433	P77433		ykgG	0	0.6838560888133438	-0.01825236261723218	False	0.041151255358236376	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AFX9	7417153.484915559	7015606.142698877	7691495.365892565	7822492.561710705	7002117.493570831	7728852.435442173	P0AFX9	P0AFX9		rseB	0	0.6842606188390161	-0.027720063276116116	False	0.041181873851806494	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABZ4	13318416.974290064	13066086.248077111	14192191.926264184	13138168.780123468	14124796.486920554	13908701.583006904	P0ABZ4	P0ABZ4		kdsC	0	0.6850984800659885	-0.02100049122905567	False	0.041212492345376606	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P27434	40133089.81817535	41141782.3717434	42613871.615233935	41584010.37989621	41925062.123387605	41403019.488118336	P27434	P27434		rodZ	0	0.6853618096493664	-0.011868028292154782	False	0.04124311083894673	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P04805	130469021.6942841	132558783.69710222	130592372.4549751	130669119.26946652	132618623.66073813	131485494.11941382	P04805	P04805		gltX	0	0.6861374563258601	-0.004220009830278956	False	0.04127372933251684	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A8P3	43479326.73488755	42894132.921952285	41962656.00215409	42017261.34138928	45191669.52433957	42567678.22624173	P0A8P3	P0A8P3		yggX	0	0.6874093920957558	-0.016103152686223792	False	0.04130434782608696	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AG99	9300235.74562132	9542774.335531954	9351187.211207204	9673973.621632928	9415056.253854116	9284186.47077535	P0AG99	P0AG99		secG	0	0.6876705539195647	-0.00913143263592337	False	0.04133496631965707	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P25539	14654145.16618619	14649640.171914827	14134224.94334209	14431742.37263642	13866386.704593347	14736733.549879152	P25539	P25539		ribD	0	0.6879367982334383	0.013452157099959786	False	0.04136558481322719	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P69428	29626537.200347945	26656254.85246961	28151454.040223517	30545615.517703045	29278543.15530133	26493263.75195765	P69428	P69428		tatA	0	0.6939343509899788	-0.0318235170385593	False	0.04139620330679731	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AA91	2166554.399493013	2504277.065064213	2406895.246299746	2388453.185164443	2354155.8219810342	2182796.32077587	P0AA91	P0AA91		yeaY	0	0.6949128572548211	0.03138754546104333	False	0.04142682180036743	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADI4	683690.5944771236	623758.1250000001	676817.1866024312	791711.7503144246	693122.4637726278	583158.3316804483	P0ADI4	P0ADI4		entB	0	0.6953055126201914	-0.059625615040830644	False	0.04145744029393754	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P46889	845119.8328750223	957657.2499999992	981470.1566422186	972451.6470337174	935960.0143740674	933995.0525065812	P46889	P46889		ftsK	0	0.695924388217718	-0.02982567416135308	False	0.04148805878750766	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P77774	53283234.15596795	53009270.87635994	51683491.19157544	52770098.09857784	52161470.1019697	52353511.71600242	P77774	P77774		bamB	0	0.6960434859010989	0.006323540719545714	False	0.04151867728107777	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A968	1451108.8471553028	1617964.9696051995	1581599.353530735	1528585.512994719	1549161.110074173	1503340.8857376913	P0A968	P0A968		cspD	0	0.6964338395009199	0.021749435143323916	False	0.041549295774647894	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P06709	1984522.0488414443	1858487.8721158167	1805533.1034091297	2081092.2531400404	1793788.0872012817	1898531.6437152456	P06709	P06709		birA	0	0.7004024038762549	-0.03154538888849872	False	0.041579914268218006	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6E9	12650794.259169498	12976816.528016832	14039267.671111863	12614541.618915796	13727357.31803602	14075024.769444352	P0A6E9	P0A6E9		bioD2	0	0.7020712360781671	-0.0270246459720401	False	0.041610532761788124	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A7B1	7656999.145124404	7142523.925856063	7433168.002466659	7436911.788734212	7340266.458701265	7252045.915911026	P0A7B1	P0A7B1		ppk	0	0.70227407116575	0.013263898242078758	False	0.041641151255358236	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ACU7	4845576.347804868	5135333.53447138	5116112.887737455	4936892.311009727	4975928.483921631	5056818.128861343	P0ACU7	P0ACU7		yjdC	0	0.704214262261535	0.012224645668583254	False	0.041671769748928354	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A955	87708910.18756732	92767009.30375296	86058592.65473814	86200655.14490266	88160872.04332596	89387978.57104391	P0A955	P0A955		eda	0	0.7058717054703885	0.01515396168666607	False	0.04170238824249847	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P22188	22963488.48784924	23133730.82845014	22253335.00987387	23692507.19961805	22826489.98638741	22399698.952999525	P22188	P22188		murE	0	0.7075118475182343	-0.011942369518304878	False	0.04173300673606859	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P00963	80557588.48397556	81236669.41878009	81131533.7921465	80223082.44345161	81882704.4077111	80033911.91198467	P00963	P00963		asnA	0	0.7078776246064316	0.0046760422642293685	False	0.0417636252296387	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6L2	125055845.36598408	130864054.58913808	122900363.51175058	125472771.98377629	127303262.62547132	122693157.14836852	P0A6L2	P0A6L2		dapA	0	0.7086078288089541	0.012818968397113833	False	0.04179424372320882	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AGG0	5976135.690083439	4940274.429707925	5059259.443754237	5288029.345114386	5254769.562014988	5002255.087750379	P0AGG0	P0AGG0		thiL	0	0.7086963109675246	0.03942077007814905	False	0.04182486221677893	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADA3	16296851.838337302	15457639.310014766	15400036.044209773	15311284.124370482	15371288.583431035	16027063.04844796	P0ADA3	P0ADA3		nlpD	0	0.7097286460798193	0.01367609224131988	False	0.04185548071034906	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABE2	6210520.849365067	5174366.252375754	4841197.9721318	5345566.589899749	5607850.849914943	5816068.96458005	P0ABE2	P0ABE2		bolA	0	0.7105669460254354	-0.04752354682530214	False	0.04188609920391917	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P36879	2663612.8549951334	2296546.8748229705	2428016.673898079	2498077.619407065	2503935.5116095496	2215484.743585177	P36879	P36879		yadG	0	0.7122649800547824	0.03371953560595917	False	0.04191671769748929	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ADG4	72702439.48480003	71981641.29201831	74475349.75418551	74418576.37078503	71645399.73286287	71690270.63940792	P0ADG4	P0ADG4		suhB	0	0.7122769008805558	0.009279904830848056	False	0.0419473361910594	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P23893	84773161.76105501	85117631.13308968	85509098.06415743	82923184.06973955	86664307.68024366	87654022.33472514	P23893	P23893		hemL	0	0.7128187389040155	-0.010365577010088984	False	0.04197795468462952	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P39451	3919453.373786898	3241094.0804615943	3195393.40687356	3598739.326123608	3367437.444796869	3696690.265400225	P39451	P39451		adhP	0	0.7167271692947985	-0.04213677104061746	False	0.042008573178199636	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P24193	8794828.081724504	8391025.616656339	9115578.717723316	8781340.670735732	8094817.767784809	9019107.320768474	P24193	P24193		hypE	0	0.7180366261167559	0.02245300831750609	False	0.042039191671769754	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A8A4	5436409.735253726	4929220.166110353	5340925.080246478	5377753.110888811	5132924.045105415	4967324.448296893	P0A8A4	P0A8A4		ppsR	0	0.7186083309212556	0.021147565603056206	False	0.042069810165339866	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A734	65065924.81000001	63005638.00205565	63152491.81270997	64147445.98861919	64223353.31470271	61595351.87704527	P0A734	P0A734		minE	0	0.7210774602746686	0.009521638389034266	False	0.042100428658909984	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AEZ9	31559687.44833013	29299399.125895333	30339289.960987262	30604392.42435575	30569139.12587548	30832108.0728289	P0AEZ9	P0AEZ9		moaB	0	0.7212686102194513	-0.012714153494689339	False	0.042131047152480096	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AB26	7009812.220989689	6383393.814024988	6641106.425147456	6985093.697131409	6472303.090089484	6251091.75938088	P0AB26	P0AB26		yceB	0	0.7215983268719915	0.0236558603918952	False	0.04216166564605022	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P18133	4166907.3310851967	4206351.929179741	4059731.1471837177	4205100.961499438	4159677.6435296414	4126009.951847574	P18133	P18133		pncB	0	0.7226244984710557	-0.006691220713097726	False	0.04219228413962033	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P69503	69421394.74976027	64315087.34659237	68054746.64595528	66806413.76670761	67887345.98048833	69051736.70339194	P69503	P69503		apt	0	0.7233702773094957	-0.0139047044620023	False	0.04222290263319045	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P33355	6793279.345782223	5282682.894895058	6251371.1702203695	6608956.235951039	6415142.60727026	5879231.77469696	P33355	P33355		yehS	0	0.7234845557661508	-0.04464355633900149	False	0.04225352112676056	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AF20	3584602.628229214	3753642.772916681	3628412.417004544	3676200.1589004896	3756174.6622756417	3391713.737749772	P0AF20	P0AF20		nagC	0	0.723807601131357	0.01887837108818844	False	0.04228413962033068	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P14175	1793546.9719253285	1756918.969139513	1843886.4676731944	1590864.818286796	1736408.9618642896	1941467.921863241	P14175	P14175		proV	0	0.7242931793146868	0.03399132087883144	False	0.0423147581139008	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P12295	12968199.016393468	12109214.595003355	12023732.073772777	12109134.11879281	11874634.68173994	12679272.609612815	P12295	P12295		ung	0	0.7245243639305727	0.017137267333283385	False	0.04234537660747092	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AA43	14898048.66651364	14773042.490512418	16116670.123523803	15322306.670464491	16559819.896507235	14693714.132304234	P0AA43	P0AA43		rsuA	0	0.7260124345354872	-0.024619781746930185	False	0.04237599510104103	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P02918	973656.4492245506	1026644.125	1067453.6885221773	1090001.9348490466	934801.1935408972	982176.233089143	P02918	P02918		mrcA	0	0.7276390536678368	0.028867956877421826	False	0.04240661359461115	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
Q46829	62253672.84680532	64515652.73669995	64654132.34360287	63769007.777514	64665007.1186144	63951565.90080719	Q46829	Q46829		bglA	0	0.728221704869281	-0.007233038623146774	False	0.04243723208818126	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AD44	466501.9851368055	586360.8124999999	107370.99860841788	532086.470179325	366243.2358913285	438478.0675410867	P0AD44	P0AD44		yfhG	1	0.7293351626095772	-0.204376478830809	False	0.042467850581751385	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AFD6	28409946.2175407	27859915.80574008	29702617.475241367	28169313.004477125	29270926.64614372	27739483.45554555	P0AFD6	P0AFD6		nuoI	0	0.7297494598386688	0.013364874979377245	False	0.042498469075321496	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P36566	433783.2536030325	519856.4061999997	424140.3077292208	442030.1892077462	493955.2333330776	480082.268653842	P36566	P36566		smtA	0	0.7337004647370929	-0.039544724125341026	False	0.042529087568891615	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P24228	3406835.8330986747	3348525.519124992	3742177.5520767146	3539312.1885735905	3804362.95297412	3350392.85477682	P24228	P24228		dacB	0	0.7343335312963091	-0.02675962012896184	False	0.042559706062461726	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AEV9	583519.8317647349	431182.0311999998	465348.5565928144	494485.54738272814	375105.5054814786	741137.9383017705	P0AEV9	P0AEV9		hycI	0	0.7373538121457155	-0.12206745402829364	False	0.042590324556031844	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P15042	48451110.88718036	49080946.67552977	48452852.78381893	47811546.3357751	47542100.249444775	49799765.97830954	P15042	P15042		ligA	0	0.7399236597593251	0.008240763206455344	False	0.04262094304960196	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ACJ8	104441674.55989294	104038900.2916311	105908871.01430029	105686959.24670884	106104004.06142728	100486984.51409727	P0ACJ8	P0ACJ8		crp	0	0.7405923577835907	0.009722092819959779	False	0.04265156154317208	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AEI6	9483492.684203144	9125578.066806696	9647650.794317435	9859043.368862431	9476835.720642988	9183418.658144	P0AEI6	P0AEI6		nudJ	0	0.743886378133227	-0.013344369347461587	False	0.04268218003674219	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P69330	18550412.39880108	15766999.939367158	16298703.63437236	16424737.80423516	16243067.892350858	16976731.29857052	P69330	P69330		citD	0	0.744752002358165	0.027961837658887892	False	0.04271279853031231	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P06710	3399600.0750155984	3466654.799111936	3394810.7976383567	3393268.0406405483	3242873.549107056	3533078.2512903376	P06710	P06710		dnaX	0	0.7543842384483954	0.012971567832323382	False	0.04274341702388242	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P24252	1702237.5848478822	1655061.3749999993	1688295.642479048	1667988.1505142394	1754582.463703142	1562360.9515604256	P24252	P24252		ybgA	0	0.7545549037529731	0.017450595828258402	False	0.04277403551745255	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6Z1	31489743.33992558	30121630.64603859	32328439.736856747	31654623.91171877	30810629.753200434	32252847.174327277	P0A6Z1	P0A6Z1		hscA	0	0.7548879264771071	-0.011903421445972567	False	0.04280465401102266	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6K1	617160.949243738	616520.0000000003	637437.8517536469	661888.6535848019	560432.6456948514	617047.0124316541	P0A6K1	P0A6K1		dapF	0	0.7561120045424994	0.02469076975545663	False	0.04283527250459278	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P08190	3118779.203448931	3148575.1949272347	3174921.9809919377	3196915.7414149074	2906728.948576122	3229432.49352817	P08190	P08190		fimG	0	0.7580246102005102	0.016781885273854207	False	0.04286589099816289	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P00864	157828909.44908482	155760904.43917057	152975090.98900288	157571799.207395	154381054.83310413	156276519.7880993	P00864	P00864		ppc	0	0.7607627692564658	-0.005137651554496045	False	0.04289650949173301	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AES0	11001398.228265723	9846040.169002498	9961557.159954932	10696844.115485435	9476495.662068613	10139940.5188399	P0AES0	P0AES0		gsp	0	0.7618881533640599	0.023401668845106863	False	0.042927127985303126	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AFY8	47851743.06682287	52993298.89832592	50035860.33912489	50884789.62160812	51087183.826329455	50462523.68066687	P0AFY8	P0AFY8		seqA	0	0.7621471706699756	-0.014779224227233531	False	0.042957746478873245	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0C0V0	52324234.263715394	55384885.619080745	55178058.515099	54036685.891985245	53389775.67362242	54417567.77233242	P0C0V0	P0C0V0		degP	0	0.7637847863682226	0.009268903736275688	False	0.042988364972443356	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P63389	5164389.968292984	5251270.854110576	4807931.6765332585	5564877.368078314	5017318.895357191	4883115.940211555	P63389	P63389		yheS	0	0.764743729000247	-0.022727108343320236	False	0.043018983466013475	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P02919	7460537.789917385	7046197.65623082	6602272.542573788	7597080.290134996	7330998.094277508	6561856.058820584	P02919	P02919		mrcB	0	0.7659417530532591	-0.02580230044309605	False	0.043049601959583586	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P00350	231126935.7082346	249785457.40832672	242135060.38194343	238575100.71285683	242823393.8779343	236012639.21052825	P00350	P00350		gnd	0	0.7696773352143946	0.011290198895213682	False	0.04308022045315371	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ACF4	110646143.9200156	107665686.07918392	112377959.54290584	109536028.24323502	112888790.85496032	109901308.91584036	P0ACF4	P0ACF4		hupB	0	0.7703176773099816	-0.007121223274942315	False	0.04311083894672382	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P09323	701380.0501354159	753288.6249999994	593497.5378397974	673452.5527691502	623031.166692615	701583.8460516101	P09323	P09323		nagE	0	0.7713920282276824	0.035727428503014955	False	0.04314145744029394	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A8J4	28240099.194966458	24696732.135695387	25043362.367792223	25940163.96997861	25424609.73169707	25487912.377888154	P0A8J4	P0A8J4		ybeD	0	0.7717504332634195	0.02101205385741911	False	0.04317207593386405	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P21888	77880194.12806177	76868135.805574	77642111.71240702	77056859.61484592	77080461.53882566	78903023.79423963	P21888	P21888		cysS	0	0.7724721279800344	-0.004029011002502192	False	0.04320269442743417	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P03004	8363351.291871721	7923932.202153847	8168513.532902761	8527639.004616382	7934906.989341633	8192403.475144512	P03004	P03004		dnaA	0	0.7726817928345813	-0.011700812393858265	False	0.04323331292100429	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
