Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				5393050.0	10231200.0	10290800.0	5550250.0	5438820.0	10340200.0	0	5.911506985525868e-07	0.9137188402011251	True	3.0284675953967296e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				2825490.0	5591380.0	5590940.0	2865910.0	2919560.0	5700670.0	0	1.1096830025631815e-06	0.9713244381333114	True	6.056935190793459e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				2564700.0	4380220.0	4452550.0	2433970.0	2475760.0	4296400.0	0	7.347349960861898e-06	0.8127402461035266	True	9.08540278619019e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				2968290.0	5557500.0	5725200.0	2996540.0	2899750.0	5741370.0	0	4.01610168901824e-05	0.9414518044904386	False	0.00012113870381586918	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				2793130.0	5833110.0	5607420.0	2891400.0	2578200.0	5461650.0	0	4.208012009720597e-05	1.0325189027143182	False	0.00015142337976983646	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2872290.0	5454030.0	5712870.0	3001210.0	2750740.0	5405110.0	0	4.3230448224445804e-05	0.942279364134266	False	0.0001817080557238038	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P52613	P52613		fliJ		128690.0	719250.0	703536.0	91339.4	103287.0	711958.0	3	4.765327245114718e-05	2.7230444770785383	False	0.00021199273167777106	True	True	Ecoli	False	True	False	True	umpire	manual	min	0.5
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				1024790.0	2211100.0	2291630.0	1135640.0	983285.0	2172380.0	0	5.371436381120836e-05	1.0863211783388564	False	0.00024227740763173837	True	True	Human	True	False	False	True	umpire	manual	min	0.5
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				864499.0	1702370.0	1666280.0	942685.0	918761.0	1704430.0	0	7.135755295922711e-05	0.8961054573305695	False	0.00027256208358570564	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				755423.0	1385090.0	1487840.0	745801.0	661426.0	1405850.0	0	8.454463083600768e-05	0.9843993018911483	False	0.0003028467595396729	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				952467.0	2210960.0	2236450.0	1020580.0	993304.0	2112810.0	0	9.269853448514316e-05	1.1450548791435813	False	0.00033313143549364025	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				1269080.0	2787340.0	2744070.0	1387610.0	1346940.0	2745040.0	0	0.00010505204404357507	1.0477034362622173	False	0.0003634161114476076	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				1257810.0	2824140.0	2630580.0	1376660.0	1339610.0	2721810.0	0	0.00010572721043922652	1.0408677993536202	False	0.0003937007874015748	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				841888.0	1613740.0	1633960.0	902423.0	909388.0	1600490.0	0	0.00012481778317427215	0.8694414989444302	False	0.00042398546335554213	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				1527560.0	2911270.0	3009320.0	1284910.0	1501700.0	3117100.0	0	0.00012882274530504406	1.0668710452026642	False	0.0004542701393095094	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				3160730.0	5745760.0	5500400.0	2810330.0	3204140.0	5376360.0	0	0.00012946399036255994	0.8573276023916973	False	0.00048455481526347673	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				2010080.0	3744640.0	3870430.0	1957030.0	1988810.0	3741380.0	0	0.0001363447756360568	0.9311156413205377	False	0.000514839491217444	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2107990.0	4735310.0	4715210.0	2252930.0	2254060.0	5006970.0	0	0.0001479136118179254	1.1280084045138907	False	0.0005451241671714113	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1379380.0	2377830.0	2525830.0	1264940.0	1170730.0	2612260.0	0	0.00019060796520218846	0.9782477455607954	False	0.0005754088431253786	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				2220910.0	4339830.0	4310250.0	2334220.0	2174670.0	4630430.0	0	0.00043315493171442436	0.9806750145664372	False	0.0006056935190793458	True	True	Human	True	False	False	True	umpire	manual	min	0.5
P60752	P60752		msbA		4012860.0	3535690.0	3622990.0	3972780.0	3972620.0	3584670.0	0	0.0007095713717351667	-0.15456355805189345	False	0.0006359781950333132	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.5
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1383270.0	2671970.0	2713750.0	1365220.0	1436170.0	2524160.0	0	0.0007127165991157037	0.9185453980666612	False	0.0006662628709872805	False	True	Human	True	False	False	False	umpire	manual	min	0.5
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2949240.0	6150100.0	5668020.0	3257070.0	3051670.0	6258860.0	0	0.000798368652749681	0.965384325390066	False	0.0006965475469412478	False	True	Human	True	False	False	False	umpire	manual	min	0.5
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				2299930.0	4491820.0	4063620.0	2226960.0	2439940.0	4330520.0	0	0.0008488418466373004	0.8872257563926028	False	0.0007268322228952152	False	True	Human	True	False	False	False	umpire	manual	min	0.5
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				2059090.0	3799460.0	3837880.0	2275930.0	2162660.0	3843370.0	0	0.0009021863098631814	0.8212152649839625	False	0.0007571168988491823	False	True	Human	True	False	False	False	umpire	manual	min	0.5
P77286	P77286		ydeU		18720500.0	96075.5	45664.4	16765000.0	18127000.0	115201.0	3	0.0010440098845089832	-7.704989043092036	False	0.0007874015748031496	False	True	Ecoli	False	True	False	False	umpire	manual	min	0.5
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				474816.0	876869.0	792298.0	492067.0	555611.0	798526.0	0	0.0010545473937536578	0.6967263806624551	False	0.000817686250757117	False	True	Human	True	False	False	False	umpire	manual	min	0.5
