Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5867370.0	5880970.0	78080.6	5830350.0	88034.9	52556.2	3	4.5339794317422085e-09	-6.3289172295544285	True	3.0066145520144318e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				5754900.0	5734500.0	78080.6	5787130.0	88034.9	52556.2	3	5.601918707127515e-09	-6.303903148209028	True	6.0132291040288637e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4916740.0	4858180.0	78080.6	4886110.0	88034.9	52556.2	3	3.1250547095073676e-08	-6.067076130181089	True	9.019843656043297e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1068310.0	1054760.0	78080.6	1087860.0	88034.9	52556.2	3	2.818244197395345e-07	-3.876152786649762	True	0.00012026458208057727	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				11937300.0	11605000.0	477127.0	11827500.0	88034.9	52556.2	2	8.468170035488807e-07	-5.839425646774578	True	0.0001503307276007216	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				4488640.0	4414900.0	78080.6	4480950.0	88034.9	52556.2	3	1.1135474588365744e-06	-5.9356518355131636	True	0.00018039687312086593	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				5329860.0	5231240.0	78080.6	5250630.0	88034.9	52556.2	3	4.580736446102303e-06	-6.176084892778494	True	0.00021046301864101024	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				3534810.0	3679320.0	1030070.0	3659750.0	947817.0	947639.0	0	7.285069286854582e-06	-1.8940988673262535	True	0.00024052916416115455	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				9838440.0	9280610.0	950770.0	9960280.0	88034.9	759490.0	1	1.652925019465438e-05	-4.015292498323934	True	0.0002705953096812989	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P69908	P69908		gadA		3380300.0	3443050.0	4764690.0	3518140.0	4899880.0	4868970.0	0	1.6637174200433196e-05	0.49094208565530917	True	0.0003006614552014432	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
