Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P14900	0.756148763154321	-0.015445406620596458	0.12139275388862228	non_sig	murD		False	False	0.04155321782178218	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P37631	0.7573030167880221	0.022135702024733916	0.12073031311889507	non_sig	yhiN		False	False	0.041584158415841586	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0A6T5	0.7594263231067101	0.008054638523660174	0.11951435349348027	non_sig	folE		False	False	0.04161509900990099	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P06282	0.7601040814188472	-0.036633284429548496	0.11912693549425094	non_sig	cdh		False	False	0.04164603960396039	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P00350	0.7610891848156555	-0.002734004407077606	0.11856444940041971	non_sig	gnd		False	False	0.041676980198019804	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P64599	0.7626338393106851	-0.009469544040733524	0.11768392827838632	non_sig	yhbT		False	False	0.04170792079207921	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0A8A2	0.763258326828867	0.013175221814776705	0.11732844903244179	non_sig	yeeN		False	False	0.041738861386138616	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P33667	0.7633454155457527	0.024698538865372655	0.11727889832301967	non_sig	selU		False	False	0.04176980198019802	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P16433	0.7635461380061903	-0.01440688830109238	0.11716471515492048	non_sig	hycG		False	False	0.04180074257425742	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P37685	0.7635845952938263	-0.01654812180053966	0.11714284173249685	non_sig	aldB		False	False	0.041831683168316834	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0ACT6	0.7653832145523057	0.11704278160966197	0.11612106642200434	non_sig	uidR		False	False	0.04186262376237624	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
