Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A9P4	0.7503179987022137	-0.00598400188296111	0.12475463552598089	non_sig	trxB		False	False	0.04341859014348098	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P63883	0.7503690436525147	0.014999159545496354	0.12472509100453491	non_sig	amiC		False	False	0.04344978165938865	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0AA43	0.7511460483256354	0.00794259303768996	0.12427561317527627	non_sig	rsuA		False	False	0.04348097317529632	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P60340	0.7511631335250637	0.006818690595007837	0.12426573503844011	non_sig	truB		False	False	0.043512164691203996	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P05020	0.7515438457599355	0.008043818566061844	0.12404567719800323	non_sig	pyrC		False	False	0.043543356207111666	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P14175	0.7543641897014206	-0.012892845248948959	0.12241893610344386	non_sig	proV		False	False	0.043574547723019344	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0A8F4	0.7545510825990125	0.019154353271034097	0.12231135344981697	non_sig	udk		False	False	0.043605739238927015	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0ABX8	0.7545884055877219	0.011631792360311977	0.12228987211137898	non_sig	fliL		False	False	0.043636930754834685	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0AA39	0.7573419347241301	-0.021830774743719417	0.12070799522203667	non_sig	rluC		False	False	0.043668122270742356	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0A8H8	0.7575287408932948	-0.022732007926968834	0.12060088523546059	non_sig	yacG		False	False	0.043699313786650026	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0AD44	0.758849270647518	-0.016236317812005296	0.11984447894882451	non_sig	yfhG		False	False	0.04373050530255771	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P76578	0.7589415076083174	-0.043024561830129926	0.11979169433091025	non_sig	yfhM		False	False	0.04376169681846538	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0AF18	0.7591589967244884	0.012554080235553045	0.119667256820477	non_sig	nagA		False	False	0.04379288833437305	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P24228	0.7592900858556972	0.031033914851985145	0.11959227072167916	non_sig	dacB		False	False	0.04382407985028072	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P0ABB0	0.760097099443354	0.0031879822961116133	0.11913092474707834	non_sig	atpA		False	False	0.04385527136618839	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
P09148	0.7635227212871287	0.014923729946762165	0.11717803446506375	non_sig	galT		False	False	0.04388646288209608	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	mean	1.660964047443681
