protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	83490948.44929914	86363993.32175592	85052430.26743208	196970614.97645813	199482442.2542948	197792239.3704762	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	6.748569625697523e-08	-1.2210854820418695	True	3.0303030303030306e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	92781939.22802624	88621050.85487631	89484238.3514169	216336296.90966997	216348894.4711249	211510562.31737936	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	8.327371213566924e-07	-1.249806774878398	True	6.060606060606061e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	17647131.45090652	17022608.353324726	17673563.134786703	37773992.0257505	37568695.582313	36893662.35519298	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	8.807394642215195e-07	-1.1004631284290256	True	9.090909090909092e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	5545146.205841071	5097065.364678102	5227051.41541377	12753453.898072116	12404273.518291635	12632013.46782161	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	3.2602063954934837e-06	-1.2517594995587191	True	0.00012121212121212122	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	29400902.18154286	28077509.489581008	28723036.66872271	64792705.95142392	64048005.13299979	66123847.69632928	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	5.680922173741817e-06	-1.1774278760374877	True	0.00015151515151515152	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	20130364.476870306	21892538.363467537	21420958.420015547	46976136.3156628	46900050.06297098	45156412.86661556	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	6.735194400852661e-06	-1.1318707113688673	True	0.00018181818181818183	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	14409132.092425894	15852426.648661828	16046342.734462814	36959928.34560756	37433499.94442602	35715148.52768493	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	8.15877629517538e-06	-1.2495965654735173	True	0.00021212121212121215	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	84643058.56048131	77605098.85599732	80733452.63318518	187350707.92203927	183490790.85316905	183518031.8260964	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	9.63327545439558e-06	-1.1899748133221746	True	0.00024242424242424245	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	16494785.48539627	14868206.753154151	15825984.680495346	33486022.85238381	33936772.787286274	35028397.364749424	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	9.743908784273556e-06	-1.1184149855051324	True	0.00027272727272727274	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	11535896.689606683	10482355.077320086	10380348.947656166	23506649.62406564	24710585.348852143	23774289.605826996	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	1.4248712240972267e-05	-1.1518955659805894	True	0.00030303030303030303	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
