Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AFG0	P0AFG0		nusG		17465800.0	15384400.0	17574600.0	15205800.0	17342200.0	15137800.0	0	2.5687110528125867e-05	-0.19600984780259523	True	3.1525851197982345e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
P0A6P1	P0A6P1		tsf		193683000.0	180781000.0	193151000.0	180515000.0	191973000.0	179391000.0	0	5.319409635664726e-05	-0.09828870028027782	False	6.305170239596469e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
P05055	P05055		pnp		38172600.0	35777500.0	38045700.0	36063600.0	38406700.0	36047800.0	0	0.00010085515868876778	-0.08737529103990828	False	9.457755359394705e-05	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P45578	P45578		luxS		18009600.0	15284400.0	18361000.0	14760000.0	18538000.0	15079900.0	0	0.00011590821483356686	-0.28312757540648215	False	0.00012610340479192938	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ACL0	P0ACL0		glpR		2103300.0	2270220.0	2116460.0	2298330.0	2132850.0	2282220.0	0	0.00015046162558777666	0.10891669872378619	False	0.00015762925598991173	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P41409	P41409		rihA		745110.0	931920.0	711913.0	911529.0	718873.0	906143.0	0	0.0001711547631240123	0.337607956671233	False	0.0001891551071878941	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7T7	P0A7T7		rpsR		80875900.0	61722700.0	79152100.0	62054500.0	78673100.0	64582300.0	0	0.0001969470034047203	-0.3417164166451969	False	0.00022068095838587645	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A850	P0A850		tig		109415000.0	98850000.0	107819000.0	98293600.0	108181000.0	97901600.0	0	0.0002559187537095895	-0.14134476578673377	False	0.00025220680958385876	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AC92	P0AC92		gnsA		5921760.0	4975080.0	5775060.0	4977220.0	5870120.0	5045630.0	0	0.00035027499849529656	-0.22809951390611413	False	0.0002837326607818411	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P60438	P60438		rplC		291065000.0	252548000.0	297405000.0	260860000.0	291193000.0	255822000.0	0	0.00036350110157182383	-0.19353590237280355	False	0.00031525851197982345	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
