Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.30006e+06	6.07132e+06		6.13875e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.76529e+06	4.95688e+06	4.53652e+06	4.75311e+06	4.35842e+06	
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				8.04698e+06	7.58303e+06		8.13526e+06		
P00350	P00350		gnd		3.69823e+07	3.73046e+07	3.71023e+07	3.75213e+07	3.73664e+07	3.65409e+07
P00363	P00363		frdA		4.54944e+07	4.3195e+07	4.32328e+07	4.44398e+07	4.34658e+07	4.40108e+07
P00370	P00370		gdhA		2.56258e+06	2.4688e+06	2.47916e+06	2.49984e+06	2.42828e+06	2.47654e+06
P00393	P00393		ndh		5.55135e+06	5.6165e+06	5.39651e+06	5.56446e+06	5.45932e+06	5.24607e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.37409e+06	4.35484e+06		4.48046e+06		629153
P00448	P00448		sodA		3.72812e+06	3.51357e+06	3.38661e+06	3.69633e+06	3.48959e+06	3.47663e+06
P00452	P00452		nrdA		1.02607e+07	1.01424e+07	1.04452e+07	1.04437e+07	1.04036e+07	1.06838e+07
P00490	P00490		malP		5.21883e+06	5.20154e+06	5.45678e+06	5.1762e+06	5.41331e+06	5.35891e+06
P00509	P00509		aspC		1.87122e+07	1.85196e+07	1.86989e+07	1.87547e+07	1.88648e+07	1.88942e+07
P00547	P00547		thrB		1.15113e+06	1.13083e+06	1.02086e+06	1.09982e+06	1.07861e+06	1.01903e+06
P00550	P00550		mtlA		1.36092e+06	1.40542e+06	1.45595e+06	1.46351e+06	1.49184e+06	1.47837e+06
P00561	P00561		thrA		2.56717e+06	2.43097e+06	2.50908e+06	2.3981e+06	2.54327e+06	2.5686e+06
P00562	P00562		metL		3.34151e+06	3.35507e+06	3.33944e+06	3.28987e+06	3.29104e+06	3.41119e+06
P00579	P00579		rpoD		8.78692e+06	8.62039e+06	8.53528e+06	8.72592e+06	8.59708e+06	8.47648e+06
P00582	P00582		polA		3.64041e+06	3.6033e+06	3.75308e+06	3.7265e+06	3.64807e+06	3.62445e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				3.29913e+06	3.41613e+06	2.95464e+06	3.34792e+06		
P00803	P00803		lepB		5.1374e+06	4.89443e+06	5.20308e+06	5.4764e+06	5.25938e+06	5.11358e+06
P00805	P00805		ansB		1.98399e+07	1.99789e+07	2.0634e+07	1.95703e+07	2.01505e+07	1.99845e+07
P00811	P00811		ampC		1.0318e+06	980777	1.01874e+06	997845	998250	986762
P00861	P00861		lysA		721293	532886	708868	645845	455209	423716
P00864	P00864		ppc		1.25937e+07	1.23974e+07	1.22012e+07	1.23704e+07	1.20825e+07	1.22753e+07
P00887	P00887		aroH		1.61333e+06	1.73552e+06	1.65964e+06	1.66105e+06	1.69885e+06	1.61306e+06
P00888	P00888		aroF		2.41677e+06	2.30696e+06	2.4429e+06	2.39432e+06	2.41591e+06	2.3796e+06
