Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.30041e+06	4.13872e+06	4.12483e+06	2.45451e+06	2.80394e+06	3.83795e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.29539e+07	1.27742e+07	7.2756e+06		1.39198e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					1.6718e+07	1.64794e+07			1.66775e+07
P00350	P00350		gnd		3.87178e+07	3.88459e+07	3.8881e+07	3.88076e+07	3.90964e+07	3.85898e+07
P00363	P00363		frdA		4.746e+07	4.70524e+07	4.7486e+07	4.82827e+07	4.86093e+07	4.65768e+07
P00370	P00370		gdhA		2.02207e+06	2.1297e+06	2.05383e+06	2.07481e+06	2.21679e+06	1.98e+06
P00393	P00393		ndh		5.31751e+06	4.88646e+06	5.03929e+06	5.44264e+06	5.31129e+06	5.0336e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					6.42129e+06	6.29023e+06			6.19746e+06
P00448	P00448		sodA		3.27853e+06	3.28419e+06	3.35278e+06	3.42381e+06	3.14466e+06	3.25013e+06
P00452	P00452		nrdA		9.6152e+06	9.61789e+06	9.58247e+06	9.78321e+06	9.63929e+06	9.57876e+06
P00490	P00490		malP		5.39237e+06	5.40868e+06	5.28302e+06	5.28827e+06	5.23491e+06	5.24748e+06
P00509	P00509		aspC		1.74349e+07	1.6945e+07	1.71246e+07	1.70001e+07	1.73689e+07	1.7228e+07
P00547	P00547		thrB		731692	752859	646172	775715	727835	748136
P00550	P00550		mtlA		1.32059e+06	1.04283e+06	1.06502e+06	1.33896e+06	1.22338e+06	1.18096e+06
P00561	P00561		thrA		2.42224e+06	2.47903e+06	2.41314e+06	2.50118e+06	2.26397e+06	2.33656e+06
P00562	P00562		metL		2.32988e+06	2.40525e+06	2.4349e+06	2.19817e+06	2.41184e+06	2.39673e+06
P00579	P00579		rpoD		7.90825e+06	8.16969e+06	7.88035e+06	7.71105e+06	7.98e+06	8.25523e+06
P00582	P00582		polA		3.82178e+06	3.66833e+06	3.8391e+06	3.83054e+06	3.76407e+06	3.68252e+06
