Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P00957	P00957		alaS		1.65285e+07	1.63417e+07	1.62642e+07	1.65853e+07	1.66658e+07	1.63977e+07
P00959	P00959		metG		1.85245e+07	1.84919e+07	1.88344e+07	1.88548e+07	1.84776e+07	1.86518e+07
P00960	P00960		glyQ		4.89278e+06	4.88219e+06	4.63878e+06	4.8483e+06	4.88812e+06	4.73254e+06
P00961	P00961		glyS		1.16093e+07	1.1924e+07	1.20752e+07	1.19641e+07	1.18232e+07	1.16458e+07
P00962	P00962		glnS		1.00906e+07	1.05786e+07	1.04185e+07	1.04213e+07	1.0344e+07	1.02139e+07
P00963	P00963		asnA		1.36068e+07	1.49869e+07	1.48739e+07	1.50208e+07	1.39468e+07	1.29022e+07
P00968	P00968		carB		4.25868e+06	4.25039e+06	4.2042e+06	4.26804e+06	4.29046e+06	4.2493e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)					506405	471918	473683	68140.5	
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				143971	1.59294e+06	1.48733e+06	1.4205e+06		158832
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)					1.00508e+06	1.04038e+06	1.0876e+06		
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				131826	1.78563e+06	1.7336e+06	1.80533e+06	146861	128774
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)					452588	522641	502494		
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)					1.10436e+06	967178	1.02612e+06		
P02358	P02358		rpsF		1.12523e+08	1.10651e+08	1.12405e+08	1.12985e+08	1.13465e+08	1.10413e+08
P02359	P02359		rpsG		1.09194e+08	1.10747e+08	1.10099e+08	1.09741e+08	1.09735e+08	1.09836e+08
P02413	P02413		rplO		1.48225e+08	1.46862e+08	1.46727e+08	1.46546e+08	1.48609e+08	1.48632e+08
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.01769e+06	9.41014e+06	9.95078e+06	9.85129e+06	4.5744e+06	1.78139e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)					1.52462e+06	1.50011e+06	1.54193e+06		
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				395362	1.20068e+06	1.23838e+06	1.23718e+06		
P02918	P02918		mrcA		1.10788e+06	976624	1.1014e+06	1.12807e+06	962128	1.02627e+06
P02919	P02919		mrcB		1.74212e+06	1.7452e+06	1.79244e+06	1.77249e+06	1.62206e+06	1.7337e+06
P02925	P02925		rbsB		9.20197e+06	9.22464e+06	9.10101e+06	9.2104e+06	9.17613e+06	8.93713e+06
P02930	P02930		tolC		2.49675e+07	2.48985e+07	2.39217e+07	2.47649e+07	2.53467e+07	2.46747e+07
P02931	P02931		ompF		3.83475e+07	3.67004e+07	3.72816e+07	3.75654e+07	3.85739e+07	3.72981e+07
P02942	P02942		tsr		1.38665e+07	1.34607e+07	1.40249e+07	1.35774e+07	1.36357e+07	1.36712e+07
P02943	P02943		lamB		1.55344e+06	1.72966e+06	1.73066e+06	1.69626e+06	1.6293e+06	1.53469e+06
P03004	P03004		dnaA		2.31174e+06	2.32745e+06	2.33254e+06	2.24764e+06	2.39809e+06	2.30817e+06
P03018	P03018		uvrD		4.04367e+06	3.97794e+06	4.05197e+06	4.03856e+06	3.97125e+06	3.92807e+06
P03817	P03817		mioC		9.50966e+06	9.59346e+06	9.58547e+06	9.52842e+06	9.36135e+06	9.30984e+06
P03841	P03841		malM		1.03083e+07	1.02017e+07	1.02594e+07	1.04147e+07	1.01938e+07	1.00978e+07
P04036	P04036		dapB		4.95102e+06	4.90918e+06	4.9867e+06	4.81468e+06	4.68197e+06	4.88282e+06
P04079	P04079		guaA		1.97354e+07	2.00772e+07	2.04377e+07	2.03425e+07	1.96157e+07	1.97981e+07
P04335	P04335		frsA		4.49144e+06	4.32971e+06	4.39916e+06	4.41803e+06	4.47926e+06	4.5063e+06
P04425	P04425		gshB		8.80534e+06	8.85367e+06	8.84409e+06	9.01568e+06	8.80987e+06	8.79108e+06
P04693	P04693		tyrB		3.53177e+06	3.59035e+06	3.61243e+06	3.61308e+06	3.6802e+06	3.42737e+06
P04805	P04805		gltX		2.42918e+07	2.48854e+07	2.51268e+07	2.52973e+07	2.42599e+07	2.46678e+07
P04825	P04825		pepN		1.48565e+07	1.53939e+07	1.55521e+07	1.5173e+07	1.49773e+07	1.50685e+07
P04846	P04846		nlpA		3.25065e+06	3.27899e+06	3.16106e+06	3.31644e+06	3.29385e+06	3.20672e+06
P04949	P04949		fliC		3.95898e+07	3.81601e+07	3.63995e+07	3.87638e+07	3.9885e+07	3.90939e+07
P04951	P04951		kdsB		6.43251e+06	6.36949e+06	6.5452e+06	6.64794e+06	6.48585e+06	6.55908e+06
P04982	P04982		rbsD		1.25501e+06	1.31465e+06	1.17521e+06	1.24339e+06	1.07491e+06	1.28304e+06
P04995	P04995		sbcB		1.27651e+07	1.29262e+07	1.33138e+07	1.29811e+07	1.31224e+07	1.29342e+07
P05020	P05020		pyrC		5.88008e+06	5.72409e+06	5.83626e+06	5.59017e+06	5.80531e+06	5.87081e+06
P05041	P05041		pabB		974405	1.0189e+06	902899	983004	999205	1.06346e+06
P05055	P05055		pnp		3.28727e+07	3.28016e+07	3.28107e+07	3.27892e+07	3.29733e+07	3.29623e+07
P05100	P05100		tag		1.66593e+06	1.35842e+06	1.68011e+06	1.71587e+06	1.47039e+06	1.49816e+06
P05194	P05194		aroD		1.228e+06	1.34431e+06	1.26179e+06	1.2096e+06	1.17574e+06	1.16081e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				480671	2.42234e+06	2.41466e+06	2.23452e+06	285994	467096
P05458	P05458		ptrA		904920	888874	938700	922855	893279	863161
P05459	P05459		pdxB		5.81318e+06	5.96248e+06	5.88919e+06	5.87421e+06	5.87824e+06	5.54847e+06
P05637	P05637		apaH		2.47748e+06	2.58852e+06	2.76284e+06	2.56316e+06	2.39952e+06	2.22584e+06
P05719	P05719		hsdS		1.30538e+06	1.27355e+06	1.26846e+06	1.26827e+06	1.2514e+06	1.32886e+06
P05791	P05791		ilvD		2.79149e+06	2.86803e+06	2.74845e+06	2.80897e+06	2.86514e+06	2.81521e+06
P05793	P05793		ilvC		8.04487e+06	7.60408e+06	7.78163e+06	7.66673e+06	8.01995e+06	8.16744e+06
P05825	P05825		fepA		2.00817e+06	2.02346e+06	1.99076e+06	1.96622e+06	2.0641e+06	1.87188e+06
P05852	P05852		gcp		2.64296e+06	2.56971e+06	2.63812e+06	2.68323e+06	2.78742e+06	2.76701e+06
P06129	P06129		btuB		1.30503e+07	1.36225e+07	1.31747e+07	1.32814e+07	1.34026e+07	1.29813e+07
P06149	P06149		dld		6.03474e+06	6.37475e+06	6.19912e+06	6.14802e+06	6.07447e+06	5.98898e+06
P06282	P06282		cdh		2.41221e+06	2.41195e+06	2.57043e+06	2.30343e+06	2.56799e+06	2.45825e+06
P06610	P06610		btuE		8.91643e+06	9.04396e+06	9.00367e+06	8.81532e+06	8.89794e+06	8.3966e+06
P06612	P06612		topA		5.69633e+06	5.73309e+06	5.58387e+06	5.72873e+06	5.5724e+06	5.62613e+06
P06616	P06616		era		3.80078e+06	3.84236e+06	3.68929e+06	3.74035e+06	3.76963e+06	3.79063e+06
P06709	P06709		birA		1.03548e+06	1.0092e+06	1.02934e+06	1.01648e+06	993328	1.10442e+06
P06710	P06710		dnaX		1.43426e+06	1.25682e+06	1.37107e+06	1.40302e+06	1.40251e+06	1.45817e+06
P06715	P06715		gor		3.42192e+06	3.52853e+06	3.45747e+06	3.55252e+06	3.52999e+06	3.46316e+06
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				241944	647207	595258	595441		
P06846	P06846		ebgR		1.36614e+06	1.35804e+06	1.30252e+06	1.29855e+06	1.34989e+06	1.31199e+06
P06959	P06959		aceF		6.19464e+07	6.03096e+07	6.02431e+07	6.10452e+07	6.06706e+07	6.12518e+07
P06961	P06961		cca		955443	1.11599e+06	1.0978e+06	1.146e+06	1.11631e+06	1.12538e+06
P06968	P06968		dut		8.30777e+06	8.15286e+06	8.19468e+06	8.25442e+06	8.37406e+06	8.09147e+06
P06971	P06971		fhuA		1.39543e+07	1.36604e+07	1.37403e+07	1.38914e+07	1.35933e+07	1.38927e+07
P06974	P06974		fliM		1.5609e+06	1.52077e+06	1.52692e+06	1.53987e+06	1.55577e+06	1.53874e+06
P06983	P06983		hemC		1.06872e+07	1.04408e+07	1.04114e+07	1.06714e+07	1.08846e+07	1.05318e+07
P06986	P06986		hisC		4.56576e+06	4.37031e+06	4.26905e+06	4.35629e+06	4.3595e+06	4.35561e+06
P06987	P06987		hisB		1.22142e+06	1.21284e+06	1.21641e+06	1.23287e+06	1.18967e+06	1.11367e+06
P06988	P06988		hisD		1.68174e+06	1.69988e+06	1.87748e+06	1.87437e+06	1.6935e+06	1.76037e+06
P06992	P06992		rsmA		2.23009e+06	2.24068e+06	2.14153e+06	2.17038e+06	2.20957e+06	2.07302e+06
P06996	P06996		ompC		2.75055e+08	2.58788e+08	2.63973e+08	2.66828e+08	2.73915e+08	2.70997e+08
P06999	P06999		pfkB		1.88083e+06	1.95709e+06	1.9792e+06	2.02786e+06	1.86438e+06	1.85087e+06
P07000	P07000		pldB		663650	566016	570323	548407	624483	568139
P07001	P07001		pntA		1.87981e+06	1.96404e+06	1.82246e+06	1.90543e+06	2.01247e+06	1.81904e+06
P07003	P07003		poxB		2.43392e+06	2.54691e+06	2.57528e+06	2.55652e+06	2.47805e+06	2.32424e+06
P07004	P07004		proA		2.53843e+07	2.5207e+07	2.57671e+07	2.54034e+07	2.57774e+07	2.59892e+07
P07012	P07012		prfB		8.75498e+06	8.82469e+06	8.87083e+06	8.80067e+06	8.67556e+06	8.76242e+06
P07014	P07014		sdhB		1.72677e+06	1.68999e+06	1.66299e+06	1.72817e+06	1.74861e+06	1.63116e+06
P07017	P07017		tar		3.31146e+06	3.52764e+06	3.4567e+06	3.46912e+06	3.39786e+06	3.33027e+06
P07021	P07021		yfiB		812498	815908	839515	859088	829271	837582
P07023	P07023		tyrA		2.36005e+06	2.46463e+06	2.48394e+06	2.40219e+06	2.39145e+06	2.3706e+06
P07024	P07024		ushA		5.02845e+06	4.94952e+06	5.02945e+06	5.10368e+06	5.13858e+06	5.04525e+06
P07026	P07026		sdiA		1.81515e+06	1.70976e+06	1.65346e+06	1.7465e+06	1.80529e+06	1.76788e+06
P07118	P07118		valS		2.24054e+07	2.2676e+07	2.29454e+07	2.26052e+07	2.22549e+07	2.27588e+07
P07330	P07330		cheB		1.20547e+06	1.15594e+06	1.09757e+06	1.10284e+06	1.21831e+06	1.17794e+06
P07363	P07363		cheA		5.51505e+06	5.53413e+06	5.45503e+06	5.59062e+06	5.47238e+06	5.39092e+06
P07395	P07395		pheT		1.32341e+07	1.3219e+07	1.32645e+07	1.34756e+07	1.32972e+07	1.31321e+07
P07604	P07604		tyrR		2.2001e+06	2.10381e+06	2.23336e+06	2.23564e+06	2.12885e+06	2.19333e+06
P07639	P07639		aroB		3.32439e+06	3.33924e+06	3.18015e+06	3.32574e+06	3.27525e+06	3.2992e+06
P07649	P07649		truA		1.90488e+06	2.02029e+06	1.87619e+06	2.03985e+06	1.99116e+06	1.92075e+06
P07650	P07650		deoA		5.6742e+06	5.65515e+06	5.58794e+06	5.80259e+06	5.65654e+06	5.67142e+06
P07658	P07658		fdhF		882398	901890	957109	911505	907614	906758
P07762	P07762		glgB		3.75487e+06	3.8127e+06	3.80669e+06	3.86417e+06	3.80618e+06	3.69142e+06
P07813	P07813		leuS		1.76075e+07	1.74395e+07	1.80563e+07	1.76425e+07	1.73493e+07	1.79148e+07
P07821	P07821		fhuC		600188	629322	544666	571570	617213	601066
P07862	P07862		ddlB		2.06964e+06	2.29163e+06	2.19684e+06	2.26333e+06	2.11153e+06	2.08991e+06
P07913	P07913		tdh		4.06528e+06	4.16802e+06	4.07169e+06	4.14558e+06	3.88768e+06	3.79544e+06
P08178	P08178		purM		3.00365e+06	2.89705e+06	2.99492e+06	2.88529e+06	2.87828e+06	2.84902e+06
P08179	P08179		purN		961616	1.05174e+06	1.03399e+06	1.05959e+06	982770	863649
P08189	P08189		fimF		1.30714e+06	1.31414e+06	1.29415e+06	1.21402e+06	1.26052e+06	1.30527e+06
P08190	P08190		fimG		2.19137e+06	2.05333e+06	2.33953e+06	2.25976e+06	2.1955e+06	2.13035e+06
P08191	P08191		fimH		2.88776e+06	2.98126e+06	2.96372e+06	3.00792e+06	2.92504e+06	2.75921e+06
P08192	P08192		folC		2.53779e+06	2.61771e+06	2.53193e+06	2.6153e+06	2.58674e+06	2.47486e+06
P08200	P08200		icd		2.42414e+07	2.53932e+07	2.58015e+07	2.46268e+07	2.40282e+07	2.45685e+07
P08201	P08201		nirB		5.92263e+06	6.07556e+06	5.9702e+06	5.96873e+06	5.99559e+06	5.89621e+06
P08244	P08244		pyrF		9.73582e+06	9.71574e+06	9.94049e+06	9.75299e+06	9.71914e+06	1.01043e+07
P08245	P08245		yciH		734785	671905	686761	658989	671504	686993
P08312	P08312		pheS		1.22038e+07	1.21111e+07	1.213e+07	1.22185e+07	1.23068e+07	1.23289e+07
P08331	P08331		cpdB		3.37684e+06	3.48645e+06	3.4763e+06	3.62399e+06	3.34819e+06	3.29324e+06
P08337	P08337		mutT		1.55996e+06	1.23918e+06	1.31775e+06	1.37575e+06	1.5045e+06	1.41494e+06
P08373	P08373		murB		1.64562e+06	1.79613e+06	1.86993e+06	1.76604e+06	1.70096e+06	1.67558e+06
P08390	P08390		usg		4.71076e+06	4.92747e+06	4.95628e+06	4.59394e+06	4.83858e+06	4.90819e+06
P08395	P08395		sppA		3.18405e+06	3.20695e+06	3.25573e+06	3.28978e+06	3.13126e+06	3.07473e+06
P08506	P08506		dacC		6.16404e+06	6.14654e+06	6.04075e+06	6.22051e+06	6.24521e+06	6.00379e+06
P08622	P08622		dnaJ		6.22733e+06	6.08959e+06	6.05631e+06	6.09065e+06	6.19552e+06	6.33722e+06
P08660	P08660		lysC		2.2627e+06	2.39384e+06	2.38845e+06	2.41417e+06	2.44249e+06	2.35023e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)					1.22235e+06	1.1896e+06	1.13932e+06		
P08839	P08839		ptsI		3.11858e+07	3.09494e+07	3.12303e+07	3.13883e+07	3.12757e+07	3.09705e+07
P08956	P08956		hsdR		2.34905e+06	2.39344e+06	2.38162e+06	2.37692e+06	2.40835e+06	2.34629e+06
P08957	P08957		hsdM		9.68438e+06	9.73702e+06	9.68957e+06	9.86226e+06	9.83583e+06	9.69102e+06
P09029	P09029		purK		1.0902e+06	1.17546e+06	1.20965e+06	1.18678e+06	1.06803e+06	1.0735e+06
P09030	P09030		xthA		2.49139e+06	2.50954e+06	2.46299e+06	2.60148e+06	2.55533e+06	2.46748e+06
P09053	P09053		avtA		946470	890381	927108	890930	934923	938362
P09126	P09126		hemD		1.60163e+06	1.51991e+06	1.44367e+06	1.51997e+06	1.61925e+06	1.44811e+06
P09127	P09127		hemX		1.18658e+07	1.18613e+07	1.19891e+07	1.19232e+07	1.20472e+07	1.16236e+07
P09147	P09147		galE		8.86551e+06	8.68414e+06	8.76594e+06	8.71732e+06	8.9128e+06	8.77619e+06
P09148	P09148		galT		2.08841e+06	2.02339e+06	2.07035e+06	2.09232e+06	2.15371e+06	1.99631e+06
P09152	P09152		narG		3.31806e+06	3.38307e+06	3.46725e+06	3.40966e+06	3.32554e+06	3.28049e+06
P09155	P09155		rnd		2.16248e+06	1.83788e+06	2.17726e+06	2.06045e+06	1.96142e+06	2.06303e+06
P09158	P09158		speE		7.02133e+06	7.0365e+06	6.91043e+06	6.97211e+06	6.82999e+06	6.78644e+06
P09169	P09169		ompT		5.44995e+06	5.53029e+06	5.55481e+06	5.74599e+06	5.46865e+06	5.63463e+06
P09323	P09323		nagE		3.0393e+06	3.09656e+06	3.24587e+06	2.96814e+06	2.74092e+06	2.96175e+06
P09372	P09372		grpE		5.09233e+07	5.07821e+07	5.24684e+07	5.09553e+07	5.1351e+07	5.20787e+07
P09373	P09373		pflB		2.53625e+08	2.4722e+08	2.45377e+08	2.45426e+08	2.49823e+08	2.48397e+08
P09394	P09394		glpQ		5.52197e+06	5.58042e+06	5.76717e+06	5.69023e+06	5.66937e+06	5.51873e+06
