Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1				1.92199e+06	2.13548e+06	2.97226e+06	2.39926e+06	2.32262e+06	2.46153e+06
DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1	DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1				2.99143e+06	2.92733e+06	4.56235e+06	4.7921e+06	2.79081e+06	4.78607e+06
DECOY_sp|P0A9S3|GATD_ECOLI Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=1 SV=1	DECOY_sp|P0A9S3|GATD_ECOLI Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=1 SV=1				212051			387174	268924	235522
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.90782e+07	1.90269e+07	2.07283e+07	2.04237e+07	1.96292e+07	1.91724e+07
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				957827	995088	624149	601595	750441	675363
DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2					1.09218e+06	810473	588774	419268	913543
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				595864	578006			637802	
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1						1.7237e+06			1.8021e+06
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.91247e+06	1.45981e+06	1.79446e+06	1.60758e+06	1.69238e+06	1.92045e+06
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1				1.22224e+06	1.1364e+06	1.29031e+06	1.12074e+06	1.23929e+06	1.21857e+06
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.32704e+06	3.79097e+06	5.14507e+06	5.06325e+06	4.01194e+06	5.18392e+06
DECOY_sp|P11880|MURF_ECOLI UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	DECOY_sp|P11880|MURF_ECOLI UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2				1.06143e+06	1.17904e+06	1.2362e+06	1.36588e+06	1.08019e+06	1.2738e+06
DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3				3.87044e+06	3.69459e+06	2.36948e+06	2.4985e+06	3.79185e+06	2.59937e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.37016e+06	1.41208e+06	1.86857e+06	1.68664e+06	1.42805e+06	1.71402e+06
DECOY_sp|P30744|SDHM_ECOLI L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2	DECOY_sp|P30744|SDHM_ECOLI L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2				2.30179e+06	1.4951e+06	5.09579e+06	2.57391e+06	480765	2.75454e+06
DECOY_sp|P32132|TYPA_ECOLI GTP-binding protein TypA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	DECOY_sp|P32132|TYPA_ECOLI GTP-binding protein TypA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2							172210		685568
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				712153		655903	747069		1.80956e+06
