Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.72256e+06	2.63141e+06				2.55312e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.7301e+06	4.93987e+06				4.29829e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.00412e+06	2.96062e+06	1.95878e+06	859908	1.80989e+06	2.86841e+06
P00350	P00350		gnd		3.71429e+07	3.68704e+07	3.67231e+07	3.69445e+07	3.56903e+07	3.60508e+07
P00363	P00363		frdA		4.3613e+07	4.36624e+07	4.36601e+07	4.38662e+07	4.42731e+07	4.21782e+07
P00370	P00370		gdhA		2.36138e+06	2.29494e+06	2.33435e+06	2.35034e+06	2.41391e+06	2.35827e+06
P00393	P00393		ndh		5.52826e+06	5.45434e+06	5.32022e+06	5.50421e+06	5.27944e+06	5.57853e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.69677e+06	1.71624e+06		935323		1.48881e+06
P00448	P00448		sodA		3.5087e+06	3.57071e+06	3.40726e+06	3.4425e+06	3.26392e+06	3.55232e+06
P00452	P00452		nrdA		1.00424e+07	9.98749e+06	9.97758e+06	1.00951e+07	9.91326e+06	9.79439e+06
