Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.76487e+06	6.78196e+06	2.71414e+06	6.73043e+06	6.78006e+06	2.73395e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.94505e+06	1.19112e+07	4.91634e+06	1.13595e+07	1.20936e+07	4.5574e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.2381e+06	9.9852e+06	3.98965e+06	9.31542e+06	9.7412e+06	4.05396e+06
P00350	P00350		gnd		3.81368e+07	3.73284e+07	3.79143e+07	3.78535e+07	3.7994e+07	3.7082e+07
P00363	P00363		frdA		4.97258e+07	5.03782e+07	4.93271e+07	4.81095e+07	4.97098e+07	4.72e+07
P00370	P00370		gdhA		1.95409e+06	2.00089e+06	1.8672e+06	1.9805e+06	1.95059e+06	2.00836e+06
P00393	P00393		ndh		6.17748e+06	5.9075e+06	6.21236e+06	6.11297e+06	6.08013e+06	5.95914e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.62798e+06	3.47282e+06	1.55929e+06	3.57008e+06	3.55181e+06	1.43328e+06
P00448	P00448		sodA		2.62877e+06	2.68074e+06	2.73448e+06	2.49667e+06	2.63314e+06	2.63849e+06
P00452	P00452		nrdA		1.04183e+07	1.02452e+07	1.04538e+07	1.01724e+07	1.03618e+07	1.05645e+07
P00490	P00490		malP		5.67721e+06	5.50352e+06	5.68529e+06	5.29893e+06	5.47782e+06	4.99932e+06
P00509	P00509		aspC		1.90249e+07	1.88951e+07	1.93546e+07	1.81925e+07	1.89826e+07	1.86555e+07
P00547	P00547		thrB		1.11691e+06	1.18302e+06	1.08215e+06	1.19748e+06	1.08455e+06	937879
P00550	P00550		mtlA		1.44356e+06	1.31559e+06	1.39195e+06	1.44873e+06	1.45814e+06	1.30542e+06
P00561	P00561		thrA		2.38074e+06	2.46641e+06	2.39655e+06	2.32059e+06	2.34216e+06	2.46696e+06
P00562	P00562		metL		2.60498e+06	2.63123e+06	2.68171e+06	2.61215e+06	2.49849e+06	2.68103e+06
P00579	P00579		rpoD		8.74389e+06	9.11899e+06	8.76529e+06	8.69114e+06	9.05731e+06	8.00972e+06
P00582	P00582		polA		3.65913e+06	3.53621e+06	3.53892e+06	3.48931e+06	3.62739e+06	3.32979e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.40296e+06	3.17871e+06	1.35364e+06	3.32906e+06	3.10474e+06	1.14127e+06
P00803	P00803		lepB		5.08321e+06	5.32062e+06	5.81678e+06	5.03054e+06	5.87058e+06	5.32931e+06
P00805	P00805		ansB		1.44284e+07	1.43381e+07	1.42752e+07	1.44095e+07	1.42177e+07	1.32235e+07
P00811	P00811		ampC		800859	924502	915541	911483	941792	889528
P00861	P00861		lysA		157627	273515	169746	265697	229599	173671
P00864	P00864		ppc		3.26331e+07	3.30109e+07	3.31714e+07	3.20323e+07	3.22855e+07	3.00673e+07
P00887	P00887		aroH		2.86282e+06	3.02774e+06	2.91349e+06	2.86927e+06	2.99031e+06	2.93276e+06
P00888	P00888		aroF		2.12739e+06	2.08779e+06	2.08007e+06	2.13379e+06	2.1076e+06	1.85532e+06
P00892	P00892		ilvG		1.07658e+06	1.03086e+06	1.0773e+06	998694	1.03882e+06	969751
P00914	P00914		phrB		726563	788472	716008	748338	622426	857212
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				5.86512e+06	1.29545e+07	6.03487e+06	1.28349e+07	1.29525e+07	5.97812e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.77273e+06	1.3589e+07	5.98527e+06	1.33187e+07	1.3309e+07	5.71714e+06
P00926	P00926		dsdA		1.3083e+06	1.26533e+06	1.38862e+06	1.19818e+06	1.24163e+06	1.16573e+06
P00934	P00934		thrC		4.7191e+06	4.63723e+06	4.77652e+06	4.82855e+06	4.52478e+06	4.43907e+06
P00935	P00935		metB		2.14778e+06	2.23984e+06	1.89276e+06	2.43128e+06	2.01684e+06	1.88486e+06
P00936	P00936		cyaA		1.25933e+06	1.37175e+06	1.27714e+06	1.31229e+06	1.25472e+06	1.181e+06
P00946	P00946		manA		1.18234e+07	1.18047e+07	1.18704e+07	1.17659e+07	1.21548e+07	1.19349e+07
P00954	P00954		trpS		1.48298e+07	1.4521e+07	1.46876e+07	1.47586e+07	1.46708e+07	1.44647e+07
P00956	P00956		ileS		2.20033e+07	2.24675e+07	2.16843e+07	2.21143e+07	2.21884e+07	1.97701e+07
P00957	P00957		alaS		2.09005e+07	2.08197e+07	2.06671e+07	2.08331e+07	2.06145e+07	1.8601e+07
P00959	P00959		metG		1.94555e+07	1.89095e+07	1.93049e+07	1.92026e+07	1.94493e+07	1.76473e+07
P00960	P00960		glyQ		4.74665e+06	4.8618e+06	4.78028e+06	4.56001e+06	4.82346e+06	5.10058e+06
P00961	P00961		glyS		1.47577e+07	1.48916e+07	1.47544e+07	1.47358e+07	1.4533e+07	1.37755e+07
P00962	P00962		glnS		1.11203e+07	1.0915e+07	1.09173e+07	1.08588e+07	1.0912e+07	9.55753e+06
P00963	P00963		asnA		1.86057e+07	1.8787e+07	1.8722e+07	1.90727e+07	1.89971e+07	1.66348e+07
P00968	P00968		carB		4.58857e+06	4.69716e+06	4.64792e+06	4.60687e+06	4.48494e+06	4.46628e+06
