Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
A5A625	A5A625		yibV		657770		701606	720975	767725	830844
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				7.05558e+06	6.73177e+06	6.95739e+06	804441	742399	800819
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.13513e+07	1.1157e+07	1.13712e+07	1.5849e+06	1.67434e+06	1.56452e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				8.92813e+06	8.37426e+06	8.85582e+06	1.69506e+06	1.72708e+06	1.80115e+06
P00350	P00350		gnd		8.72764e+07	8.9339e+07	9.05107e+07	8.99216e+07	8.87178e+07	8.726e+07
P00363	P00363		frdA		2.53806e+07	2.4434e+07	2.52465e+07	2.53076e+07	2.58401e+07	2.53858e+07
P00370	P00370		gdhA		2.44221e+06	2.39365e+06	2.39637e+06	2.36592e+06	2.38588e+06	2.38524e+06
P00393	P00393		ndh		5.75794e+06	5.89098e+06	5.90284e+06	5.76528e+06	5.72018e+06	5.80391e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				5.50168e+06	5.59272e+06	5.82701e+06	735166	814615	854332
P00448	P00448		sodA		3.88253e+06	3.67429e+06	3.74875e+06	3.6118e+06	3.44859e+06	3.40138e+06
P00452	P00452		nrdA		6.65235e+06	6.51793e+06	6.70024e+06	6.79244e+06	6.66056e+06	6.78787e+06
