Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5.74886e+06	5.78699e+06	5.88713e+06	1.10835e+07	1.11027e+07	1.08717e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				7.45781e+06	7.56717e+06	7.5276e+06	1.35689e+07	1.3538e+07	1.42562e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.82627e+06	9.22699e+06	9.81834e+06	1.73375e+07	1.73038e+07	1.71258e+07
P00350	P00350		gnd		3.72028e+07	3.78708e+07	3.91371e+07	3.70149e+07	3.6724e+07	3.66875e+07
P00363	P00363		frdA		4.31739e+07	4.17679e+07	4.36269e+07	4.05215e+07	4.02003e+07	3.98474e+07
P00370	P00370		gdhA		2.25976e+06	2.22011e+06	2.15165e+06	2.24003e+06	2.20036e+06	2.16157e+06
P00393	P00393		ndh		5.42106e+06	5.56283e+06	5.47192e+06	5.37538e+06	5.60341e+06	5.59514e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.12056e+06	4.15557e+06	4.20587e+06	7.59134e+06	7.66674e+06	7.54294e+06
P00448	P00448		sodA		3.78466e+06	3.76115e+06	3.75077e+06	3.69179e+06	3.77995e+06	3.51068e+06
P00452	P00452		nrdA		1.04001e+07	1.03396e+07	1.05308e+07	1.05287e+07	1.0359e+07	1.02825e+07
