Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0ACK2	P0ACK2		agaR		533702	734055	564609	585885	586981	676375
P0ACL0	P0ACL0		glpR		1.85308e+06	2.09766e+06	1.92913e+06	2.29136e+06	2.189e+06	2.24063e+06
P0ACL2	P0ACL2		exuR		2.25877e+06	2.62163e+06	2.46198e+06	2.60354e+06	2.22453e+06	2.39756e+06
P0ACL9	P0ACL9		pdhR		1.60234e+06	1.53064e+06	1.55055e+06	1.56246e+06	1.633e+06	1.55145e+06
P0ACM2	P0ACM2		ydfH		1.45947e+06	1.416e+06	1.46243e+06	1.49837e+06	1.46344e+06	1.4323e+06
P0ACN4	P0ACN4		allR		9.74032e+06	1.03708e+07	9.87355e+06	1.0652e+07	1.06073e+07	1.01679e+07
P0ACN7	P0ACN7		cytR		617080	600545	513787	563819	558228	531214
P0ACP1	P0ACP1		cra		4.63238e+06	4.46236e+06	4.61537e+06	4.6194e+06	4.591e+06	4.59326e+06
P0ACP5	P0ACP5		gntR		599828	512786	543406	714027	640251	638163
P0ACP7	P0ACP7		purR		5.1771e+06	5.30392e+06	4.85117e+06	5.14128e+06	5.20063e+06	4.76742e+06
P0ACQ4	P0ACQ4		oxyR		4.99425e+06	5.0866e+06	4.91895e+06	4.91977e+06	5.0013e+06	4.8627e+06
P0ACR4	P0ACR4		yeiE		2.87375e+06	2.71753e+06	2.65228e+06	2.90528e+06	2.91444e+06	2.92259e+06
P0ACR9	P0ACR9		mprA		1.54399e+07	1.58085e+07	1.59131e+07	1.61227e+07	1.57971e+07	1.56369e+07
P0ACU5	P0ACU5		fabR		3.20533e+06	3.52768e+06	3.30241e+06	3.16342e+06	3.29652e+06	3.29094e+06
P0ACU7	P0ACU7		yjdC		1.28126e+06	1.41879e+06	1.44144e+06	1.41905e+06	1.30807e+06	1.33543e+06
P0ACV8	P0ACV8		ymjA		592952	665728	541822	565897	518165	547946
P0ACX5	P0ACX5		ydhZ		2.67936e+06	2.52423e+06	2.64923e+06	2.59884e+06	2.5192e+06	2.52841e+06
P0ACY1	P0ACY1		ydjA		1.14771e+07	1.11959e+07	1.1096e+07	1.12241e+07	1.15561e+07	1.1272e+07
P0ACY3	P0ACY3		yeaG		3.19477e+06	3.17937e+06	3.22352e+06	3.12039e+06	3.04229e+06	3.19246e+06
P0ACY9	P0ACY9		yebG		871758	833304	870625	898276	859650	886731
P0ACZ2	P0ACZ2		etp		2.48706e+06	2.34976e+06	2.40208e+06	2.20753e+06	2.26392e+06	2.37474e+06
P0ACZ4	P0ACZ4		evgA		2.52314e+06	2.38355e+06	2.43972e+06	2.43098e+06	2.42908e+06	2.40596e+06
P0AD01	P0AD01		dcuR		884018	943954	1.01289e+06	889648	943510	953435
P0AD05	P0AD05		yecA		2.57425e+06	2.63275e+06	2.90079e+06	2.38649e+06	2.67158e+06	2.49301e+06
P0AD07	P0AD07		yecF		3.70374e+06	3.74899e+06	3.70134e+06	4.2224e+06	4.07029e+06	4.08625e+06
P0AD10	P0AD10		yecJ		2.97002e+06	3.08349e+06	2.97116e+06	3.64257e+06	3.34699e+06	3.37547e+06
P0AD12	P0AD12		yeeZ		1.23063e+07	1.22362e+07	1.20031e+07	1.12364e+07	1.14119e+07	1.16712e+07
P0AD24	P0AD24		yejL		3.71981e+06	3.77272e+06	3.57033e+06	3.92462e+06	3.98707e+06	3.91981e+06
P0AD33	P0AD33		yfcZ		5.20364e+07	4.07939e+07	5.16499e+07	6.08914e+07	6.09359e+07	6.09853e+07
P0AD44	P0AD44		yfhG		853155	883576	856823	788358	837329	907712
P0AD49	P0AD49		raiA		7.62024e+06	6.81305e+06	7.32298e+06	6.60484e+06	6.8146e+06	7.2101e+06
