Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2				1.92211e+06	1.97819e+06	1.78631e+06	2.2478e+06	2.19092e+06	1.37065e+06
DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1	DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1				3.53395e+06	3.57215e+06	4.15165e+06	3.17581e+06	3.15184e+06	3.02729e+06
DECOY_sp|P0A8N3|SYK1_ECOLI Lysine--tRNA ligase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2	DECOY_sp|P0A8N3|SYK1_ECOLI Lysine--tRNA ligase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2						3.66337e+06		2.81777e+06	2.60292e+06
DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1					6.79742e+06		6.83949e+06	6.5885e+06	6.52815e+06
DECOY_sp|P0A9S3|GATD_ECOLI Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=1 SV=1	DECOY_sp|P0A9S3|GATD_ECOLI Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=1 SV=1				4.05708e+06	4.66382e+06	3.96321e+06	4.19749e+06	3.9616e+06	3.73401e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.2959e+07	1.28203e+07	1.40813e+07	1.16697e+07	1.20592e+07	1.24746e+07
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				657749	780274	332996	731164	762093	600577
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1									675508
DECOY_sp|P0ACQ4|OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1	DECOY_sp|P0ACQ4|OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1				1.39478e+06	1.57133e+06	1.43833e+06	1.27984e+06	1.10054e+06	929812
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1						202277			
