Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				7.56474e+06	7.40753e+06	367697	7.55837e+06	347509	378852
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.01563e+07	9.94862e+06	631263	1.03345e+07	716933	1.26271e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				8.45277e+06	8.12674e+06	796992	8.39463e+06	684496	906123
P00350	P00350		gnd		3.79532e+07	3.89236e+07	3.80652e+07	3.90112e+07	3.80341e+07	3.82585e+07
P00363	P00363		frdA		3.27461e+07	3.12891e+07	3.17597e+07	3.2017e+07	3.19472e+07	3.21852e+07
P00370	P00370		gdhA		2.00863e+06	1.93035e+06	1.98622e+06	1.96846e+06	1.96111e+06	2.03705e+06
P00393	P00393		ndh		5.8275e+06	6.01253e+06	5.90253e+06	5.99097e+06	5.97419e+06	5.85607e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				5.24941e+06	5.05969e+06		5.4156e+06	139017	609312
P00448	P00448		sodA		3.96761e+06	3.71184e+06	3.7803e+06	3.8968e+06	3.75197e+06	3.90446e+06
P00452	P00452		nrdA		6.88318e+06	6.82992e+06	6.98446e+06	7.00595e+06	6.99194e+06	6.90878e+06
