Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P52697	P52697		pgl		2.45456e+07	2.45797e+07	2.51278e+07	2.42033e+07	2.4675e+07	2.41787e+07
P55135	P55135		rlmD		1.40622e+06	1.12917e+06	1.40841e+06	1.30726e+06	1.33881e+06	1.34028e+06
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				4.42362e+06	4.62278e+06	261044	4.54723e+06	256657	521994
P56262	P56262		ysgA		1.57664e+06	1.46242e+06	1.57081e+06	1.4786e+06	1.37747e+06	1.44752e+06
P60061	P60061		adiC		1.67334e+06	1.78316e+06	2.04093e+06	1.87799e+06	1.89459e+06	1.85959e+06
P60240	P60240		rapA		4.63198e+06	4.6317e+06	4.55042e+06	4.60026e+06	4.49362e+06	4.43677e+06
P60293	P60293		mukF		2.83426e+06	2.67571e+06	2.67191e+06	2.66471e+06	2.76708e+06	2.75014e+06
P60340	P60340		truB		1.05122e+07	1.04228e+07	1.05826e+07	1.04848e+07	1.03443e+07	1.07559e+07
P60390	P60390		rsmH		5.19159e+06	5.5145e+06	5.31988e+06	5.30387e+06	5.23755e+06	5.26602e+06
P60422	P60422		rplB		1.52275e+08	1.54294e+08	1.58971e+08	1.57036e+08	1.57878e+08	1.58846e+08
P60438	P60438		rplC		2.3637e+08	2.34647e+08	2.60791e+08	2.39602e+08	2.57101e+08	2.54857e+08
P60472	P60472		ispU		1.38706e+06	1.41023e+06	1.50589e+06	1.39625e+06	1.3829e+06	1.39473e+06
P60546	P60546		gmk		5.71796e+06	5.69154e+06	5.72067e+06	5.71813e+06	5.73634e+06	5.78262e+06
P60560	P60560		guaC		4.68968e+06	4.60615e+06	4.94573e+06	4.72381e+06	4.40068e+06	4.8926e+06
P60595	P60595		hisH		1.7271e+06	1.48681e+06	1.58146e+06	1.60405e+06	1.53696e+06	1.67382e+06
P60624	P60624		rplX		1.2429e+08	1.26126e+08	1.33667e+08	1.2445e+08	1.3412e+08	1.29994e+08
P60651	P60651		speB		1.44927e+07	1.4285e+07	1.45567e+07	1.45208e+07	1.45184e+07	1.47686e+07
P60664	P60664		hisF		3.0161e+06	2.96743e+06	2.96092e+06	3.10288e+06	3.01347e+06	2.85568e+06
P60716	P60716		lipA		8.06474e+06	8.14058e+06	8.14948e+06	8.26229e+06	7.98961e+06	8.16685e+06
P60723	P60723		rplD		1.75332e+08	1.82278e+08	1.77085e+08	1.77311e+08	1.79683e+08	1.75351e+08
P60752	P60752		msbA		3.51278e+06	3.66854e+06	3.56228e+06	3.54116e+06	3.49035e+06	3.41619e+06
P60757	P60757		hisG		2.15144e+06	2.11253e+06	2.02007e+06	2.13404e+06	2.15262e+06	2.0885e+06
P60785	P60785		lepA		1.18957e+07	1.17631e+07	1.2726e+07	1.21931e+07	1.26147e+07	1.22806e+07
P60906	P60906		hisS		1.14387e+07	1.12776e+07	1.13101e+07	1.14481e+07	1.1212e+07	1.11324e+07
P61175	P61175		rplV		1.71013e+08	1.71511e+08	1.79444e+08	1.74731e+08	1.83846e+08	1.83277e+08
P61316	P61316		lolA		5.8637e+06	5.78789e+06	5.73605e+06	5.85765e+06	5.76365e+06	5.95036e+06
P61320	P61320		lolB		3.63318e+06	3.44165e+06	3.47493e+06	3.40307e+06	3.48816e+06	3.5415e+06
P61517	P61517		can		1.07753e+07	1.09638e+07	1.10364e+07	1.08524e+07	1.05209e+07	1.08228e+07
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				7.38416e+06	7.43979e+06	1.86926e+06	7.67875e+06	1.63587e+06	1.28266e+06
P61714	P61714		ribE		4.84965e+07	4.71969e+07	4.69066e+07	4.76849e+07	4.81888e+07	4.6609e+07
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				3.61004e+06	3.85944e+06		3.69904e+06	436829	
P61887	P61887		rmlA2		992356	1.04099e+06	1.04507e+06	982301	981895	1.11213e+06
P61889	P61889		mdh		2.50691e+07	2.50751e+07	2.57883e+07	2.5099e+07	2.5888e+07	2.61069e+07
P61949	P61949		fldA		7.16458e+06	6.97621e+06	7.25224e+06	7.37887e+06	7.23595e+06	7.02666e+06
P62399	P62399		rplE		1.44509e+08	1.45527e+08	1.47422e+08	1.45637e+08	1.48068e+08	1.4808e+08
P62517	P62517		mdoH		810225	759019	814708	711623	716235	717270
P62556	P62556		sopA		4.07572e+06	3.93448e+06	3.94491e+06	4.04895e+06	4.01783e+06	3.92781e+06
P62558	P62558		sopB		5.68431e+06	5.5636e+06	5.67786e+06	5.54548e+06	5.63124e+06	5.71954e+06
P62601	P62601		treF		489879	341501	322374	278336	364958	431496
P62615	P62615		ispE		1.98155e+06	1.72637e+06	1.74239e+06	1.42454e+06	1.63427e+06	1.81698e+06
P62617	P62617		ispF		3.62684e+06	3.62845e+06	3.79676e+06	3.57658e+06	3.70069e+06	3.43267e+06
P62620	P62620		ispG		6.42787e+06	6.35462e+06	6.70158e+06	6.57732e+06	6.78133e+06	6.76728e+06
P62623	P62623		ispH		1.33561e+06	1.23009e+06	1.38916e+06	1.36023e+06	1.26531e+06	1.19657e+06
P62672	P62672		apaG		520848	569812	522137	479300	506857	507664
P62707	P62707		gpmA		4.30712e+07	4.36454e+07	4.32577e+07	4.34715e+07	4.44697e+07	4.41839e+07
P62768	P62768		yaeH		4.98839e+06	5.17049e+06	5.0219e+06	5.14098e+06	5.01641e+06	5.08071e+06
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				2.57376e+06	2.38395e+06	1.81059e+06	2.46126e+06	1.60954e+06	
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				3.0057e+06	3.08666e+06	955484	3.13082e+06	992557	841756
P63020	P63020		nfuA		8.31666e+06	8.65896e+06	8.78143e+06	8.35059e+06	9.09509e+06	8.31555e+06
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)				3.171e+06	3.09516e+06		3.00832e+06		
